Author,Date,Reactions
tutori,2022-01-01T10:02:29.3290000+00:00,0
tutori,2022-01-01T10:02:46.4800000+00:00,0
tutori,2022-01-01T10:04:06.8170000+00:00,0
tutori,2022-01-01T10:04:33.7300000+00:00,0
wamysauce,2022-01-01T10:05:51.3770000+00:00,0
tutori,2022-01-01T10:26:13.4730000+00:00,0
tutori,2022-01-01T10:26:18.9510000+00:00,0
.footshooter,2022-01-01T11:58:19.2410000+00:00,0
countakira,2022-01-01T13:46:55.6660000+00:00,14
anumess,2022-01-01T15:57:28.7600000+00:00,15
anumess,2022-01-01T15:58:37.0940000+00:00,0
.civd,2022-01-01T19:59:44.8550000+00:00,10
Deleted User,2022-01-01T20:01:27.0510000+00:00,0
firebuggy,2022-01-01T20:07:22.8620000+00:00,0
firebuggy,2022-01-01T20:07:48.6130000+00:00,0
callmeraye,2022-01-01T20:31:36.8050000+00:00,0
.civd,2022-01-01T20:45:42.0170000+00:00,0
callmeraye,2022-01-01T20:46:22.1770000+00:00,0
.civd,2022-01-01T20:46:28.5090000+00:00,0
.civd,2022-01-01T20:46:46.3250000+00:00,0
callmeraye,2022-01-01T20:46:55.7380000+00:00,0
waffles8179,2022-01-02T00:51:07.9670000+00:00,3
alsa,2022-01-02T01:12:17.4390000+00:00,0
mayermayhem,2022-01-02T04:11:42.0240000+00:00,0
le_vampi,2022-01-02T12:09:38.5990000+00:00,0
merly23,2022-01-02T12:30:52.1650000+00:00,0
merly23,2022-01-02T12:31:22.9470000+00:00,0
merly23,2022-01-02T12:32:24.6980000+00:00,0
.civd,2022-01-02T14:00:41.6230000+00:00,0
glassesblu,2022-01-02T14:16:41.5800000+00:00,0
glassesblu,2022-01-02T14:24:39.5280000+00:00,3
jelly386,2022-01-02T16:46:28.2060000+00:00,0
jelly386,2022-01-02T16:46:45.0140000+00:00,0
jelly386,2022-01-02T16:46:53.5950000+00:00,0
alsa,2022-01-02T18:16:35.1010000+00:00,0
babalovesyou,2022-01-02T18:42:17.8370000+00:00,8
mimic332,2022-01-02T18:46:11.0470000+00:00,0
babalovesyou,2022-01-02T18:46:40.4830000+00:00,0
babalovesyou,2022-01-02T18:47:05.3140000+00:00,0
mimic332,2022-01-02T18:52:31.5540000+00:00,0
kiwimeowahura,2022-01-02T18:53:02.3350000+00:00,0
mimic332,2022-01-02T18:54:29.2490000+00:00,0
babalovesyou,2022-01-02T18:55:20.8110000+00:00,0
accursedvagabond,2022-01-02T19:12:38.9650000+00:00,12
f32,2022-01-02T22:23:02.1580000+00:00,0
chrome_dollar,2022-01-02T22:25:49.8170000+00:00,14
accursedvagabond,2022-01-02T22:40:54.4000000+00:00,6
callmeraye,2022-01-02T23:30:17.3860000+00:00,5
hibiderry,2022-01-03T01:36:13.8310000+00:00,0
balmas,2022-01-03T01:55:02.0260000+00:00,0
gote27,2022-01-03T05:03:11.5430000+00:00,0
accursedvagabond,2022-01-03T06:01:14.6400000+00:00,0
bakage1016,2022-01-03T11:21:41.0540000+00:00,20
sslar,2022-01-03T12:02:26.8540000+00:00,0
callmeraye,2022-01-03T15:48:36.5450000+00:00,0
accursedvagabond,2022-01-03T16:24:35.2230000+00:00,0
merly23,2022-01-03T18:23:12.0850000+00:00,7
gote27,2022-01-03T19:35:51.5600000+00:00,3
merly23,2022-01-03T20:23:20.5570000+00:00,0
merly23,2022-01-03T20:23:46.6910000+00:00,0
gote27,2022-01-03T20:24:28.4660000+00:00,0
babalovesyou,2022-01-03T21:23:24.5860000+00:00,0
babalovesyou,2022-01-03T21:24:56.3270000+00:00,0
chrome_dollar,2022-01-03T21:25:37.0160000+00:00,0
babalovesyou,2022-01-03T21:27:20.8560000+00:00,14
chrome_dollar,2022-01-03T21:39:00.0460000+00:00,0
kiwimeowahura,2022-01-03T21:55:38.1320000+00:00,0
firebuggy,2022-01-03T22:02:29.4350000+00:00,0
firebuggy,2022-01-03T22:02:47.7750000+00:00,0
firebuggy,2022-01-03T22:03:05.0520000+00:00,0
babalovesyou,2022-01-03T22:07:46.1950000+00:00,1
babalovesyou,2022-01-03T22:09:41.3520000+00:00,0
babalovesyou,2022-01-03T22:10:53.3960000+00:00,0
chrome_dollar,2022-01-03T22:11:13.8850000+00:00,0
babalovesyou,2022-01-03T22:11:50.9150000+00:00,0
babalovesyou,2022-01-03T22:12:00.4270000+00:00,0
babalovesyou,2022-01-03T22:12:12.3420000+00:00,0
babalovesyou,2022-01-03T22:12:30.4180000+00:00,0
chrome_dollar,2022-01-03T22:12:47.7740000+00:00,0
babalovesyou,2022-01-03T22:13:20.2940000+00:00,0
chrome_dollar,2022-01-03T22:13:57.9120000+00:00,0
babalovesyou,2022-01-03T22:14:26.8560000+00:00,0
chrome_dollar,2022-01-03T22:15:02.3810000+00:00,0
babalovesyou,2022-01-03T22:15:13.7440000+00:00,0
babalovesyou,2022-01-03T22:15:15.2090000+00:00,0
chrome_dollar,2022-01-03T22:15:29.1250000+00:00,0
babalovesyou,2022-01-03T22:15:34.7670000+00:00,0
firebuggy,2022-01-03T22:16:27.4610000+00:00,0
babalovesyou,2022-01-03T22:16:57.9070000+00:00,0
firebuggy,2022-01-03T22:17:03.8520000+00:00,0
babalovesyou,2022-01-03T22:17:25.8230000+00:00,0
chrome_dollar,2022-01-03T22:18:06.4520000+00:00,0
babalovesyou,2022-01-03T22:18:06.9060000+00:00,0
chrome_dollar,2022-01-03T22:18:15.5240000+00:00,0
chrome_dollar,2022-01-03T22:18:39.3270000+00:00,0
babalovesyou,2022-01-03T22:19:16.2560000+00:00,0
babalovesyou,2022-01-03T22:19:21.5570000+00:00,0
babalovesyou,2022-01-03T22:20:56.0780000+00:00,0
babalovesyou,2022-01-03T22:21:02.6510000+00:00,0
chrome_dollar,2022-01-03T22:25:10.5290000+00:00,0
chrome_dollar,2022-01-03T22:26:04.6480000+00:00,0
babalovesyou,2022-01-03T23:04:59.9320000+00:00,0
babalovesyou,2022-01-03T23:05:07.9610000+00:00,0
okazuhazu,2022-01-04T00:36:08.3420000+00:00,1
okazuhazu,2022-01-04T00:38:49.8190000+00:00,0
okazuhazu,2022-01-04T00:39:49.5670000+00:00,0
babalovesyou,2022-01-04T00:42:50.4740000+00:00,0
chrome_dollar,2022-01-04T00:43:15.1630000+00:00,0
babalovesyou,2022-01-04T00:43:34.6310000+00:00,0
babalovesyou,2022-01-04T00:43:37.8400000+00:00,0
babalovesyou,2022-01-04T00:43:49.5700000+00:00,0
babalovesyou,2022-01-04T00:43:50.8450000+00:00,0
chrome_dollar,2022-01-04T00:44:39.8470000+00:00,0
chrome_dollar,2022-01-04T00:44:49.7400000+00:00,0
babalovesyou,2022-01-04T00:45:04.9030000+00:00,0
chrome_dollar,2022-01-04T00:45:51.0130000+00:00,0
babalovesyou,2022-01-04T00:46:08.1240000+00:00,0
babalovesyou,2022-01-04T00:46:16.1690000+00:00,0
babalovesyou,2022-01-04T00:46:25.9490000+00:00,0
babalovesyou,2022-01-04T00:46:35.7450000+00:00,0
chrome_dollar,2022-01-04T00:46:38.3990000+00:00,0
babalovesyou,2022-01-04T00:46:46.4020000+00:00,0
chrome_dollar,2022-01-04T00:46:50.0560000+00:00,0
babalovesyou,2022-01-04T00:47:24.7090000+00:00,0
babalovesyou,2022-01-04T00:48:18.0400000+00:00,11
babalovesyou,2022-01-04T00:48:22.7000000+00:00,0
chrome_dollar,2022-01-04T00:49:06.7540000+00:00,0
chrome_dollar,2022-01-04T00:49:14.3490000+00:00,0
babalovesyou,2022-01-04T00:49:53.8020000+00:00,0
babalovesyou,2022-01-04T00:50:26.8400000+00:00,0
babalovesyou,2022-01-04T00:50:33.1540000+00:00,0
chrome_dollar,2022-01-04T00:53:19.3120000+00:00,0
babalovesyou,2022-01-04T00:54:56.8420000+00:00,0
babalovesyou,2022-01-04T00:55:15.3750000+00:00,0
chrome_dollar,2022-01-04T01:03:00.8910000+00:00,0
chrome_dollar,2022-01-04T01:03:15.0900000+00:00,0
glassesblu,2022-01-04T03:43:56.9460000+00:00,0
glassesblu,2022-01-04T05:00:13.2140000+00:00,0
matstress,2022-01-04T14:16:53.0590000+00:00,0
matstress,2022-01-04T14:17:32.8160000+00:00,0
kin_3d,2022-01-04T17:25:06.1030000+00:00,6
khankarma,2022-01-04T17:46:44.8100000+00:00,0
waffles8179,2022-01-04T18:27:24.7540000+00:00,3
babalovesyou,2022-01-04T18:32:11.2330000+00:00,10
chrome_dollar,2022-01-04T18:34:18.2750000+00:00,0
babalovesyou,2022-01-04T18:34:40.3650000+00:00,0
babalovesyou,2022-01-04T18:34:45.0570000+00:00,0
babalovesyou,2022-01-04T18:35:56.8500000+00:00,0
chrome_dollar,2022-01-04T18:36:25.3460000+00:00,0
babalovesyou,2022-01-04T18:36:27.7060000+00:00,0
