Author,Date,Reactions
joseph_anderson_,2023-11-27T16:55:17.8330000+00:00,49
sqrrk,2023-11-27T16:55:22.4150000+00:00,0
cause_key,2023-11-27T16:55:22.4400000+00:00,0
kaylio64,2023-11-27T16:55:24.4130000+00:00,0
cause_key,2023-11-27T16:55:32.9050000+00:00,0
kaylio64,2023-11-27T16:55:37.0260000+00:00,0
cause_key,2023-11-27T16:55:41.2440000+00:00,0
sqrrk,2023-11-27T16:55:52.3510000+00:00,0
capsador,2023-11-27T16:55:54.4340000+00:00,0
will_m.,2023-11-27T16:56:23.0300000+00:00,0
lyadhkhor.,2023-11-27T16:56:26.1980000+00:00,0
xephorix512,2023-11-27T16:56:26.2800000+00:00,0
snek_pliskin,2023-11-27T16:56:31.1940000+00:00,0
_naya_,2023-11-27T16:56:41.4960000+00:00,0
phoryan,2023-11-27T16:56:42.5200000+00:00,0
hydus,2023-11-27T16:56:42.6940000+00:00,0
manofanswers,2023-11-27T16:56:45.3230000+00:00,0
enki_petrichor,2023-11-27T16:56:45.9570000+00:00,0
simmsy,2023-11-27T16:56:48.0920000+00:00,0
ohnoitspanda,2023-11-27T16:56:49.9710000+00:00,0
sahil_.,2023-11-27T16:56:50.7720000+00:00,0
aerolfos,2023-11-27T16:56:51.4340000+00:00,0
snek_pliskin,2023-11-27T16:56:51.8910000+00:00,0
snek_pliskin,2023-11-27T16:56:54.7130000+00:00,0
snek_pliskin,2023-11-27T16:56:56.2590000+00:00,0
baaaldur,2023-11-27T16:56:58.0270000+00:00,0
snek_pliskin,2023-11-27T16:56:58.3780000+00:00,0
jeremiah2263,2023-11-27T16:56:59.7860000+00:00,0
ohnoitspanda,2023-11-27T16:57:04.4210000+00:00,0
_naya_,2023-11-27T16:57:04.7340000+00:00,0
lpdlio,2023-11-27T16:57:05.5950000+00:00,0
kaylio64,2023-11-27T16:57:10.6290000+00:00,0
fresh_heels,2023-11-27T16:57:12.5460000+00:00,0
astrelwastaken,2023-11-27T16:57:13.0480000+00:00,0
snek_pliskin,2023-11-27T16:57:13.6570000+00:00,0
cause_key,2023-11-27T16:57:20.4240000+00:00,0
_naya_,2023-11-27T16:57:23.0230000+00:00,0
jeremiah2263,2023-11-27T16:57:24.2160000+00:00,2
will_m.,2023-11-27T16:57:34.4500000+00:00,0
_naya_,2023-11-27T16:57:39.5830000+00:00,0
snek_pliskin,2023-11-27T16:57:41.3510000+00:00,0
jelly386,2023-11-27T16:57:44.2000000+00:00,0
krakonis,2023-11-27T16:57:45.0280000+00:00,0
will_m.,2023-11-27T16:57:45.3090000+00:00,0
hydus,2023-11-27T16:57:46.4500000+00:00,0
toshiro276,2023-11-27T16:57:50.9960000+00:00,0
snek_pliskin,2023-11-27T16:57:59.1690000+00:00,0
xephorix512,2023-11-27T16:58:02.8360000+00:00,0
sarcedor,2023-11-27T16:58:03.9540000+00:00,0
rotyler,2023-11-27T16:58:06.6530000+00:00,0
kaylio64,2023-11-27T16:58:09.4460000+00:00,0
simmsy,2023-11-27T16:58:12.4120000+00:00,2
manofanswers,2023-11-27T16:58:19.6230000+00:00,0
winduckie,2023-11-27T16:58:32.8510000+00:00,0
lpdlio,2023-11-27T16:58:35.8770000+00:00,0
kaylio64,2023-11-27T16:58:40.3410000+00:00,0
itsmagicaaa,2023-11-27T16:58:41.4640000+00:00,0
cause_key,2023-11-27T16:58:41.6270000+00:00,0
freesimples,2023-11-27T16:58:53.4150000+00:00,0
freesimples,2023-11-27T16:58:55.9410000+00:00,0
capsador,2023-11-27T16:59:22.6090000+00:00,0
lpdlio,2023-11-27T16:59:23.5720000+00:00,0
kaylio64,2023-11-27T16:59:26.4040000+00:00,0
magzhik,2023-11-27T16:59:27.9220000+00:00,0
kaylio64,2023-11-27T16:59:29.8210000+00:00,0
snek_pliskin,2023-11-27T16:59:33.1590000+00:00,0
capsador,2023-11-27T16:59:33.3180000+00:00,3
_naya_,2023-11-27T16:59:37.8450000+00:00,6
freesimples,2023-11-27T16:59:59.1320000+00:00,0
lpdlio,2023-11-27T17:00:07.2150000+00:00,0
freesimples,2023-11-27T17:00:07.3890000+00:00,0
freesimples,2023-11-27T17:00:13.1690000+00:00,0
lpdlio,2023-11-27T17:00:18.3560000+00:00,0
cause_key,2023-11-27T17:00:29.6960000+00:00,0
snek_pliskin,2023-11-27T17:00:37.4090000+00:00,0
stachemallow,2023-11-27T17:00:38.7340000+00:00,0
simmsy,2023-11-27T17:00:42.0510000+00:00,0
capsador,2023-11-27T17:00:47.8990000+00:00,0
snek_pliskin,2023-11-27T17:01:00.4040000+00:00,0
nodja,2023-11-27T17:01:03.5910000+00:00,0
fresh_heels,2023-11-27T17:01:09.2530000+00:00,0
stachemallow,2023-11-27T17:01:11.3430000+00:00,0
stachemallow,2023-11-27T17:01:14.9440000+00:00,0
kusoro,2023-11-27T17:01:23.9860000+00:00,0
manofanswers,2023-11-27T17:01:32.1860000+00:00,0
snek_pliskin,2023-11-27T17:01:45.5720000+00:00,0
simmsy,2023-11-27T17:01:57.7650000+00:00,0
capsador,2023-11-27T17:02:00.5870000+00:00,0
c806256,2023-11-27T17:02:02.4950000+00:00,0
simmsy,2023-11-27T17:02:06.9680000+00:00,0
_medley,2023-11-27T17:02:10.0500000+00:00,0
snek_pliskin,2023-11-27T17:02:18.4520000+00:00,0
cause_key,2023-11-27T17:02:39.7850000+00:00,1
capsador,2023-11-27T17:02:48.9970000+00:00,0
_medley,2023-11-27T17:02:54.3810000+00:00,0
manofanswers,2023-11-27T17:02:55.8750000+00:00,0
simmsy,2023-11-27T17:03:15.7850000+00:00,0
jigchu,2023-11-27T17:03:16.1560000+00:00,0
phoryan,2023-11-27T17:03:19.2450000+00:00,0
snek_pliskin,2023-11-27T17:03:28.5260000+00:00,0
_naya_,2023-11-27T17:03:32.8130000+00:00,0
simmsy,2023-11-27T17:04:21.4820000+00:00,0
capsador,2023-11-27T17:04:42.3020000+00:00,0
cause_key,2023-11-27T17:05:04.4780000+00:00,0
manofanswers,2023-11-27T17:05:18.0890000+00:00,0
simmsy,2023-11-27T17:05:25.8540000+00:00,0
kusoro,2023-11-27T17:05:28.9370000+00:00,0
aniforprez,2023-11-27T17:06:42.6180000+00:00,0
sahil_.,2023-11-27T17:07:05.6560000+00:00,0
nodja,2023-11-27T17:07:09.8640000+00:00,0
manofanswers,2023-11-27T17:07:30.4070000+00:00,0
nodja,2023-11-27T17:07:38.8350000+00:00,0
luna.panda,2023-11-27T17:08:44.0270000+00:00,0
manofanswers,2023-11-27T17:08:45.8140000+00:00,0
luna.panda,2023-11-27T17:09:11.2710000+00:00,0
nexter420,2023-11-27T17:09:12.7540000+00:00,0
freesimples,2023-11-27T17:09:27.8140000+00:00,0
freesimples,2023-11-27T17:09:28.9900000+00:00,0
the_first_lilly,2023-11-27T17:09:29.3340000+00:00,0
snek_pliskin,2023-11-27T17:09:33.5050000+00:00,0
snek_pliskin,2023-11-27T17:09:52.1700000+00:00,0
silkspire,2023-11-27T17:09:53.6140000+00:00,0
freesimples,2023-11-27T17:10:04.3730000+00:00,0
freesimples,2023-11-27T17:10:07.0820000+00:00,0
winduckie,2023-11-27T17:10:15.2660000+00:00,0
the_first_lilly,2023-11-27T17:10:21.3260000+00:00,0
gyakusetsuteki,2023-11-27T17:10:24.8740000+00:00,0
snek_pliskin,2023-11-27T17:10:30.2580000+00:00,0
cause_key,2023-11-27T17:10:57.4820000+00:00,0
the_first_lilly,2023-11-27T17:10:59.3400000+00:00,0
snek_pliskin,2023-11-27T17:11:09.2600000+00:00,0
snek_pliskin,2023-11-27T17:11:10.8930000+00:00,0
zargy,2023-11-27T17:11:48.7610000+00:00,0
simmsy,2023-11-27T17:12:17.9420000+00:00,0
luna.panda,2023-11-27T17:12:18.6100000+00:00,0
snek_pliskin,2023-11-27T17:12:25.4390000+00:00,0
capsador,2023-11-27T17:14:10.7350000+00:00,0
phoryan,2023-11-27T17:14:43.2750000+00:00,0
retrodragonfly,2023-11-27T17:15:00.5540000+00:00,0
snek_pliskin,2023-11-27T17:15:06.3950000+00:00,0
retrodragonfly,2023-11-27T17:15:30.4500000+00:00,0
retrodragonfly,2023-11-27T17:15:56.5180000+00:00,0
simmsy,2023-11-27T17:17:52.3950000+00:00,0
snek_pliskin,2023-11-27T17:19:24.0470000+00:00,0
kaylio64,2023-11-27T17:19:36.1610000+00:00,0
snek_pliskin,2023-11-27T17:19:43.0580000+00:00,0
snek_pliskin,2023-11-27T17:19:45.5500000+00:00,0
snek_pliskin,2023-11-27T17:19:52.1220000+00:00,0
kaylio64,2023-11-27T17:20:47.3270000+00:00,0
manofanswers,2023-11-27T17:20:59.0920000+00:00,0
nexter420,2023-11-27T17:20:59.3510000+00:00,0
geymin,2023-11-27T17:20:59.6860000+00:00,0
kaylio64,2023-11-27T17:21:04.2770000+00:00,0
snek_pliskin,2023-11-27T17:21:17.7580000+00:00,0
cause_key,2023-11-27T17:21:27.1910000+00:00,0
kaylio64,2023-11-27T17:21:27.5280000+00:00,0
simmsy,2023-11-27T17:21:33.1590000+00:00,0
cause_key,2023-11-27T17:21:34.8800000+00:00,0
snek_pliskin,2023-11-27T17:21:35.0960000+00:00,0
kaylio64,2023-11-27T17:21:35.5310000+00:00,0
redons_new_eye,2023-11-27T17:21:48.9130000+00:00,0
simmsy,2023-11-27T17:21:50.6040000+00:00,0
kaylio64,2023-11-27T17:21:51.3150000+00:00,0
snek_pliskin,2023-11-27T17:21:52.0090000+00:00,0
cause_key,2023-11-27T17:21:55.7470000+00:00,0
phoryan,2023-11-27T17:22:07.1730000+00:00,0
kaylio64,2023-11-27T17:22:07.7630000+00:00,2
snek_pliskin,2023-11-27T17:22:10.8660000+00:00,0
kaylio64,2023-11-27T17:22:11.6090000+00:00,0
kaylio64,2023-11-27T17:22:12.9910000+00:00,0
geymin,2023-11-27T17:22:14.9920000+00:00,0
phoryan,2023-11-27T17:22:22.7110000+00:00,2
snek_pliskin,2023-11-27T17:22:35.4330000+00:00,0
kaylio64,2023-11-27T17:22:36.8880000+00:00,0
snek_pliskin,2023-11-27T17:22:37.7980000+00:00,0
kaylio64,2023-11-27T17:22:39.7750000+00:00,0
snek_pliskin,2023-11-27T17:22:40.5110000+00:00,0
cause_key,2023-11-27T17:22:43.5250000+00:00,0
snek_pliskin,2023-11-27T17:22:53.9250000+00:00,0
snek_pliskin,2023-11-27T17:23:01.1380000+00:00,0
_naya_,2023-11-27T17:23:04.1560000+00:00,0
ocelotshotfirst,2023-11-27T17:23:09.2540000+00:00,0
manofanswers,2023-11-27T17:23:09.9210000+00:00,0
snek_pliskin,2023-11-27T17:23:15.9210000+00:00,0
raptore6941,2023-11-27T17:23:18.7390000+00:00,0
cause_key,2023-11-27T17:23:19.5060000+00:00,0
winduckie,2023-11-27T17:23:23.6210000+00:00,0
itsmagicaaa,2023-11-27T17:23:30.5880000+00:00,0
snek_pliskin,2023-11-27T17:23:30.7860000+00:00,0
snek_pliskin,2023-11-27T17:23:35.7460000+00:00,0
geymin,2023-11-27T17:23:43.5350000+00:00,0
cause_key,2023-11-27T17:24:25.8160000+00:00,0
winduckie,2023-11-27T17:24:53.2740000+00:00,0
snek_pliskin,2023-11-27T17:25:32.2870000+00:00,0
snek_pliskin,2023-11-27T17:25:34.4160000+00:00,0
snek_pliskin,2023-11-27T17:25:41.8470000+00:00,0
cause_key,2023-11-27T17:25:48.2270000+00:00,0
cause_key,2023-11-27T17:26:00.4980000+00:00,0
cause_key,2023-11-27T17:26:11.0070000+00:00,0
cause_key,2023-11-27T17:26:21.0610000+00:00,0
raptore6941,2023-11-27T17:26:31.5610000+00:00,0
_naya_,2023-11-27T17:26:32.1510000+00:00,0
cause_key,2023-11-27T17:26:43.6540000+00:00,0
cause_key,2023-11-27T17:26:45.6120000+00:00,0
raptore6941,2023-11-27T17:27:57.6460000+00:00,0
maddisonbaek,2023-11-27T17:28:15.8170000+00:00,0
maddisonbaek,2023-11-27T17:28:17.2620000+00:00,0
geymin,2023-11-27T17:28:36.8000000+00:00,0
phoryan,2023-11-27T17:29:44.9720000+00:00,0
michaelpirollo,2023-11-27T17:30:41.6860000+00:00,0
geymin,2023-11-27T17:30:43.1980000+00:00,0
phoryan,2023-11-27T17:35:55.6600000+00:00,0
algent,2023-11-27T17:36:09.0490000+00:00,0
manofanswers,2023-11-27T17:36:16.6870000+00:00,0
snek_pliskin,2023-11-27T17:36:30.5980000+00:00,0
snek_pliskin,2023-11-27T17:36:37.1620000+00:00,0
luna.panda,2023-11-27T17:36:37.8900000+00:00,0
waefwerf,2023-11-27T17:36:41.8200000+00:00,0
phoryan,2023-11-27T17:36:45.9510000+00:00,0
snek_pliskin,2023-11-27T17:36:54.0250000+00:00,0
nodja,2023-11-27T17:36:54.1470000+00:00,0
michaelpirollo,2023-11-27T17:36:57.2490000+00:00,0
snek_pliskin,2023-11-27T17:36:57.9520000+00:00,0
nodja,2023-11-27T17:36:58.0880000+00:00,0
manofanswers,2023-11-27T17:37:02.8600000+00:00,0
nodja,2023-11-27T17:37:12.8750000+00:00,0
waefwerf,2023-11-27T17:37:15.5150000+00:00,0
baaaldur,2023-11-27T17:37:16.4160000+00:00,0
nodja,2023-11-27T17:37:18.4050000+00:00,0
snek_pliskin,2023-11-27T17:37:25.0370000+00:00,0
baaaldur,2023-11-27T17:37:25.7690000+00:00,0
phoryan,2023-11-27T17:37:34.5260000+00:00,0
amaror,2023-11-27T17:37:35.2230000+00:00,0
indigoli,2023-11-27T17:37:36.9250000+00:00,0
snek_pliskin,2023-11-27T17:37:37.1050000+00:00,0
snek_pliskin,2023-11-27T17:38:00.0320000+00:00,0
itsmagicaaa,2023-11-27T17:38:04.0060000+00:00,0
nodja,2023-11-27T17:38:04.9300000+00:00,0
snek_pliskin,2023-11-27T17:38:08.2380000+00:00,0
waefwerf,2023-11-27T17:38:18.0430000+00:00,0
waefwerf,2023-11-27T17:38:40.6910000+00:00,0
indigoli,2023-11-27T17:38:41.2930000+00:00,0
baaaldur,2023-11-27T17:38:50.8720000+00:00,0
baaaldur,2023-11-27T17:38:58.7350000+00:00,0
snek_pliskin,2023-11-27T17:39:06.1980000+00:00,0
snek_pliskin,2023-11-27T17:39:13.9400000+00:00,0
snek_pliskin,2023-11-27T17:39:22.8340000+00:00,0
baaaldur,2023-11-27T17:39:26.0800000+00:00,0
nodja,2023-11-27T17:39:54.1860000+00:00,0
waefwerf,2023-11-27T17:39:56.7600000+00:00,0
itsmagicaaa,2023-11-27T17:40:11.4470000+00:00,0
nodja,2023-11-27T17:40:23.9190000+00:00,0
itsmagicaaa,2023-11-27T17:40:30.2580000+00:00,0
baaaldur,2023-11-27T17:40:31.7600000+00:00,0
waefwerf,2023-11-27T17:40:35.2350000+00:00,0
nodja,2023-11-27T17:40:45.3090000+00:00,0
baaaldur,2023-11-27T17:40:49.7360000+00:00,0
geymin,2023-11-27T17:41:01.0460000+00:00,0
geymin,2023-11-27T17:41:05.3710000+00:00,0
itsmagicaaa,2023-11-27T17:41:17.7340000+00:00,0
phoryan,2023-11-27T17:41:33.8900000+00:00,0
thatsyyguy,2023-11-27T17:41:40.8480000+00:00,0
nodja,2023-11-27T17:41:43.6070000+00:00,0
waefwerf,2023-11-27T17:42:06.3750000+00:00,0
geymin,2023-11-27T17:42:06.6170000+00:00,0
jacviking,2023-11-27T17:42:13.2320000+00:00,0
freesimples,2023-11-27T17:42:14.9480000+00:00,0
freesimples,2023-11-27T17:42:17.5560000+00:00,0
snek_pliskin,2023-11-27T17:42:18.0130000+00:00,0
freesimples,2023-11-27T17:42:25.4680000+00:00,0
phoryan,2023-11-27T17:42:30.1780000+00:00,0
snek_pliskin,2023-11-27T17:42:50.4040000+00:00,0
snek_pliskin,2023-11-27T17:44:06.8350000+00:00,0
nodja,2023-11-27T17:44:14.6690000+00:00,0
soakedbread,2023-11-27T17:44:27.4460000+00:00,0
soakedbread,2023-11-27T17:44:31.2600000+00:00,0
_naya_,2023-11-27T17:44:31.3050000+00:00,0
enki_petrichor,2023-11-27T17:44:41.5110000+00:00,0
zigouigoui,2023-11-27T17:44:49.7770000+00:00,0
snek_pliskin,2023-11-27T17:45:02.2350000+00:00,0
phoryan,2023-11-27T17:45:17.3310000+00:00,0
waefwerf,2023-11-27T17:45:19.6370000+00:00,0
simmsy,2023-11-27T17:45:26.0070000+00:00,0
soakedbread,2023-11-27T17:45:28.3320000+00:00,0
samandunintellectual,2023-11-27T17:45:43.9060000+00:00,0
snek_pliskin,2023-11-27T17:45:49.5960000+00:00,0
nodja,2023-11-27T17:45:50.9160000+00:00,0
phoryan,2023-11-27T17:46:00.8650000+00:00,0
kusoro,2023-11-27T17:46:15.6920000+00:00,0
geymin,2023-11-27T17:46:20.0120000+00:00,0
kusoro,2023-11-27T17:46:25.4140000+00:00,0
_naya_,2023-11-27T17:46:28.3700000+00:00,0
soakedbread,2023-11-27T17:46:28.5110000+00:00,0
snek_pliskin,2023-11-27T17:46:36.0680000+00:00,0
snek_pliskin,2023-11-27T17:46:37.3000000+00:00,0
snek_pliskin,2023-11-27T17:46:45.7030000+00:00,0
itsmagicaaa,2023-11-27T17:46:47.8860000+00:00,0
waefwerf,2023-11-27T17:47:10.2310000+00:00,0
kusoro,2023-11-27T17:47:20.9450000+00:00,0
enki_petrichor,2023-11-27T17:47:58.8610000+00:00,0
_naya_,2023-11-27T17:48:30.1760000+00:00,1
zantze,2023-11-27T17:49:07.9750000+00:00,0
maddisonbaek,2023-11-27T17:49:08.8130000+00:00,0
snek_pliskin,2023-11-27T17:49:32.3230000+00:00,1
simmsy,2023-11-27T17:49:38.3600000+00:00,0
snek_pliskin,2023-11-27T17:49:57.4040000+00:00,0
phoryan,2023-11-27T17:50:12.2900000+00:00,0
voltivemmi_9307,2023-11-27T17:50:12.9640000+00:00,0
_naya_,2023-11-27T17:50:14.5300000+00:00,0
_naya_,2023-11-27T17:50:23.2670000+00:00,0
waefwerf,2023-11-27T17:50:26.2800000+00:00,0
_naya_,2023-11-27T17:50:27.6540000+00:00,0
maddisonbaek,2023-11-27T17:50:39.4270000+00:00,0
waefwerf,2023-11-27T17:50:40.9820000+00:00,0
maddisonbaek,2023-11-27T17:50:42.2170000+00:00,0
voltivemmi_9307,2023-11-27T17:50:43.5730000+00:00,0
simmsy,2023-11-27T17:50:48.0880000+00:00,0
silvysilv,2023-11-27T17:50:53.3170000+00:00,0
snek_pliskin,2023-11-27T17:51:05.7370000+00:00,0
phoryan,2023-11-27T17:51:08.4890000+00:00,0
snek_pliskin,2023-11-27T17:51:11.0690000+00:00,0
maddisonbaek,2023-11-27T17:51:12.2680000+00:00,0
maddisonbaek,2023-11-27T17:51:15.9950000+00:00,0
