Author,Date,Reactions
dongorlovessekimeiya,2023-06-22T16:19:21.6500000+00:00,0
magzhik,2023-06-22T16:19:22.9230000+00:00,0
joseph_anderson_,2023-06-22T16:19:29.8360000+00:00,32
darkflash,2023-06-22T16:19:37.2210000+00:00,0
viros_,2023-06-22T16:19:37.7440000+00:00,0
manofshadows,2023-06-22T16:19:42.8460000+00:00,0
_naya_,2023-06-22T16:19:48.7330000+00:00,0
capsador,2023-06-22T16:19:51.1060000+00:00,6
snek_pliskin,2023-06-22T16:19:54.1750000+00:00,0
algent,2023-06-22T16:19:54.3970000+00:00,0
snek_pliskin,2023-06-22T16:19:56.2400000+00:00,0
snek_pliskin,2023-06-22T16:20:02.5710000+00:00,0
billythepony,2023-06-22T16:20:02.8040000+00:00,0
_naya_,2023-06-22T16:20:04.6210000+00:00,0
jeremiah2263,2023-06-22T16:20:09.1170000+00:00,1
hypotheticalwalrus,2023-06-22T16:20:13.9950000+00:00,0
aerolfos,2023-06-22T16:20:17.4300000+00:00,0
kiwimeowahura,2023-06-22T16:20:26.0790000+00:00,0
magzhik,2023-06-22T16:20:30.4410000+00:00,0
kiwimeowahura,2023-06-22T16:20:31.8960000+00:00,0
collie,2023-06-22T16:20:33.0710000+00:00,1
algent,2023-06-22T16:20:38.0290000+00:00,1
kiwimeowahura,2023-06-22T16:20:44.3180000+00:00,0
_medley,2023-06-22T16:21:17.5050000+00:00,0
umbrene,2023-06-22T16:21:39.8130000+00:00,0
_naya_,2023-06-22T16:21:49.8570000+00:00,0
quinners,2023-06-22T16:21:54.0990000+00:00,0
skrt_2,2023-06-22T16:21:57.4330000+00:00,0
skrt_2,2023-06-22T16:22:05.3250000+00:00,0
umbrene,2023-06-22T16:22:07.2830000+00:00,0
phoryan,2023-06-22T16:22:17.8970000+00:00,2
_naya_,2023-06-22T16:22:25.3250000+00:00,0
oliveisaword,2023-06-22T16:22:55.3220000+00:00,0
algent,2023-06-22T16:23:12.0890000+00:00,0
oliveisaword,2023-06-22T16:23:42.7210000+00:00,0
fsce,2023-06-22T16:24:57.4110000+00:00,0
fsce,2023-06-22T16:25:02.8150000+00:00,0
algent,2023-06-22T16:25:03.5210000+00:00,0
aerolfos,2023-06-22T16:25:05.7160000+00:00,0
algent,2023-06-22T16:25:06.8720000+00:00,0
fsce,2023-06-22T16:25:09.4410000+00:00,0
fsce,2023-06-22T16:25:20.3650000+00:00,0
vichilangelo,2023-06-22T16:26:04.3390000+00:00,0
baredboke,2023-06-22T16:26:46.3850000+00:00,0
fsce,2023-06-22T16:27:17.5320000+00:00,0
vichilangelo,2023-06-22T16:27:34.2510000+00:00,0
fsce,2023-06-22T16:28:24.9460000+00:00,0
fsce,2023-06-22T16:28:46.1760000+00:00,0
fsce,2023-06-22T16:29:00.5640000+00:00,0
baredboke,2023-06-22T16:29:16.3650000+00:00,0
baredboke,2023-06-22T16:29:34.2830000+00:00,0
sqrrk,2023-06-22T16:34:20.8860000+00:00,0
_medley,2023-06-22T16:35:56.0700000+00:00,0
saichiiro.,2023-06-22T16:43:16.1070000+00:00,0
algent,2023-06-22T16:44:09.6010000+00:00,0
saichiiro.,2023-06-22T16:44:32.6450000+00:00,0
.asphaltus,2023-06-22T16:45:09.1360000+00:00,0
saichiiro.,2023-06-22T16:45:35.5180000+00:00,0
saichiiro.,2023-06-22T16:46:10.4000000+00:00,0
.asphaltus,2023-06-22T16:47:44.6780000+00:00,0
kiwimeowahura,2023-06-22T16:50:38.1250000+00:00,0
.asphaltus,2023-06-22T16:52:16.2640000+00:00,0
kiwimeowahura,2023-06-22T16:53:02.3970000+00:00,0
.asphaltus,2023-06-22T16:53:35.7880000+00:00,0
kiwimeowahura,2023-06-22T16:53:38.2600000+00:00,0
kiwimeowahura,2023-06-22T16:54:19.1540000+00:00,0
.asphaltus,2023-06-22T16:55:18.8270000+00:00,0
itsmagicaaa,2023-06-22T16:55:50.3360000+00:00,0
schnupfel,2023-06-22T16:55:55.3780000+00:00,0
kiwimeowahura,2023-06-22T16:56:01.6340000+00:00,0
quinners,2023-06-22T16:56:18.1620000+00:00,0
quinners,2023-06-22T16:56:22.3200000+00:00,0
.asphaltus,2023-06-22T16:56:35.4430000+00:00,0
kiwimeowahura,2023-06-22T16:57:32.9690000+00:00,0
vichilangelo,2023-06-22T16:58:40.4990000+00:00,0
.asphaltus,2023-06-22T16:59:00.2420000+00:00,0
.asphaltus,2023-06-22T16:59:49.3880000+00:00,0
saichiiro.,2023-06-22T16:59:57.6810000+00:00,0
saichiiro.,2023-06-22T17:00:19.9060000+00:00,0
saichiiro.,2023-06-22T17:00:24.1000000+00:00,0
algent,2023-06-22T17:01:17.2900000+00:00,0
algent,2023-06-22T17:01:32.8920000+00:00,0
kiwimeowahura,2023-06-22T17:03:03.9740000+00:00,0
.asphaltus,2023-06-22T17:03:18.1210000+00:00,0
algent,2023-06-22T17:03:30.4450000+00:00,0
algent,2023-06-22T17:03:41.9150000+00:00,0
saichiiro.,2023-06-22T17:04:09.8870000+00:00,0
algent,2023-06-22T17:04:51.2230000+00:00,0
.asphaltus,2023-06-22T17:05:37.8620000+00:00,0
kiwimeowahura,2023-06-22T17:05:55.3790000+00:00,0
saichiiro.,2023-06-22T17:06:01.6720000+00:00,0
saichiiro.,2023-06-22T17:06:15.5520000+00:00,0
saichiiro.,2023-06-22T17:06:37.6460000+00:00,0
saichiiro.,2023-06-22T17:06:45.4720000+00:00,0
.asphaltus,2023-06-22T17:07:18.8890000+00:00,0
kiwimeowahura,2023-06-22T17:07:20.9030000+00:00,0
