Author,Date,Reactions
bulder,2023-07-12T16:23:43.5470000+00:00,0
gordotforrot,2023-07-12T16:23:44.0260000+00:00,3
thetntm,2023-07-12T16:23:45.5480000+00:00,0
gordotforrot,2023-07-12T16:23:46.6370000+00:00,0
darkflash,2023-07-12T16:23:48.2590000+00:00,0
voltivemmi_9307,2023-07-12T16:23:48.7160000+00:00,0
sqrrk,2023-07-12T16:23:50.6560000+00:00,0
thetntm,2023-07-12T16:23:55.5670000+00:00,0
truth12885,2023-07-12T16:24:02.0230000+00:00,0
voltivemmi_9307,2023-07-12T16:24:02.5630000+00:00,0
accursedvagabond,2023-07-12T16:24:03.0370000+00:00,0
oliveisaword,2023-07-12T16:24:03.9020000+00:00,0
sqrrk,2023-07-12T16:24:06.3020000+00:00,0
gordotforrot,2023-07-12T16:24:07.9700000+00:00,1
thetntm,2023-07-12T16:24:19.8050000+00:00,0
oliveisaword,2023-07-12T16:24:22.6700000+00:00,0
dircashede,2023-07-12T16:24:29.3750000+00:00,0
bulder,2023-07-12T16:24:32.2830000+00:00,1
thetntm,2023-07-12T16:24:37.7660000+00:00,0
thetntm,2023-07-12T16:24:53.3240000+00:00,0
truth12885,2023-07-12T16:25:16.5480000+00:00,0
sqrrk,2023-07-12T16:25:31.4990000+00:00,1
thetntm,2023-07-12T16:25:40.1980000+00:00,0
bulder,2023-07-12T16:25:44.3630000+00:00,5
paddele,2023-07-12T16:25:45.6800000+00:00,0
thetntm,2023-07-12T16:25:52.6730000+00:00,0
oliveisaword,2023-07-12T16:26:02.0190000+00:00,0
truth12885,2023-07-12T16:26:06.9610000+00:00,0
magzhik,2023-07-12T16:26:13.9210000+00:00,0
truth12885,2023-07-12T16:26:17.6220000+00:00,0
thetntm,2023-07-12T16:26:30.2320000+00:00,0
thetntm,2023-07-12T16:26:36.1690000+00:00,0
truth12885,2023-07-12T16:26:42.1570000+00:00,0
sqrrk,2023-07-12T16:26:44.1930000+00:00,3
bulder,2023-07-12T16:26:48.4580000+00:00,0
bulder,2023-07-12T16:26:54.1720000+00:00,0
thetntm,2023-07-12T16:27:09.6600000+00:00,0
waefwerf,2023-07-12T16:27:23.0490000+00:00,0
truth12885,2023-07-12T16:27:35.2370000+00:00,0
thetntm,2023-07-12T16:27:37.2660000+00:00,0
truth12885,2023-07-12T16:27:45.5490000+00:00,0
thetntm,2023-07-12T16:28:05.3860000+00:00,3
thetntm,2023-07-12T16:28:24.4810000+00:00,0
paddele,2023-07-12T16:28:34.4360000+00:00,0
truth12885,2023-07-12T16:28:47.0230000+00:00,0
truth12885,2023-07-12T16:28:49.4680000+00:00,0
truth12885,2023-07-12T16:28:50.5900000+00:00,2
falzar25,2023-07-12T16:28:51.1450000+00:00,0
falzar25,2023-07-12T16:29:00.6270000+00:00,0
falzar25,2023-07-12T16:29:06.1630000+00:00,0
thetntm,2023-07-12T16:29:07.6970000+00:00,0
truth12885,2023-07-12T16:29:09.3130000+00:00,0
falzar25,2023-07-12T16:29:10.4330000+00:00,0
thetntm,2023-07-12T16:29:10.8560000+00:00,0
thetntm,2023-07-12T16:29:13.7330000+00:00,0
thetntm,2023-07-12T16:29:19.8870000+00:00,0
thetntm,2023-07-12T16:29:26.5200000+00:00,0
voltivemmi_9307,2023-07-12T16:29:31.0560000+00:00,0
thetntm,2023-07-12T16:29:39.1370000+00:00,0
kaylio64,2023-07-12T16:29:39.8110000+00:00,0
kaylio64,2023-07-12T16:29:43.8260000+00:00,0
bulder,2023-07-12T16:29:46.2680000+00:00,0
truth12885,2023-07-12T16:29:47.4440000+00:00,0
kaylio64,2023-07-12T16:29:50.5150000+00:00,0
truth12885,2023-07-12T16:29:53.3300000+00:00,0
bulder,2023-07-12T16:30:01.6490000+00:00,0
thetntm,2023-07-12T16:30:01.7430000+00:00,0
truth12885,2023-07-12T16:30:03.2150000+00:00,0
truth12885,2023-07-12T16:30:06.0940000+00:00,0
truth12885,2023-07-12T16:30:08.4070000+00:00,0
bulder,2023-07-12T16:30:10.6780000+00:00,0
astrelwastaken,2023-07-12T16:30:13.2680000+00:00,0
thetntm,2023-07-12T16:30:36.4540000+00:00,0
bulder,2023-07-12T16:30:37.7800000+00:00,0
bulder,2023-07-12T16:30:38.7790000+00:00,0
paddele,2023-07-12T16:30:45.3600000+00:00,2
henrio.o,2023-07-12T16:30:48.0650000+00:00,0
paddele,2023-07-12T16:30:48.0810000+00:00,0
truth12885,2023-07-12T16:30:54.4520000+00:00,0
paddele,2023-07-12T16:31:00.4050000+00:00,0
thetntm,2023-07-12T16:31:01.1380000+00:00,0
meta_magician,2023-07-12T16:31:03.1270000+00:00,0
bulder,2023-07-12T16:31:06.2140000+00:00,0
thetntm,2023-07-12T16:31:15.5190000+00:00,0
