Author,Date,Reactions
joseph_anderson_,2022-12-22T08:37:24.9850000+00:00,0
samandunintellectual,2022-12-22T08:37:42.6360000+00:00,0
torchrr,2022-12-22T08:37:50.6880000+00:00,0
torchrr,2022-12-22T08:38:32.7950000+00:00,0
torchrr,2022-12-22T08:38:53.9860000+00:00,0
joseph_anderson_,2022-12-22T08:39:10.1620000+00:00,0
joseph_anderson_,2022-12-22T08:39:15.6210000+00:00,0
andreeej,2022-12-22T08:39:52.7320000+00:00,0
joseph_anderson_,2022-12-22T08:40:05.2880000+00:00,0
torchrr,2022-12-22T08:40:07.9150000+00:00,0
andreeej,2022-12-22T08:40:41.1640000+00:00,0
wamysauce,2022-12-22T08:41:49.7980000+00:00,0
kusoro,2022-12-22T08:49:44.6640000+00:00,0
kusoro,2022-12-22T08:50:38.9560000+00:00,0
kusoro,2022-12-22T08:51:45.5870000+00:00,0
kusoro,2022-12-22T08:52:05.5710000+00:00,0
gimmeoliver,2022-12-22T08:52:53.7220000+00:00,0
joseph_anderson_,2022-12-22T08:53:41.7630000+00:00,0
joseph_anderson_,2022-12-22T08:54:11.6740000+00:00,0
violinsexual,2022-12-22T08:54:18.7420000+00:00,0
joseph_anderson_,2022-12-22T08:54:32.6960000+00:00,0
joseph_anderson_,2022-12-22T08:54:54.7930000+00:00,0
violinsexual,2022-12-22T08:55:07.5130000+00:00,0
joseph_anderson_,2022-12-22T08:55:21.7470000+00:00,0
violinsexual,2022-12-22T08:55:24.7840000+00:00,0
joseph_anderson_,2022-12-22T08:55:25.4500000+00:00,0
kusoro,2022-12-22T08:55:28.2260000+00:00,0
thudnfer,2022-12-22T08:56:03.6790000+00:00,0
kusoro,2022-12-22T08:56:14.1720000+00:00,0
sedicentefricchettone,2022-12-22T08:56:15.9650000+00:00,0
kusoro,2022-12-22T08:56:42.2550000+00:00,0
sedicentefricchettone,2022-12-22T08:57:03.0970000+00:00,0
kusoro,2022-12-22T08:57:03.4480000+00:00,0
joseph_anderson_,2022-12-22T08:57:04.6630000+00:00,0
thudnfer,2022-12-22T08:57:13.4820000+00:00,0
thudnfer,2022-12-22T08:57:24.8870000+00:00,0
joseph_anderson_,2022-12-22T08:57:39.8850000+00:00,0
joseph_anderson_,2022-12-22T08:57:50.3350000+00:00,0
violinsexual,2022-12-22T08:58:10.7260000+00:00,0
sedicentefricchettone,2022-12-22T08:58:38.1780000+00:00,0
Deleted User,2022-12-22T08:58:59.6920000+00:00,0
kusoro,2022-12-22T08:59:01.1090000+00:00,0
joseph_anderson_,2022-12-22T08:59:10.3610000+00:00,0
joseph_anderson_,2022-12-22T08:59:30.5100000+00:00,0
violinsexual,2022-12-22T08:59:40.8640000+00:00,0
violinsexual,2022-12-22T08:59:55.2110000+00:00,0
joseph_anderson_,2022-12-22T09:00:00.9740000+00:00,0
sedicentefricchettone,2022-12-22T09:00:01.9220000+00:00,0
kusoro,2022-12-22T09:00:17.3130000+00:00,0
joseph_anderson_,2022-12-22T09:00:19.1510000+00:00,0
violinsexual,2022-12-22T09:00:32.6100000+00:00,0
joseph_anderson_,2022-12-22T09:00:39.2600000+00:00,0
violinsexual,2022-12-22T09:00:39.5750000+00:00,0
kusoro,2022-12-22T09:00:49.9700000+00:00,0
joseph_anderson_,2022-12-22T09:00:52.1900000+00:00,0
sedicentefricchettone,2022-12-22T09:01:06.3380000+00:00,0
haen24,2022-12-22T09:01:08.8980000+00:00,0
joseph_anderson_,2022-12-22T09:01:11.0260000+00:00,0
sedicentefricchettone,2022-12-22T09:01:16.0280000+00:00,0
joseph_anderson_,2022-12-22T09:01:20.0360000+00:00,0
violinsexual,2022-12-22T09:01:25.3290000+00:00,0
kusoro,2022-12-22T09:01:47.8470000+00:00,0
sedicentefricchettone,2022-12-22T09:01:58.0840000+00:00,0
kusoro,2022-12-22T09:02:08.5230000+00:00,0
sedicentefricchettone,2022-12-22T09:02:12.9900000+00:00,0
sedicentefricchettone,2022-12-22T09:02:36.9130000+00:00,0
sedicentefricchettone,2022-12-22T09:02:40.7700000+00:00,0
kusoro,2022-12-22T09:03:01.2720000+00:00,0
slangpunk,2022-12-22T09:04:35.7240000+00:00,0
estrogwen_,2022-12-22T09:05:58.8540000+00:00,0
sedicentefricchettone,2022-12-22T09:11:22.3650000+00:00,0
joseph_anderson_,2022-12-22T09:11:23.0640000+00:00,1
kusoro,2022-12-22T09:12:12.7610000+00:00,0
sedicentefricchettone,2022-12-22T09:12:33.6240000+00:00,0
kusoro,2022-12-22T09:13:05.7390000+00:00,0
kusoro,2022-12-22T09:13:15.6150000+00:00,0
kusoro,2022-12-22T09:13:47.4070000+00:00,0
sedicentefricchettone,2022-12-22T09:14:15.6490000+00:00,0
sedicentefricchettone,2022-12-22T09:14:58.2360000+00:00,0
kusoro,2022-12-22T09:15:30.2320000+00:00,0
sedicentefricchettone,2022-12-22T09:15:48.0860000+00:00,0
joseph_anderson_,2022-12-22T09:16:13.0610000+00:00,0
joseph_anderson_,2022-12-22T09:16:23.5320000+00:00,0
joseph_anderson_,2022-12-22T09:16:26.2880000+00:00,0
kusoro,2022-12-22T09:16:26.6340000+00:00,0
joseph_anderson_,2022-12-22T09:16:28.3190000+00:00,0
joseph_anderson_,2022-12-22T09:16:29.3190000+00:00,0
joseph_anderson_,2022-12-22T09:16:44.9140000+00:00,0
kusoro,2022-12-22T09:17:04.1930000+00:00,0
estrogwen_,2022-12-22T09:17:12.3770000+00:00,5
joseph_anderson_,2022-12-22T09:17:15.7020000+00:00,0
kusoro,2022-12-22T09:17:17.1170000+00:00,0
joseph_anderson_,2022-12-22T09:17:37.9830000+00:00,0
kusoro,2022-12-22T09:17:45.4330000+00:00,0
lattyware,2022-12-22T09:27:14.2090000+00:00,0
kusoro,2022-12-22T09:28:06.0090000+00:00,0
superboyok,2022-12-22T09:52:45.8200000+00:00,0
joseph_anderson_,2022-12-22T09:56:32.2530000+00:00,0
violinsexual,2022-12-22T09:56:52.2270000+00:00,0
superboyok,2022-12-22T09:57:02.3250000+00:00,0
joseph_anderson_,2022-12-22T09:57:16.6360000+00:00,0
joseph_anderson_,2022-12-22T09:57:21.3860000+00:00,0
superboyok,2022-12-22T09:57:35.9430000+00:00,0
joseph_anderson_,2022-12-22T09:57:55.9270000+00:00,0
kusoro,2022-12-22T09:58:09.5670000+00:00,0
violinsexual,2022-12-22T09:58:20.9660000+00:00,0
kusoro,2022-12-22T09:58:42.8910000+00:00,0
kusoro,2022-12-22T09:58:52.8900000+00:00,0
joseph_anderson_,2022-12-22T09:59:00.2150000+00:00,0
kusoro,2022-12-22T09:59:37.0820000+00:00,0
kusoro,2022-12-22T09:59:51.0700000+00:00,0
superboyok,2022-12-22T10:00:00.7350000+00:00,0
joseph_anderson_,2022-12-22T10:00:02.7360000+00:00,0
violinsexual,2022-12-22T10:00:11.7050000+00:00,0
violinsexual,2022-12-22T10:00:29.9760000+00:00,0
joseph_anderson_,2022-12-22T10:01:11.2380000+00:00,0
kusoro,2022-12-22T10:01:34.1140000+00:00,0
kusoro,2022-12-22T10:02:53.0590000+00:00,0
sedicentefricchettone,2022-12-22T10:05:24.8280000+00:00,0
sedicentefricchettone,2022-12-22T10:05:48.2020000+00:00,0
kusoro,2022-12-22T10:07:51.7940000+00:00,0
sedicentefricchettone,2022-12-22T10:08:39.0430000+00:00,0
sedicentefricchettone,2022-12-22T10:09:36.8190000+00:00,0
joseph_anderson_,2022-12-22T10:12:10.2430000+00:00,0
kusoro,2022-12-22T10:12:42.0450000+00:00,0
sedicentefricchettone,2022-12-22T10:13:07.0490000+00:00,0
sedicentefricchettone,2022-12-22T10:13:25.5800000+00:00,0
joseph_anderson_,2022-12-22T10:13:30.9410000+00:00,0
sedicentefricchettone,2022-12-22T10:13:31.0330000+00:00,0
sedicentefricchettone,2022-12-22T10:13:57.4410000+00:00,0
sedicentefricchettone,2022-12-22T10:14:01.7120000+00:00,0
sedicentefricchettone,2022-12-22T10:14:59.2300000+00:00,0
marl,2022-12-22T10:17:52.9020000+00:00,0
marl,2022-12-22T10:18:00.2900000+00:00,0
sedicentefricchettone,2022-12-22T10:18:44.2430000+00:00,0
sedicentefricchettone,2022-12-22T10:18:56.2890000+00:00,0
kusoro,2022-12-22T10:19:04.9140000+00:00,0
kusoro,2022-12-22T10:19:47.0320000+00:00,0
kusoro,2022-12-22T10:19:58.6700000+00:00,0
kusoro,2022-12-22T10:21:21.3660000+00:00,0
sedicentefricchettone,2022-12-22T10:21:36.1250000+00:00,0
kusoro,2022-12-22T10:21:43.1970000+00:00,0
kusoro,2022-12-22T10:22:29.9480000+00:00,0
kusoro,2022-12-22T10:23:05.2780000+00:00,0
kusoro,2022-12-22T10:23:31.7420000+00:00,0
sedicentefricchettone,2022-12-22T10:23:33.7360000+00:00,0
sedicentefricchettone,2022-12-22T10:24:30.1970000+00:00,0
joseph_anderson_,2022-12-22T10:30:08.3050000+00:00,0
joseph_anderson_,2022-12-22T10:30:29.7730000+00:00,0
slangpunk,2022-12-22T10:30:58.5920000+00:00,0
violinsexual,2022-12-22T10:31:53.8520000+00:00,0
slangpunk,2022-12-22T10:32:30.5270000+00:00,1
kusoro,2022-12-22T10:41:49.5900000+00:00,0
sedicentefricchettone,2022-12-22T10:56:59.9850000+00:00,0
joseph_anderson_,2022-12-22T10:57:30.7020000+00:00,0
joseph_anderson_,2022-12-22T10:57:52.1130000+00:00,0
kusoro,2022-12-22T10:58:02.4150000+00:00,0
joseph_anderson_,2022-12-22T10:58:03.0750000+00:00,0
joseph_anderson_,2022-12-22T10:58:06.4310000+00:00,0
joseph_anderson_,2022-12-22T10:58:08.3870000+00:00,0
joseph_anderson_,2022-12-22T10:58:38.2800000+00:00,0
kusoro,2022-12-22T10:58:42.6100000+00:00,0
kusoro,2022-12-22T11:01:39.1930000+00:00,0
kusoro,2022-12-22T11:02:07.9340000+00:00,0
kusoro,2022-12-22T11:03:56.0490000+00:00,0
sedicentefricchettone,2022-12-22T11:06:22.2900000+00:00,0
