Author,Date,Reactions
joseph_anderson_,2022-06-24T06:33:26.4420000+00:00,0
joseph_anderson_,2022-06-24T06:33:36.1590000+00:00,0
notarobot4444,2022-06-24T06:35:09.9180000+00:00,0
falzar25,2022-06-24T06:35:17.2190000+00:00,0
truth12885,2022-06-24T06:35:32.9210000+00:00,0
.dragner,2022-06-24T06:37:00.8440000+00:00,0
nagitosweatyarmpits,2022-06-24T06:37:06.2900000+00:00,0
nagitosweatyarmpits,2022-06-24T06:37:17.2140000+00:00,0
truth12885,2022-06-24T06:37:47.8370000+00:00,0
kusoro,2022-06-24T06:38:19.3250000+00:00,2
nagitosweatyarmpits,2022-06-24T06:38:59.6870000+00:00,0
falzar25,2022-06-24T06:39:07.2800000+00:00,1
truth12885,2022-06-24T06:39:39.5080000+00:00,0
nagitosweatyarmpits,2022-06-24T06:40:10.1360000+00:00,0
truth12885,2022-06-24T06:41:40.1440000+00:00,0
truth12885,2022-06-24T06:41:48.5980000+00:00,0
nagitosweatyarmpits,2022-06-24T06:41:55.1530000+00:00,0
nagitosweatyarmpits,2022-06-24T06:42:03.2460000+00:00,0
nagitosweatyarmpits,2022-06-24T06:42:09.7190000+00:00,0
truth12885,2022-06-24T06:42:14.5870000+00:00,0
nagitosweatyarmpits,2022-06-24T06:42:31.5220000+00:00,0
truth12885,2022-06-24T06:43:17.9030000+00:00,0
truth12885,2022-06-24T06:43:45.1160000+00:00,0
nagitosweatyarmpits,2022-06-24T06:44:47.7470000+00:00,0
nagitosweatyarmpits,2022-06-24T06:45:18.1130000+00:00,0
truth12885,2022-06-24T06:47:08.0430000+00:00,0
falzar25,2022-06-24T06:47:39.1140000+00:00,0
falzar25,2022-06-24T06:47:59.7170000+00:00,0
nagitosweatyarmpits,2022-06-24T06:57:06.6380000+00:00,0
nagitosweatyarmpits,2022-06-24T06:58:47.6800000+00:00,0
nagitosweatyarmpits,2022-06-24T06:59:28.4270000+00:00,0
truth12885,2022-06-24T07:02:12.7030000+00:00,0
truth12885,2022-06-24T07:02:40.1110000+00:00,0
.dragner,2022-06-24T07:03:34.9580000+00:00,0
.dragner,2022-06-24T07:03:39.1700000+00:00,0
.dragner,2022-06-24T07:04:14.7400000+00:00,0
truth12885,2022-06-24T07:05:42.1740000+00:00,0
paddele,2022-06-24T07:06:04.6160000+00:00,0
paddele,2022-06-24T07:06:11.7570000+00:00,0
truth12885,2022-06-24T07:13:18.5110000+00:00,0
.dragner,2022-06-24T07:17:27.8900000+00:00,0
.dragner,2022-06-24T07:17:34.8580000+00:00,0
.dragner,2022-06-24T07:17:38.6570000+00:00,0
.dragner,2022-06-24T07:18:09.5120000+00:00,0
capsador,2022-06-24T07:41:42.5950000+00:00,0
kusoro,2022-06-24T07:44:28.7710000+00:00,0
.dragner,2022-06-24T07:45:18.9620000+00:00,0
.dragner,2022-06-24T07:45:53.9220000+00:00,0
capsador,2022-06-24T07:46:20.2720000+00:00,0
.dragner,2022-06-24T07:47:08.0840000+00:00,0
kusoro,2022-06-24T07:49:45.7270000+00:00,0
kusoro,2022-06-24T07:49:48.9880000+00:00,0
paddele,2022-06-24T07:50:30.0930000+00:00,0
paddele,2022-06-24T07:50:35.2200000+00:00,0
.dragner,2022-06-24T07:50:35.5740000+00:00,0
.dragner,2022-06-24T07:50:44.6070000+00:00,0
kusoro,2022-06-24T07:50:48.5390000+00:00,0
kusoro,2022-06-24T07:50:54.5470000+00:00,0
.dragner,2022-06-24T07:51:00.4500000+00:00,0
.dragner,2022-06-24T07:51:04.4040000+00:00,0
.dragner,2022-06-24T07:51:05.0940000+00:00,0
kusoro,2022-06-24T07:51:05.5450000+00:00,0
kusoro,2022-06-24T07:52:04.8880000+00:00,0
.dragner,2022-06-24T07:52:43.4860000+00:00,0
paddele,2022-06-24T07:52:47.7240000+00:00,0
kusoro,2022-06-24T07:52:58.5750000+00:00,0
.dragner,2022-06-24T07:53:11.4330000+00:00,0
kusoro,2022-06-24T07:53:36.9570000+00:00,0
.dragner,2022-06-24T07:53:37.9440000+00:00,0
kusoro,2022-06-24T07:54:09.2000000+00:00,0
nagitosweatyarmpits,2022-06-24T07:56:03.5990000+00:00,0
.dragner,2022-06-24T07:56:16.5600000+00:00,0
kusoro,2022-06-24T07:57:55.2400000+00:00,0
kusoro,2022-06-24T07:58:07.0940000+00:00,0
