Author,Date,Reactions
joseph_anderson_,2022-11-08T11:21:05.1060000+00:00,0
cause_key,2022-11-08T11:22:48.8830000+00:00,0
capsador,2022-11-08T11:23:15.7910000+00:00,0
nodja,2022-11-08T11:23:37.6090000+00:00,0
paddele,2022-11-08T11:25:51.1790000+00:00,0
capsador,2022-11-08T11:32:00.8370000+00:00,0
umbrene,2022-11-08T11:35:36.1180000+00:00,0
_naya_,2022-11-08T11:58:58.0130000+00:00,0
paddele,2022-11-08T11:59:49.4060000+00:00,0
paddele,2022-11-08T12:00:03.7300000+00:00,0
greatlyeroticbagel,2022-11-08T12:00:11.5750000+00:00,0
paddele,2022-11-08T12:21:36.5800000+00:00,0
greatlyeroticbagel,2022-11-08T12:21:55.6050000+00:00,0
greatlyeroticbagel,2022-11-08T12:23:26.3610000+00:00,0
greatlyeroticbagel,2022-11-08T12:23:52.2210000+00:00,0
capsador,2022-11-08T12:23:55.9960000+00:00,0
greatlyeroticbagel,2022-11-08T12:26:36.9730000+00:00,0
greatlyeroticbagel,2022-11-08T12:36:08.6640000+00:00,0
_naya_,2022-11-08T13:45:31.8710000+00:00,0
vany227,2022-11-08T15:57:20.1730000+00:00,0
callmeraye,2022-11-08T16:02:25.9880000+00:00,0
capsador,2022-11-08T16:03:53.4250000+00:00,0
kusoro,2022-11-08T16:17:34.2390000+00:00,0
paddele,2022-11-08T18:18:41.1820000+00:00,0
falzar25,2022-11-08T18:22:20.9730000+00:00,0
falzar25,2022-11-08T18:22:50.5980000+00:00,0
falzar25,2022-11-08T18:25:42.4430000+00:00,0
vany227,2022-11-08T19:26:21.2770000+00:00,0
beanibee,2022-11-08T20:46:07.6430000+00:00,0
beanibee,2022-11-08T20:46:41.8280000+00:00,0
wamysauce,2022-11-08T21:24:02.1840000+00:00,0
wamysauce,2022-11-08T21:24:06.1100000+00:00,0
snek_pliskin,2022-11-08T21:34:23.6560000+00:00,0
wamysauce,2022-11-09T00:25:10.7570000+00:00,0
wamysauce,2022-11-09T00:25:15.5990000+00:00,0
wamysauce,2022-11-09T00:25:18.7510000+00:00,0
wamysauce,2022-11-09T00:25:23.0280000+00:00,0
greatlyeroticbagel,2022-11-09T00:53:43.2450000+00:00,0
greatlyeroticbagel,2022-11-09T01:09:17.5560000+00:00,0
vany227,2022-11-09T05:01:32.4900000+00:00,0
vany227,2022-11-09T05:01:39.6180000+00:00,0
vany227,2022-11-09T06:36:24.2100000+00:00,0
vany227,2022-11-09T06:36:39.1400000+00:00,0
guppy7,2022-11-09T06:42:22.8680000+00:00,0
guppy7,2022-11-09T06:42:48.3380000+00:00,0
vany227,2022-11-09T07:04:07.3760000+00:00,0
vany227,2022-11-09T07:04:08.6280000+00:00,0
vany227,2022-11-09T07:04:21.7170000+00:00,0
guppy7,2022-11-09T07:05:33.3000000+00:00,0
guppy7,2022-11-09T07:05:53.8240000+00:00,0
vany227,2022-11-09T07:05:58.2810000+00:00,0
vany227,2022-11-09T07:06:05.3540000+00:00,0
vany227,2022-11-09T07:06:12.2850000+00:00,0
vany227,2022-11-09T07:06:13.6880000+00:00,0
vany227,2022-11-09T07:06:15.8940000+00:00,0
guppy7,2022-11-09T07:06:30.9540000+00:00,0
vany227,2022-11-09T07:06:38.3600000+00:00,0
vany227,2022-11-09T07:06:43.4020000+00:00,0
vany227,2022-11-09T07:06:47.2300000+00:00,0
vany227,2022-11-09T07:07:02.3490000+00:00,0
guppy7,2022-11-09T07:07:11.1540000+00:00,0
vany227,2022-11-09T07:07:13.5570000+00:00,0
vany227,2022-11-09T07:07:29.5960000+00:00,0
vany227,2022-11-09T07:07:43.3300000+00:00,0
guppy7,2022-11-09T07:07:57.2200000+00:00,0
vany227,2022-11-09T07:08:07.0980000+00:00,0
guppy7,2022-11-09T07:08:09.9540000+00:00,1
vany227,2022-11-09T07:08:31.1970000+00:00,0
guppy7,2022-11-09T07:09:40.6150000+00:00,0
guppy7,2022-11-09T07:09:46.9650000+00:00,0
vany227,2022-11-09T07:09:49.3760000+00:00,0
vany227,2022-11-09T07:09:50.7200000+00:00,0
vany227,2022-11-09T07:09:56.0560000+00:00,0
vany227,2022-11-09T07:21:10.7440000+00:00,0
vany227,2022-11-09T07:21:12.9570000+00:00,0
vany227,2022-11-09T07:21:15.3110000+00:00,0
vany227,2022-11-09T07:21:16.9540000+00:00,0
wamysauce,2022-11-09T07:25:12.4790000+00:00,0
wamysauce,2022-11-09T07:25:25.5170000+00:00,0
wamysauce,2022-11-09T07:25:35.4820000+00:00,0
wamysauce,2022-11-09T07:25:39.6340000+00:00,0
wamysauce,2022-11-09T07:26:09.9770000+00:00,0
wamysauce,2022-11-09T07:26:11.1030000+00:00,0
snek_pliskin,2022-11-09T07:26:24.9800000+00:00,1
vany227,2022-11-09T07:37:21.0850000+00:00,0
vany227,2022-11-09T07:37:26.1050000+00:00,0
vany227,2022-11-09T07:37:29.1740000+00:00,0
greatlyeroticbagel,2022-11-09T07:51:04.7150000+00:00,0
vany227,2022-11-09T07:52:00.3920000+00:00,0
vany227,2022-11-09T07:52:11.3280000+00:00,0
greatlyeroticbagel,2022-11-09T07:53:32.6510000+00:00,0
greatlyeroticbagel,2022-11-09T07:53:43.2300000+00:00,0
guppy7,2022-11-09T07:56:35.2450000+00:00,0
guppy7,2022-11-09T07:56:44.8910000+00:00,0
vany227,2022-11-09T09:10:10.2960000+00:00,0
vany227,2022-11-09T09:10:12.2130000+00:00,0
vany227,2022-11-09T09:16:06.2500000+00:00,0
paddele,2022-11-09T14:30:28.8780000+00:00,0
cjlj,2022-11-09T16:04:33.5570000+00:00,0
cjlj,2022-11-09T16:05:32.6090000+00:00,0
cjlj,2022-11-09T16:06:19.7580000+00:00,0
paddele,2022-11-09T16:06:53.2860000+00:00,0
falzar25,2022-11-09T16:07:09.6380000+00:00,0
meta_magician,2022-11-09T16:43:00.9650000+00:00,0
_naya_,2022-11-09T16:45:00.9210000+00:00,0
.neoleo,2022-11-09T19:17:58.9770000+00:00,0
.neoleo,2022-11-09T19:18:13.2720000+00:00,0
.neoleo,2022-11-09T19:19:17.3190000+00:00,0
vany227,2022-11-09T19:22:13.9960000+00:00,0
.neoleo,2022-11-09T19:26:10.5000000+00:00,0
.neoleo,2022-11-09T19:26:39.8010000+00:00,0
_naya_,2022-11-09T19:46:07.8390000+00:00,0
_naya_,2022-11-09T19:46:27.6380000+00:00,0
_naya_,2022-11-09T19:47:15.2060000+00:00,0
_naya_,2022-11-09T19:47:28.3280000+00:00,0
.neoleo,2022-11-09T19:47:47.2100000+00:00,0
.neoleo,2022-11-09T19:48:10.1000000+00:00,0
_naya_,2022-11-09T19:48:12.8490000+00:00,0
.neoleo,2022-11-09T19:48:59.9290000+00:00,0
.neoleo,2022-11-09T19:49:03.6660000+00:00,0
.neoleo,2022-11-09T19:49:24.0890000+00:00,0
.neoleo,2022-11-09T19:49:55.8050000+00:00,0
.neoleo,2022-11-09T19:50:08.9470000+00:00,0
.neoleo,2022-11-09T19:50:55.5360000+00:00,0
_naya_,2022-11-09T19:51:19.7270000+00:00,0
.neoleo,2022-11-09T19:52:10.9550000+00:00,0
.neoleo,2022-11-09T19:52:18.1260000+00:00,0
_naya_,2022-11-09T19:53:10.8280000+00:00,0
