Author,Date,Reactions
joseph_anderson_,2022-04-15T15:15:58.2940000+00:00,555
joseph_anderson_,2022-04-20T16:08:09.4280000+00:00,388
joseph_anderson_,2022-04-21T16:22:15.4900000+00:00,381
joseph_anderson_,2022-04-22T16:21:52.1250000+00:00,354
joseph_anderson_,2022-04-24T16:49:21.8410000+00:00,318
joseph_anderson_,2022-04-25T16:43:25.1110000+00:00,325
joseph_anderson_,2022-04-26T16:50:43.0450000+00:00,232
joseph_anderson_,2022-04-27T17:31:17.9700000+00:00,249
joseph_anderson_,2022-04-28T17:00:48.0330000+00:00,225
joseph_anderson_,2022-04-29T17:00:00.4370000+00:00,358
joseph_anderson_,2022-05-10T16:04:21.9690000+00:00,321
joseph_anderson_,2022-05-11T16:23:25.9210000+00:00,204
joseph_anderson_,2022-05-12T16:25:09.2880000+00:00,306
joseph_anderson_,2022-05-13T18:37:58.4570000+00:00,268
joseph_anderson_,2022-05-16T16:43:36.8420000+00:00,276
joseph_anderson_,2022-05-17T16:41:51.1310000+00:00,219
joseph_anderson_,2022-05-18T16:27:48.5570000+00:00,205
joseph_anderson_,2022-05-19T16:18:51.5370000+00:00,290
joseph_anderson_,2022-05-19T19:32:06.9680000+00:00,455
joseph_anderson_,2022-06-02T16:20:21.7960000+00:00,237
joseph_anderson_,2022-06-06T16:39:10.2590000+00:00,247
joseph_anderson_,2022-06-07T17:20:28.5230000+00:00,257
joseph_anderson_,2022-06-08T16:02:01.1550000+00:00,180
joseph_anderson_,2022-06-09T16:31:12.2070000+00:00,124
joseph_anderson_,2022-06-10T16:38:43.0320000+00:00,179
joseph_anderson_,2022-06-13T16:28:18.6250000+00:00,179
joseph_anderson_,2022-06-14T16:37:26.1990000+00:00,138
joseph_anderson_,2022-06-15T16:43:54.8600000+00:00,170
joseph_anderson_,2022-06-20T16:38:20.9250000+00:00,184
joseph_anderson_,2022-06-21T16:49:50.7570000+00:00,219
joseph_anderson_,2022-06-23T17:01:09.5510000+00:00,502
joseph_anderson_,2022-07-31T15:48:26.9060000+00:00,540
joseph_anderson_,2022-08-01T15:53:17.3990000+00:00,232
joseph_anderson_,2022-08-02T16:47:09.9010000+00:00,414
joseph_anderson_,2022-08-03T16:15:40.5320000+00:00,284
joseph_anderson_,2022-08-04T17:12:33.1500000+00:00,184
joseph_anderson_,2022-08-05T16:30:19.4620000+00:00,199
joseph_anderson_,2022-08-09T17:02:47.7450000+00:00,271
joseph_anderson_,2022-08-10T17:07:17.2540000+00:00,217
joseph_anderson_,2022-08-11T16:43:21.4110000+00:00,289
joseph_anderson_,2022-11-09T18:14:02.8610000+00:00,449
joseph_anderson_,2022-11-09T20:36:29.9130000+00:00,160
joseph_anderson_,2022-11-10T17:56:54.4750000+00:00,274
joseph_anderson_,2022-11-11T15:17:11.4720000+00:00,160
joseph_anderson_,2022-11-12T15:34:40.0010000+00:00,158
joseph_anderson_,2022-11-13T16:25:53.4770000+00:00,118
joseph_anderson_,2022-11-14T15:03:02.2800000+00:00,224
joseph_anderson_,2022-11-15T15:40:43.6310000+00:00,162
joseph_anderson_,2022-11-17T16:14:47.3680000+00:00,177
joseph_anderson_,2022-11-18T16:49:40.2150000+00:00,183
joseph_anderson_,2022-11-19T17:09:01.5540000+00:00,135
joseph_anderson_,2022-11-20T17:13:29.2500000+00:00,193
