Author,Date,Reactions
joseph_anderson_,2023-08-26T16:54:20.0700000+00:00,0
torchrr,2023-08-26T16:54:25.2810000+00:00,0
kaylio64,2023-08-26T16:54:25.8830000+00:00,0
kaylio64,2023-08-26T16:54:27.0940000+00:00,0
eterna.light,2023-08-26T16:54:43.6440000+00:00,0
edicus,2023-08-26T16:54:45.1430000+00:00,0
oliveisaword,2023-08-26T16:54:45.8710000+00:00,0
magzhik,2023-08-26T16:54:45.9960000+00:00,0
billythepony,2023-08-26T16:54:52.2100000+00:00,5
oliveisaword,2023-08-26T16:54:56.8640000+00:00,0
khizzical,2023-08-26T16:55:08.4600000+00:00,1
avarisi,2023-08-26T16:55:09.0290000+00:00,0
waynebrady_,2023-08-26T16:55:11.6440000+00:00,0
edicus,2023-08-26T16:55:13.0470000+00:00,0
torchrr,2023-08-26T16:55:15.2480000+00:00,0
billythepony,2023-08-26T16:55:16.5540000+00:00,0
zerstorenhv,2023-08-26T16:55:16.8010000+00:00,0
khizzical,2023-08-26T16:55:43.1460000+00:00,0
kiwimeowahura,2023-08-26T16:55:44.7540000+00:00,0
edicus,2023-08-26T16:56:02.5130000+00:00,0
waynebrady_,2023-08-26T16:56:29.0990000+00:00,1
kiwimeowahura,2023-08-26T16:58:23.9270000+00:00,0
waynebrady_,2023-08-26T16:59:05.1570000+00:00,0
sqrrk,2023-08-26T16:59:09.5450000+00:00,0
sqrrk,2023-08-26T16:59:20.4120000+00:00,0
tfk365,2023-08-26T16:59:52.9440000+00:00,0
aerolfos,2023-08-26T17:01:11.6380000+00:00,0
sqrrk,2023-08-26T17:01:43.3750000+00:00,0
sqrrk,2023-08-26T17:01:56.9030000+00:00,0
torchrr,2023-08-26T17:02:51.0290000+00:00,0
aerolfos,2023-08-26T17:03:36.2790000+00:00,6
nmbk,2023-08-26T17:06:28.3930000+00:00,0
howyudoinn,2023-08-26T17:06:35.9920000+00:00,0
gintobi,2023-08-26T17:08:49.3220000+00:00,0
cobalt_drake,2023-08-26T17:10:43.7180000+00:00,0
cobalt_drake,2023-08-26T17:10:56.0060000+00:00,0
howyudoinn,2023-08-26T17:12:13.7890000+00:00,0
howyudoinn,2023-08-26T17:12:22.2210000+00:00,0
masa23vn,2023-08-26T17:12:32.0130000+00:00,0
masa23vn,2023-08-26T17:12:43.8570000+00:00,0
cobalt_drake,2023-08-26T17:12:44.7970000+00:00,0
howyudoinn,2023-08-26T17:13:02.9310000+00:00,0
waynebrady_,2023-08-26T17:13:06.2130000+00:00,0
howyudoinn,2023-08-26T17:13:15.9920000+00:00,0
gintobi,2023-08-26T17:13:17.2800000+00:00,0
howyudoinn,2023-08-26T17:13:22.5970000+00:00,0
algent,2023-08-26T17:13:24.3330000+00:00,0
algent,2023-08-26T17:13:25.3770000+00:00,0
robyntact,2023-08-26T17:13:25.8810000+00:00,0
robyntact,2023-08-26T17:13:34.5890000+00:00,0
