Author,Date,Reactions
umbrene,2023-07-18T16:27:22.8920000+00:00,0
robotmaniac,2023-07-18T16:27:28.9120000+00:00,0
retinas,2023-07-18T16:27:30.6450000+00:00,0
kelsiervin,2023-07-18T16:27:32.1860000+00:00,0
aniforprez,2023-07-18T16:27:32.2200000+00:00,0
zargy,2023-07-18T16:27:33.3030000+00:00,0
tfk365,2023-07-18T16:27:33.5100000+00:00,0
manofanswers,2023-07-18T16:27:37.9920000+00:00,0
cause_key,2023-07-18T16:27:43.6990000+00:00,0
altair3454,2023-07-18T16:27:44.2530000+00:00,0
aniforprez,2023-07-18T16:27:44.6430000+00:00,0
taxen_of_hearts,2023-07-18T16:27:45.3510000+00:00,0
aburrki,2023-07-18T16:27:54.3060000+00:00,0
taxen_of_hearts,2023-07-18T16:28:01.5090000+00:00,0
aburrki,2023-07-18T16:28:05.5360000+00:00,0
voltivemmi_9307,2023-07-18T16:28:06.4560000+00:00,0
druss_malka,2023-07-18T16:28:10.4100000+00:00,0
aniforprez,2023-07-18T16:28:12.3270000+00:00,0
umbrene,2023-07-18T16:28:13.4970000+00:00,0
druss_malka,2023-07-18T16:28:19.2640000+00:00,0
voltivemmi_9307,2023-07-18T16:28:21.1190000+00:00,0
robotmaniac,2023-07-18T16:28:21.4540000+00:00,0
altair3454,2023-07-18T16:28:23.6340000+00:00,0
robotmaniac,2023-07-18T16:28:33.0750000+00:00,0
jelly386,2023-07-18T16:28:35.6590000+00:00,0
codfishcartographer,2023-07-18T16:29:37.0110000+00:00,0
voltivemmi_9307,2023-07-18T16:29:48.3200000+00:00,0
brokenalex1048,2023-07-18T16:29:49.4270000+00:00,0
brokenalex1048,2023-07-18T16:29:54.2650000+00:00,0
sqrrk,2023-07-18T16:29:55.4110000+00:00,0
codfishcartographer,2023-07-18T16:30:11.7890000+00:00,0
kk5372,2023-07-18T16:30:14.2010000+00:00,0
magzhik,2023-07-18T16:30:21.6770000+00:00,0
nagitosweatyarmpits,2023-07-18T16:30:25.0480000+00:00,0
manofanswers,2023-07-18T16:30:28.3390000+00:00,1
manofanswers,2023-07-18T16:30:33.4920000+00:00,0
voltivemmi_9307,2023-07-18T16:30:34.8170000+00:00,0
robotmaniac,2023-07-18T16:30:35.7700000+00:00,0
brokenalex1048,2023-07-18T16:30:37.5740000+00:00,0
nagitosweatyarmpits,2023-07-18T16:30:39.8580000+00:00,0
aniforprez,2023-07-18T16:30:45.9680000+00:00,0
codfishcartographer,2023-07-18T16:30:49.0170000+00:00,0
aniforprez,2023-07-18T16:30:51.8680000+00:00,0
voltivemmi_9307,2023-07-18T16:30:53.4970000+00:00,0
paddele,2023-07-18T16:30:56.8280000+00:00,0
brokenalex1048,2023-07-18T16:30:57.1670000+00:00,0
manofanswers,2023-07-18T16:30:59.4340000+00:00,0
nyansparkle,2023-07-18T16:31:03.8250000+00:00,0
paddele,2023-07-18T16:31:06.4960000+00:00,0
codfishcartographer,2023-07-18T16:31:08.5500000+00:00,0
voltivemmi_9307,2023-07-18T16:31:10.2010000+00:00,1
kk5372,2023-07-18T16:31:13.5840000+00:00,12
robotmaniac,2023-07-18T16:31:13.6680000+00:00,0
paddele,2023-07-18T16:31:14.1530000+00:00,0
nagitosweatyarmpits,2023-07-18T16:31:15.8660000+00:00,0
paddele,2023-07-18T16:31:24.7450000+00:00,3
jelly386,2023-07-18T16:31:27.1490000+00:00,0
jelly386,2023-07-18T16:31:34.7490000+00:00,5
baaaaaaaaaaaaaaaaaaaaaaaaaaaaaad,2023-07-18T16:31:36.4210000+00:00,0
voltivemmi_9307,2023-07-18T16:31:40.2730000+00:00,0
robotmaniac,2023-07-18T16:31:48.0790000+00:00,0
