Author,Date,Reactions
sarcedor,2023-11-28T16:43:08.8450000+00:00,0
niquel,2023-11-28T16:43:10.9610000+00:00,0
tfk365,2023-11-28T16:43:13.7280000+00:00,0
jeremiah2263,2023-11-28T16:43:14.8190000+00:00,0
jelly386,2023-11-28T16:43:18.5320000+00:00,0
paddele,2023-11-28T16:43:18.5750000+00:00,3
jelly386,2023-11-28T16:43:25.2200000+00:00,0
snek_pliskin,2023-11-28T16:43:25.7180000+00:00,0
snek_pliskin,2023-11-28T16:43:26.8710000+00:00,0
maver8019,2023-11-28T16:43:29.9670000+00:00,0
sarcedor,2023-11-28T16:43:31.1080000+00:00,4
jigchu,2023-11-28T16:43:32.0030000+00:00,0
soma5456,2023-11-28T16:43:40.2690000+00:00,1
jeremiah2263,2023-11-28T16:43:49.8400000+00:00,0
altair3454,2023-11-28T16:43:51.2680000+00:00,0
paddele,2023-11-28T16:43:56.2500000+00:00,0
sciembe,2023-11-28T16:43:56.4010000+00:00,5
niquel,2023-11-28T16:43:57.0700000+00:00,0
capsador,2023-11-28T16:44:16.8880000+00:00,0
cause_key,2023-11-28T16:44:19.1490000+00:00,0
tfk365,2023-11-28T16:44:24.5830000+00:00,0
kaylio64,2023-11-28T16:44:27.1900000+00:00,1
kaylio64,2023-11-28T16:44:29.5760000+00:00,0
capsador,2023-11-28T16:44:35.9940000+00:00,0
capsador,2023-11-28T16:44:39.3230000+00:00,0
paddele,2023-11-28T16:45:02.6500000+00:00,0
jeremiah2263,2023-11-28T16:45:04.1760000+00:00,0
jeremiah2263,2023-11-28T16:45:09.2180000+00:00,0
jigchu,2023-11-28T16:45:18.6010000+00:00,0
maver8019,2023-11-28T16:45:24.3470000+00:00,0
sarcedor,2023-11-28T16:45:26.2090000+00:00,0
sciembe,2023-11-28T16:45:33.9200000+00:00,0
paddele,2023-11-28T16:45:37.3440000+00:00,0
sciembe,2023-11-28T16:45:39.6400000+00:00,2
flashplex,2023-11-28T16:45:55.3780000+00:00,0
gimmeoliver,2023-11-28T16:46:19.8010000+00:00,0
niquel,2023-11-28T16:46:34.2310000+00:00,0
notbericlever,2023-11-28T16:46:38.0430000+00:00,0
maver8019,2023-11-28T16:46:59.8340000+00:00,0
falzar25,2023-11-28T16:47:36.0120000+00:00,1
manofanswers,2023-11-28T16:48:27.8350000+00:00,7
magzhik,2023-11-28T16:48:30.3420000+00:00,0
flashplex,2023-11-28T16:49:28.0430000+00:00,0
manofanswers,2023-11-28T16:49:44.9190000+00:00,0
falzar25,2023-11-28T16:50:04.6800000+00:00,0
simmsy,2023-11-28T16:50:15.1950000+00:00,0
niquel,2023-11-28T16:50:19.9170000+00:00,0
kerkenes,2023-11-28T16:51:30.8790000+00:00,0
kerkenes,2023-11-28T16:51:32.4410000+00:00,0
flashplex,2023-11-28T16:51:35.7340000+00:00,0
falzar25,2023-11-28T16:51:47.2160000+00:00,0
cause_key,2023-11-28T16:51:51.5280000+00:00,0
kerkenes,2023-11-28T16:51:55.2920000+00:00,1
jeremiah2263,2023-11-28T16:51:59.0800000+00:00,0
jeremiah2263,2023-11-28T16:52:03.2840000+00:00,0
niquel,2023-11-28T16:52:09.5900000+00:00,0
falzar25,2023-11-28T16:52:10.8620000+00:00,1
niquel,2023-11-28T16:52:17.1150000+00:00,0
kerkenes,2023-11-28T16:52:22.4100000+00:00,0
falzar25,2023-11-28T16:52:39.0030000+00:00,0
falzar25,2023-11-28T16:52:42.2790000+00:00,0
jeremiah2263,2023-11-28T16:52:49.4070000+00:00,0
phoryan,2023-11-28T16:52:55.9030000+00:00,8
falzar25,2023-11-28T16:53:07.2110000+00:00,0
flashplex,2023-11-28T16:53:16.1370000+00:00,0
jeremiah2263,2023-11-28T16:53:33.9140000+00:00,0
falzar25,2023-11-28T16:53:37.9460000+00:00,0
hoorayitsharley,2023-11-28T16:53:54.0780000+00:00,0
hoorayitsharley,2023-11-28T16:53:59.0940000+00:00,0
flashplex,2023-11-28T16:54:01.7300000+00:00,0
tfk365,2023-11-28T16:54:30.9260000+00:00,0
hoorayitsharley,2023-11-28T16:55:27.6050000+00:00,0
cheeseyx,2023-11-28T16:55:28.0970000+00:00,0
hoorayitsharley,2023-11-28T16:55:31.2180000+00:00,0
hoorayitsharley,2023-11-28T16:55:32.7530000+00:00,0
hoorayitsharley,2023-11-28T16:55:34.9560000+00:00,0
jelly386,2023-11-28T16:55:46.9710000+00:00,1
cheeseyx,2023-11-28T16:56:03.1310000+00:00,0
hoorayitsharley,2023-11-28T16:56:15.9860000+00:00,0
flashplex,2023-11-28T16:56:36.7340000+00:00,0
cheeseyx,2023-11-28T16:56:38.0420000+00:00,0
hoorayitsharley,2023-11-28T16:56:57.1390000+00:00,0
hoorayitsharley,2023-11-28T16:57:01.8700000+00:00,0
simmsy,2023-11-28T16:57:05.3930000+00:00,0
hoorayitsharley,2023-11-28T16:57:06.7010000+00:00,0
celestinno,2023-11-28T16:57:08.0070000+00:00,0
celestinno,2023-11-28T16:57:19.2110000+00:00,0
kerkenes,2023-11-28T16:57:25.2440000+00:00,0
gimmeoliver,2023-11-28T16:57:28.1430000+00:00,0
kerkenes,2023-11-28T16:57:30.5140000+00:00,0
celestinno,2023-11-28T16:57:32.1300000+00:00,0
celestinno,2023-11-28T16:57:44.2590000+00:00,0
cheeseyx,2023-11-28T16:57:47.0410000+00:00,0
flashplex,2023-11-28T16:57:49.8950000+00:00,0
kiwimeowahura,2023-11-28T16:57:52.6820000+00:00,0
celestinno,2023-11-28T16:57:58.2950000+00:00,0
kiwimeowahura,2023-11-28T16:58:00.2190000+00:00,0
zargy,2023-11-28T16:58:04.3670000+00:00,4
hoorayitsharley,2023-11-28T16:58:10.1180000+00:00,0
jeremiah2263,2023-11-28T16:58:10.7010000+00:00,0
hoorayitsharley,2023-11-28T16:58:11.1290000+00:00,0
tfk365,2023-11-28T16:58:20.1500000+00:00,0
hoorayitsharley,2023-11-28T16:58:24.4430000+00:00,0
flashplex,2023-11-28T16:58:27.0840000+00:00,0
kiwimeowahura,2023-11-28T16:58:35.3830000+00:00,0
hoorayitsharley,2023-11-28T16:58:35.5530000+00:00,0
jeremiah2263,2023-11-28T16:58:36.2470000+00:00,0
kiwimeowahura,2023-11-28T16:58:40.4440000+00:00,0
kiwimeowahura,2023-11-28T16:58:43.3650000+00:00,0
jeremiah2263,2023-11-28T16:58:48.8360000+00:00,0
celestinno,2023-11-28T16:58:50.9550000+00:00,0
hoorayitsharley,2023-11-28T16:58:52.0970000+00:00,0
celestinno,2023-11-28T16:58:53.5240000+00:00,0
flashplex,2023-11-28T16:59:00.7020000+00:00,0
kiwimeowahura,2023-11-28T16:59:45.4480000+00:00,0
jeremiah2263,2023-11-28T17:00:14.7940000+00:00,0
truth12885,2023-11-28T17:00:21.1580000+00:00,0
zargy,2023-11-28T17:00:27.7880000+00:00,0
sciembe,2023-11-28T17:00:35.6320000+00:00,0
