Author,Date,Reactions
joseph_anderson_,2023-11-14T04:28:05.0550000+00:00,0
pubsub,2023-11-14T04:28:16.3020000+00:00,0
caaaath,2023-11-14T04:28:24.3070000+00:00,0
nanukou,2023-11-14T04:28:24.8800000+00:00,0
joseph_anderson_,2023-11-14T04:28:39.8650000+00:00,0
pubsub,2023-11-14T04:29:02.5110000+00:00,0
nanukou,2023-11-14T04:29:39.7570000+00:00,0
freesimples,2023-11-14T04:34:16.5900000+00:00,0
freesimples,2023-11-14T04:34:30.1010000+00:00,0
jelly386,2023-11-14T04:34:53.8240000+00:00,0
maddisonbaek,2023-11-14T05:49:40.2250000+00:00,3
snek_pliskin,2023-11-14T07:13:02.9290000+00:00,0
snek_pliskin,2023-11-14T07:16:22.5170000+00:00,0
snek_pliskin,2023-11-14T07:17:00.7480000+00:00,0
snek_pliskin,2023-11-14T07:17:12.8870000+00:00,0
snek_pliskin,2023-11-14T07:19:49.5230000+00:00,0
snek_pliskin,2023-11-14T07:20:08.4640000+00:00,0
maddisonbaek,2023-11-14T07:58:53.9720000+00:00,0
maddisonbaek,2023-11-14T07:58:57.4070000+00:00,0
_naya_,2023-11-14T08:14:36.7110000+00:00,0
falzar25,2023-11-14T08:19:04.8260000+00:00,0
falzar25,2023-11-14T08:19:09.4220000+00:00,0
falzar25,2023-11-14T08:19:16.9440000+00:00,0
falzar25,2023-11-14T08:19:19.2640000+00:00,0
falzar25,2023-11-14T08:19:33.9740000+00:00,0
falzar25,2023-11-14T08:19:35.4250000+00:00,0
_naya_,2023-11-14T08:25:54.8200000+00:00,0
hypotheticalwalrus,2023-11-14T08:43:39.6310000+00:00,0
hypotheticalwalrus,2023-11-14T08:45:28.3580000+00:00,0
hypotheticalwalrus,2023-11-14T08:45:33.6410000+00:00,0
snek_pliskin,2023-11-14T08:56:56.5630000+00:00,0
snek_pliskin,2023-11-14T08:57:08.9110000+00:00,0
falzar25,2023-11-14T09:02:12.9160000+00:00,0
falzar25,2023-11-14T09:02:54.5100000+00:00,0
falzar25,2023-11-14T09:03:00.5110000+00:00,0
falzar25,2023-11-14T09:03:03.1990000+00:00,0
snek_pliskin,2023-11-14T09:03:43.3470000+00:00,0
falzar25,2023-11-14T09:04:58.5720000+00:00,0
falzar25,2023-11-14T09:05:19.1980000+00:00,0
_naya_,2023-11-14T09:05:39.6600000+00:00,0
falzar25,2023-11-14T09:05:42.1060000+00:00,0
falzar25,2023-11-14T09:05:48.2710000+00:00,0
_naya_,2023-11-14T09:06:12.3240000+00:00,0
falzar25,2023-11-14T09:06:22.8120000+00:00,0
snek_pliskin,2023-11-14T09:06:44.2500000+00:00,0
_naya_,2023-11-14T09:06:44.4980000+00:00,0
snek_pliskin,2023-11-14T09:06:57.5830000+00:00,0
snek_pliskin,2023-11-14T09:07:02.1720000+00:00,0
_naya_,2023-11-14T09:09:25.1950000+00:00,0
hypotheticalwalrus,2023-11-14T09:12:15.7760000+00:00,0
hypotheticalwalrus,2023-11-14T09:12:40.7220000+00:00,0
snek_pliskin,2023-11-14T09:14:39.4190000+00:00,0
_naya_,2023-11-14T09:16:49.9410000+00:00,0
snek_pliskin,2023-11-14T09:19:46.0830000+00:00,0
snek_pliskin,2023-11-14T09:20:05.2000000+00:00,0
hypotheticalwalrus,2023-11-14T09:20:09.4940000+00:00,0
snek_pliskin,2023-11-14T09:20:32.1350000+00:00,0
hypotheticalwalrus,2023-11-14T09:27:20.0080000+00:00,0
_naya_,2023-11-14T09:28:16.9480000+00:00,0
hypotheticalwalrus,2023-11-14T09:28:51.8950000+00:00,0
_naya_,2023-11-14T13:34:00.0020000+00:00,0
freesimples,2023-11-14T13:36:17.1430000+00:00,0
freesimples,2023-11-14T13:36:38.4650000+00:00,0
_naya_,2023-11-14T13:38:32.5520000+00:00,0
jelly386,2023-11-14T13:40:33.7590000+00:00,0
jelly386,2023-11-14T13:41:59.3940000+00:00,0
jelly386,2023-11-14T13:42:26.1690000+00:00,0
jelly386,2023-11-14T13:42:30.4040000+00:00,0
jelly386,2023-11-14T13:42:58.8520000+00:00,0
jelly386,2023-11-14T13:45:05.8560000+00:00,0
_naya_,2023-11-14T13:46:15.8420000+00:00,0
jelly386,2023-11-14T13:46:20.5360000+00:00,0
jelly386,2023-11-14T13:46:25.1450000+00:00,0
_naya_,2023-11-14T13:46:45.8400000+00:00,0
jelly386,2023-11-14T13:46:58.4210000+00:00,0
jelly386,2023-11-14T13:47:18.8270000+00:00,0
hypotheticalwalrus,2023-11-14T14:05:48.6460000+00:00,0
freesimples,2023-11-14T14:06:19.2170000+00:00,0
_naya_,2023-11-14T14:06:26.7300000+00:00,0
_naya_,2023-11-14T14:07:35.8920000+00:00,0
jelly386,2023-11-14T14:07:48.5880000+00:00,0
hypotheticalwalrus,2023-11-14T14:10:20.0260000+00:00,0
hypotheticalwalrus,2023-11-14T14:10:45.3680000+00:00,0
_naya_,2023-11-14T14:11:10.8670000+00:00,0
_naya_,2023-11-14T14:11:24.6110000+00:00,0
_naya_,2023-11-14T14:11:30.5870000+00:00,0
hypotheticalwalrus,2023-11-14T14:14:20.7370000+00:00,0
_naya_,2023-11-14T14:14:45.7340000+00:00,0
snek_pliskin,2023-11-14T14:18:28.6830000+00:00,0
snek_pliskin,2023-11-14T14:18:45.4310000+00:00,0
_naya_,2023-11-14T14:19:11.8760000+00:00,0
_naya_,2023-11-14T14:19:13.6380000+00:00,0
_naya_,2023-11-14T14:19:15.1100000+00:00,0
snek_pliskin,2023-11-14T14:19:50.9590000+00:00,0
snek_pliskin,2023-11-14T14:19:58.7160000+00:00,0
freesimples,2023-11-14T14:20:09.7680000+00:00,0
freesimples,2023-11-14T14:20:36.5190000+00:00,0
_naya_,2023-11-14T14:20:37.8940000+00:00,0
snek_pliskin,2023-11-14T14:23:55.1430000+00:00,0
snek_pliskin,2023-11-14T14:23:59.8370000+00:00,0
_naya_,2023-11-14T14:24:32.7620000+00:00,0
snek_pliskin,2023-11-14T14:24:48.6490000+00:00,0
