Author,Date,Reactions
joseph_anderson_,2023-08-08T15:37:35.5230000+00:00,0
oath_othelio,2023-08-08T15:37:43.0110000+00:00,0
oath_othelio,2023-08-08T15:37:47.6330000+00:00,0
snek_pliskin,2023-08-08T15:37:50.0250000+00:00,0
12_424.,2023-08-08T15:37:56.8060000+00:00,0
umbrene,2023-08-08T15:38:04.5200000+00:00,0
joseph_anderson_,2023-08-08T15:38:05.9340000+00:00,0
vickyrira,2023-08-08T15:38:10.9680000+00:00,0
snek_pliskin,2023-08-08T15:38:19.9620000+00:00,0
paddele,2023-08-08T15:38:25.5200000+00:00,0
paddele,2023-08-08T15:38:28.9360000+00:00,0
slangpunk,2023-08-08T15:38:41.9660000+00:00,0
kusoro,2023-08-08T15:38:43.6560000+00:00,0
nmbk,2023-08-08T15:38:49.6110000+00:00,0
kusoro,2023-08-08T15:38:58.9580000+00:00,0
snek_pliskin,2023-08-08T15:39:08.9230000+00:00,0
kusoro,2023-08-08T15:39:10.0880000+00:00,0
nmbk,2023-08-08T15:39:10.6860000+00:00,0
snek_pliskin,2023-08-08T15:39:13.4180000+00:00,0
jeremiah2263,2023-08-08T15:39:29.9050000+00:00,1
zettexe2,2023-08-08T15:39:51.3630000+00:00,0
nmbk,2023-08-08T15:39:56.9400000+00:00,0
snek_pliskin,2023-08-08T15:40:16.6510000+00:00,0
snek_pliskin,2023-08-08T15:40:19.2850000+00:00,0
nmbk,2023-08-08T15:40:28.0690000+00:00,0
zerstorenhv,2023-08-08T15:40:31.5200000+00:00,0
paddele,2023-08-08T15:49:31.2340000+00:00,0
nmbk,2023-08-08T15:50:01.4980000+00:00,0
paddele,2023-08-08T15:50:29.8700000+00:00,0
notsoneat,2023-08-08T15:52:57.9170000+00:00,0
brokenalex1048,2023-08-08T16:20:06.4950000+00:00,0
zerstorenhv,2023-08-08T16:37:16.0320000+00:00,0
zerstorenhv,2023-08-08T16:37:30.9710000+00:00,0
nmbk,2023-08-08T16:38:57.6480000+00:00,0
zerstorenhv,2023-08-08T16:39:00.4280000+00:00,1
snek_pliskin,2023-08-08T16:39:30.3560000+00:00,0
snek_pliskin,2023-08-08T16:39:33.6320000+00:00,0
zerstorenhv,2023-08-08T16:40:41.3390000+00:00,0
falzar25,2023-08-08T17:05:46.3410000+00:00,0
falzar25,2023-08-08T17:06:02.9010000+00:00,0
zerstorenhv,2023-08-08T17:07:40.3610000+00:00,1
falzar25,2023-08-08T17:30:33.9430000+00:00,0
iceninja,2023-08-08T21:07:50.0440000+00:00,0
zerstorenhv,2023-08-08T21:15:14.9440000+00:00,1
gordotforrot,2023-08-08T21:15:17.8810000+00:00,3
gordotforrot,2023-08-08T21:18:21.3800000+00:00,0
zerstorenhv,2023-08-08T21:18:43.5850000+00:00,0
zerstorenhv,2023-08-08T21:19:15.0860000+00:00,0
gordotforrot,2023-08-08T21:20:05.7980000+00:00,0
zerstorenhv,2023-08-08T21:21:03.8240000+00:00,0
gordotforrot,2023-08-08T21:21:42.8890000+00:00,0
gordotforrot,2023-08-08T21:21:44.4730000+00:00,0
maddisonbaek,2023-08-09T03:04:31.2210000+00:00,5
maddisonbaek,2023-08-09T03:04:56.5290000+00:00,0
maddisonbaek,2023-08-09T03:05:13.6300000+00:00,1
maddisonbaek,2023-08-09T03:05:17.9370000+00:00,0
maddisonbaek,2023-08-09T03:05:29.7840000+00:00,0
maddisonbaek,2023-08-09T03:07:28.4280000+00:00,0
maddisonbaek,2023-08-09T03:08:03.1400000+00:00,0
paddele,2023-08-09T03:10:42.7250000+00:00,0
paddele,2023-08-09T03:12:16.8210000+00:00,0
graffranzula,2023-08-09T04:11:23.4090000+00:00,0
lanciferp,2023-08-09T04:20:33.4760000+00:00,0
nmbk,2023-08-09T06:16:10.6000000+00:00,0
graffranzula,2023-08-09T06:30:50.2790000+00:00,1
gordotforrot,2023-08-09T07:27:45.1670000+00:00,0
gordotforrot,2023-08-09T07:28:58.9590000+00:00,0
bulder,2023-08-09T07:32:25.0500000+00:00,0
bulder,2023-08-09T07:33:24.8650000+00:00,0
paddele,2023-08-09T07:34:28.7390000+00:00,0
bulder,2023-08-09T07:34:39.8040000+00:00,0
paddele,2023-08-09T07:34:41.0490000+00:00,0
paddele,2023-08-09T07:35:21.9390000+00:00,0
paddele,2023-08-09T07:35:26.2070000+00:00,0
maddisonbaek,2023-08-09T07:36:18.3630000+00:00,0
maddisonbaek,2023-08-09T07:36:21.5640000+00:00,0
maddisonbaek,2023-08-09T07:37:12.2890000+00:00,0
zettexe2,2023-08-09T07:38:52.2640000+00:00,0
gordotforrot,2023-08-09T07:41:17.8810000+00:00,0
maddisonbaek,2023-08-09T08:09:33.0960000+00:00,0
gordotforrot,2023-08-09T08:11:40.2410000+00:00,6
paddele,2023-08-09T08:17:34.2200000+00:00,0
paddele,2023-08-09T08:17:36.6570000+00:00,1
maddisonbaek,2023-08-09T10:08:26.0220000+00:00,0
graffranzula,2023-08-09T10:12:57.3440000+00:00,0
graffranzula,2023-08-09T10:13:07.9820000+00:00,0
nmbk,2023-08-09T10:55:39.8490000+00:00,0
maddisonbaek,2023-08-09T10:57:20.2040000+00:00,1
maddisonbaek,2023-08-09T10:57:22.9540000+00:00,0
zerstorenhv,2023-08-09T15:20:44.8570000+00:00,1
alig8or,2023-08-09T15:22:34.7500000+00:00,0
zerstorenhv,2023-08-09T15:24:34.5610000+00:00,1
nmbk,2023-08-09T18:24:17.3250000+00:00,0
retinas,2023-08-09T21:01:59.8690000+00:00,0
gordotforrot,2023-08-10T09:36:31.4260000+00:00,0
retinas,2023-08-10T10:00:12.4460000+00:00,0
nmbk,2023-08-10T10:11:51.4010000+00:00,0
nmbk,2023-08-10T10:32:06.9180000+00:00,0
retinas,2023-08-10T16:36:25.7400000+00:00,0
darkflash,2023-08-10T17:33:01.3810000+00:00,0
gordotforrot,2023-08-10T17:59:22.4310000+00:00,0
pinkhair,2023-08-10T22:24:02.0140000+00:00,0
zerstorenhv,2023-08-10T22:56:36.2810000+00:00,1
pinkhair,2023-08-10T23:01:29.0530000+00:00,0
zettexe2,2023-08-10T23:10:37.2070000+00:00,0
zettexe2,2023-08-10T23:11:10.6250000+00:00,0
pinkhair,2023-08-10T23:20:28.7900000+00:00,0
gordotforrot,2023-08-10T23:55:03.5800000+00:00,0
maddisonbaek,2023-08-11T01:35:49.9590000+00:00,0
maddisonbaek,2023-08-11T01:35:53.7650000+00:00,0
vany227,2023-08-11T01:36:10.9570000+00:00,0
paddele,2023-08-11T03:07:28.9480000+00:00,0
maddisonbaek,2023-08-11T03:12:39.0400000+00:00,0
maddisonbaek,2023-08-11T03:13:04.6790000+00:00,0
maddisonbaek,2023-08-11T03:13:30.3360000+00:00,0
graffranzula,2023-08-11T03:13:57.5770000+00:00,0
maddisonbaek,2023-08-11T03:14:23.8670000+00:00,0
hannahbanana1312,2023-08-11T03:14:45.7900000+00:00,0
maddisonbaek,2023-08-11T03:15:05.4820000+00:00,0
graffranzula,2023-08-11T03:15:05.7390000+00:00,0
hannahbanana1312,2023-08-11T03:15:20.4180000+00:00,0
paddele,2023-08-11T03:15:29.1360000+00:00,0
hannahbanana1312,2023-08-11T03:16:08.5420000+00:00,0
maddisonbaek,2023-08-11T03:16:39.5420000+00:00,0
hannahbanana1312,2023-08-11T03:16:54.6920000+00:00,0
paddele,2023-08-11T03:16:59.6040000+00:00,0
graffranzula,2023-08-11T03:19:40.8310000+00:00,0
hannahbanana1312,2023-08-11T03:20:27.2470000+00:00,0
hannahbanana1312,2023-08-11T03:20:30.6570000+00:00,0
pinkhair,2023-08-11T03:48:08.9850000+00:00,0
gordotforrot,2023-08-11T08:21:00.1150000+00:00,0
hannahbanana1312,2023-08-11T08:21:58.7620000+00:00,0
hannahbanana1312,2023-08-11T08:23:05.4190000+00:00,0
gordotforrot,2023-08-11T08:23:10.8710000+00:00,0
gordotforrot,2023-08-11T08:23:22.2970000+00:00,0
hannahbanana1312,2023-08-11T08:23:29.4960000+00:00,0
hannahbanana1312,2023-08-11T08:24:28.9810000+00:00,0
gordotforrot,2023-08-11T08:24:48.0220000+00:00,0
hannahbanana1312,2023-08-11T08:24:52.2180000+00:00,0
hannahbanana1312,2023-08-11T08:25:04.4160000+00:00,0
gordotforrot,2023-08-11T08:25:30.2310000+00:00,0
hannahbanana1312,2023-08-11T08:25:46.1870000+00:00,0
pinkhair,2023-08-11T10:14:48.4610000+00:00,0
gordotforrot,2023-08-11T13:28:15.2290000+00:00,8
paddele,2023-08-11T14:28:02.1290000+00:00,0
brokenalex1048,2023-08-11T17:50:20.8310000+00:00,0
zargy,2023-08-11T17:57:39.8620000+00:00,0
zargy,2023-08-11T17:57:49.1670000+00:00,0
zerstorenhv,2023-08-11T18:02:48.2530000+00:00,0
zargy,2023-08-11T18:06:13.6180000+00:00,0
zerstorenhv,2023-08-11T18:06:53.6030000+00:00,0
zargy,2023-08-11T18:10:11.3650000+00:00,0
zargy,2023-08-11T18:10:45.0000000+00:00,0
zargy,2023-08-11T18:11:07.8270000+00:00,0
zargy,2023-08-11T18:11:40.4670000+00:00,0
zargy,2023-08-11T18:11:52.6190000+00:00,0
zerstorenhv,2023-08-11T18:13:21.0430000+00:00,0
hannahbanana1312,2023-08-11T18:38:19.6680000+00:00,0
zargy,2023-08-11T18:42:41.1370000+00:00,0
gordotforrot,2023-08-11T18:43:22.1740000+00:00,0
zerstorenhv,2023-08-11T18:43:55.8610000+00:00,0
gordotforrot,2023-08-11T18:43:59.6030000+00:00,0
zerstorenhv,2023-08-11T18:44:04.1920000+00:00,0
hannahbanana1312,2023-08-11T18:44:21.5160000+00:00,0
hannahbanana1312,2023-08-11T18:44:29.2840000+00:00,0
zargy,2023-08-11T18:45:35.0250000+00:00,7
zerstorenhv,2023-08-11T18:45:48.7650000+00:00,0
gordotforrot,2023-08-11T18:45:59.0470000+00:00,0
brokenalex1048,2023-08-11T18:46:11.9270000+00:00,0
darkflash,2023-08-11T18:47:38.4690000+00:00,0
gordotforrot,2023-08-11T18:51:11.3620000+00:00,0
brokenalex1048,2023-08-11T18:54:46.5140000+00:00,0
gordotforrot,2023-08-11T18:55:29.6330000+00:00,1
brokenalex1048,2023-08-11T18:56:03.2050000+00:00,0
zettexe2,2023-08-11T19:01:44.5770000+00:00,0
nmbk,2023-08-11T21:00:06.2330000+00:00,0
darkflash,2023-08-11T21:01:38.3900000+00:00,1
zerstorenhv,2023-08-11T21:15:48.7550000+00:00,0
gordotforrot,2023-08-11T21:29:51.0950000+00:00,0
nmbk,2023-08-11T21:34:26.6140000+00:00,0
taxen_of_hearts,2023-08-12T01:18:46.3450000+00:00,0
taxen_of_hearts,2023-08-12T01:18:53.6420000+00:00,0
taxen_of_hearts,2023-08-12T01:20:44.0800000+00:00,0
dannykay1,2023-08-12T02:00:31.6200000+00:00,0
dannykay1,2023-08-12T02:01:44.1770000+00:00,0
zerstorenhv,2023-08-12T02:05:37.3100000+00:00,0
zerstorenhv,2023-08-12T02:08:28.2900000+00:00,2
zerstorenhv,2023-08-12T02:20:28.8470000+00:00,13
oliveisaword,2023-08-12T02:20:53.4580000+00:00,0
oliveisaword,2023-08-12T02:20:56.0460000+00:00,0
zerstorenhv,2023-08-12T02:22:34.3310000+00:00,0
zerstorenhv,2023-08-12T02:22:39.3020000+00:00,0
nmbk,2023-08-12T02:24:22.1380000+00:00,0
steeljester,2023-08-12T02:24:30.9690000+00:00,0
nmbk,2023-08-12T02:31:48.5100000+00:00,0
geymin,2023-08-12T02:42:16.3880000+00:00,0
zykprod,2023-08-12T02:44:07.6680000+00:00,0
zykprod,2023-08-12T02:44:52.9470000+00:00,0
jhalfsharp,2023-08-12T03:04:46.5090000+00:00,0
jhalfsharp,2023-08-12T03:05:27.1640000+00:00,0
bunnyinboots24,2023-08-12T03:15:45.3150000+00:00,0
freesimples,2023-08-12T04:23:54.0330000+00:00,0
freesimples,2023-08-12T04:24:38.7400000+00:00,0
uritk,2023-08-12T05:13:10.0430000+00:00,0
uritk,2023-08-12T05:13:17.0600000+00:00,0
uritk,2023-08-12T05:13:19.2710000+00:00,0
jungledrake,2023-08-12T05:48:12.9840000+00:00,0
maddisonbaek,2023-08-12T05:48:53.0370000+00:00,0
pinkhair,2023-08-12T05:50:26.2870000+00:00,0
zerstorenhv,2023-08-12T05:55:37.2580000+00:00,1
zerstorenhv,2023-08-12T05:57:35.4240000+00:00,0
zerstorenhv,2023-08-12T06:01:44.9030000+00:00,0
chrome_dollar,2023-08-12T06:59:29.1620000+00:00,0
chrome_dollar,2023-08-12T07:00:02.8440000+00:00,0
estrogwen_,2023-08-12T09:13:57.2220000+00:00,0
estrogwen_,2023-08-12T09:23:25.8280000+00:00,0
eterna.light,2023-08-12T09:45:26.1890000+00:00,0
snek_pliskin,2023-08-12T09:47:18.8440000+00:00,0
gordotforrot,2023-08-12T09:50:26.5950000+00:00,0
graffranzula,2023-08-12T10:18:23.3440000+00:00,0
graffranzula,2023-08-12T10:18:28.3520000+00:00,0
jeremiah2263,2023-08-12T10:45:40.9470000+00:00,0
crudeoil,2023-08-12T11:13:01.8900000+00:00,0
dannykay1,2023-08-12T13:16:23.4390000+00:00,0
brainlessdood,2023-08-12T13:49:48.4850000+00:00,0
taxen_of_hearts,2023-08-12T14:00:16.4320000+00:00,0
nmbk,2023-08-12T14:02:02.7180000+00:00,1
gordotforrot,2023-08-12T14:03:00.4590000+00:00,4
gordotforrot,2023-08-12T14:07:18.9610000+00:00,0
zerstorenhv,2023-08-12T14:18:05.8930000+00:00,1
jungledrake,2023-08-12T14:46:20.0360000+00:00,0
zykprod,2023-08-12T14:48:22.5330000+00:00,0
zykprod,2023-08-12T14:48:39.1370000+00:00,0
jungledrake,2023-08-12T15:01:01.5130000+00:00,0
jungledrake,2023-08-12T15:02:44.3990000+00:00,0
green.trees.,2023-08-12T16:59:00.0370000+00:00,0
green.trees.,2023-08-12T17:03:06.2380000+00:00,0
zykprod,2023-08-12T18:28:49.6930000+00:00,0
zykprod,2023-08-12T18:29:05.5870000+00:00,0
zerstorenhv,2023-08-12T18:33:00.2400000+00:00,0
zettexe2,2023-08-12T18:37:24.2700000+00:00,0
zettexe2,2023-08-12T18:37:59.2320000+00:00,0
zykprod,2023-08-12T18:46:40.7280000+00:00,0
zerstorenhv,2023-08-12T18:50:21.3570000+00:00,0
zykprod,2023-08-12T19:06:35.7980000+00:00,0
lowlifexy,2023-08-12T19:07:07.8690000+00:00,0
pinkhair,2023-08-12T21:15:15.0240000+00:00,0
zerstorenhv,2023-08-12T22:03:10.4720000+00:00,0
snek_pliskin,2023-08-12T22:06:54.0560000+00:00,0
zykprod,2023-08-12T22:08:37.8700000+00:00,0
pinkhair,2023-08-12T22:09:01.5620000+00:00,0
pinkhair,2023-08-12T22:09:21.9490000+00:00,0
green.trees.,2023-08-12T22:12:01.7200000+00:00,2
zerstorenhv,2023-08-12T22:13:48.3500000+00:00,0
zykprod,2023-08-12T22:14:42.7290000+00:00,0
zerstorenhv,2023-08-12T22:14:50.1890000+00:00,0
nmbk,2023-08-12T22:15:10.7890000+00:00,0
green.trees.,2023-08-12T22:15:25.8510000+00:00,2
zykprod,2023-08-12T22:16:01.3960000+00:00,0
zerstorenhv,2023-08-12T22:16:21.4480000+00:00,5
zykprod,2023-08-12T22:17:05.3210000+00:00,0
zerstorenhv,2023-08-12T22:19:50.0900000+00:00,0
snek_pliskin,2023-08-12T22:20:09.1180000+00:00,0
steeljester,2023-08-12T22:22:22.4400000+00:00,1
steeljester,2023-08-12T22:23:25.7930000+00:00,0
pinkhair,2023-08-12T22:23:33.5090000+00:00,0
pinkhair,2023-08-12T22:25:13.8130000+00:00,0
zerstorenhv,2023-08-12T22:25:20.6000000+00:00,0
zykprod,2023-08-12T22:26:12.7080000+00:00,0
zerstorenhv,2023-08-12T22:27:16.4070000+00:00,0
snek_pliskin,2023-08-12T22:27:45.8540000+00:00,0
zerstorenhv,2023-08-12T22:28:28.6680000+00:00,0
snek_pliskin,2023-08-12T22:29:01.3970000+00:00,1
steeljester,2023-08-12T22:29:41.6190000+00:00,0
steeljester,2023-08-12T22:29:48.1210000+00:00,0
steeljester,2023-08-12T22:29:59.8310000+00:00,0
steeljester,2023-08-12T22:30:12.7370000+00:00,13
steeljester,2023-08-12T22:30:20.8870000+00:00,0
zykprod,2023-08-12T22:30:23.2720000+00:00,7
gordotforrot,2023-08-12T23:18:50.5780000+00:00,1
pinkhair,2023-08-13T02:10:18.3220000+00:00,2
chrome_dollar,2023-08-13T02:10:49.7420000+00:00,0
chrome_dollar,2023-08-13T02:10:50.2910000+00:00,0
pinkhair,2023-08-13T02:53:04.8940000+00:00,0
chrome_dollar,2023-08-13T03:12:39.3570000+00:00,0
pinkhair,2023-08-13T03:34:08.6840000+00:00,0
pinkhair,2023-08-13T03:44:47.5710000+00:00,4
pinkhair,2023-08-13T03:44:48.9890000+00:00,0
maddisonbaek,2023-08-13T07:05:41.6370000+00:00,0
maddisonbaek,2023-08-13T07:05:48.9190000+00:00,18
paddele,2023-08-13T07:28:51.3300000+00:00,1
visualwastaken,2023-08-13T11:22:54.7760000+00:00,0
visualwastaken,2023-08-13T11:23:10.5970000+00:00,3
visualwastaken,2023-08-13T11:23:15.9330000+00:00,0
nmbk,2023-08-13T11:44:24.5670000+00:00,0
deiveria,2023-08-13T14:00:51.0720000+00:00,0
zazsaysstuff,2023-08-13T14:58:10.4700000+00:00,6
steeljester,2023-08-13T16:57:32.2460000+00:00,0
dannykay1,2023-08-13T17:03:25.3980000+00:00,0
zykprod,2023-08-13T19:57:16.0860000+00:00,0
zazsaysstuff,2023-08-13T22:45:25.4390000+00:00,1
zerstorenhv,2023-08-13T22:51:26.2660000+00:00,0
pinkhair,2023-08-14T02:46:38.5420000+00:00,0
pinkhair,2023-08-14T02:46:50.1740000+00:00,0
pinkhair,2023-08-14T02:47:10.3150000+00:00,0
pinkhair,2023-08-14T02:50:37.7310000+00:00,0
paddele,2023-08-14T04:07:07.9780000+00:00,0
zerstorenhv,2023-08-14T05:00:48.8870000+00:00,0
zykprod,2023-08-14T05:05:28.9430000+00:00,0
zykprod,2023-08-14T05:06:15.8740000+00:00,0
zykprod,2023-08-14T05:06:29.3360000+00:00,0
ssslitherysssnek,2023-08-14T06:03:46.1330000+00:00,0
pinkhair,2023-08-14T06:09:43.3730000+00:00,0
taxen_of_hearts,2023-08-14T13:36:21.8780000+00:00,0
zykprod,2023-08-14T13:55:09.6740000+00:00,0
gordotforrot,2023-08-14T18:13:24.6350000+00:00,7
maddisonbaek,2023-08-16T08:17:08.8990000+00:00,0
maddisonbaek,2023-08-16T08:18:15.2660000+00:00,0
zargy,2023-08-16T09:59:10.5360000+00:00,1
zargy,2023-08-16T09:59:59.9730000+00:00,0
maddisonbaek,2023-08-16T10:09:15.7920000+00:00,0
actualdio,2023-08-18T12:07:07.7980000+00:00,0
actualdio,2023-08-18T12:10:11.1240000+00:00,0
actualdio,2023-08-18T12:31:17.1260000+00:00,0
zerstorenhv,2023-08-18T12:36:51.3760000+00:00,0
zerstorenhv,2023-08-18T12:39:41.7100000+00:00,0
actualdio,2023-08-18T12:44:13.6760000+00:00,0
eterna.light,2023-08-18T12:56:17.5500000+00:00,0
zerstorenhv,2023-08-18T12:57:41.1230000+00:00,0
eterna.light,2023-08-18T12:59:52.5280000+00:00,0
zerstorenhv,2023-08-18T13:01:01.0020000+00:00,0
eterna.light,2023-08-18T13:01:20.8240000+00:00,0
zerstorenhv,2023-08-18T13:01:30.7490000+00:00,0
pubsub,2023-08-18T16:37:31.6380000+00:00,2
actualdio,2023-08-19T13:36:19.7590000+00:00,0
actualdio,2023-08-19T13:36:25.6210000+00:00,0
pinkhair,2023-08-19T21:17:41.9280000+00:00,0
zerstorenhv,2023-08-19T21:38:10.9590000+00:00,0
zargy,2023-08-19T21:56:49.1610000+00:00,0
snek_pliskin,2023-08-19T21:59:53.8350000+00:00,0
pinkhair,2023-08-19T23:04:47.1870000+00:00,0
violinsexual,2023-08-20T07:17:44.6880000+00:00,0
zerstorenhv,2023-08-20T15:13:18.0280000+00:00,0
yulsar,2023-08-20T18:19:24.1830000+00:00,0
zargy,2023-08-20T18:28:46.9210000+00:00,0
yulsar,2023-08-20T18:38:48.5640000+00:00,0
dannykay1,2023-08-20T20:42:07.1940000+00:00,0
zerstorenhv,2023-08-20T20:42:13.0790000+00:00,0
zerstorenhv,2023-08-20T20:43:40.5990000+00:00,0
dannykay1,2023-08-20T20:43:50.6850000+00:00,0
zargy,2023-08-20T21:10:32.6460000+00:00,0
snek_pliskin,2023-08-20T21:21:03.1510000+00:00,0
zargy,2023-08-20T21:26:51.9570000+00:00,0
zargy,2023-08-20T21:26:58.6880000+00:00,0
yulsar,2023-08-21T03:25:59.5700000+00:00,4
hannahbanana1312,2023-08-22T23:05:06.4430000+00:00,0
nmbk,2023-08-26T16:14:34.5530000+00:00,0
zerstorenhv,2023-08-26T16:18:16.9090000+00:00,1
nmbk,2023-08-26T16:19:39.8340000+00:00,0
zerstorenhv,2023-08-26T16:30:49.2660000+00:00,0
zargy,2023-08-26T16:43:31.7750000+00:00,0
maddisonbaek,2023-08-26T17:08:36.1020000+00:00,0
maddisonbaek,2023-08-26T17:08:38.5690000+00:00,0
zargy,2023-08-26T17:08:47.4330000+00:00,0
zargy,2023-08-26T17:08:48.6630000+00:00,0
pinkhair,2023-08-27T11:35:38.2460000+00:00,0
actualdio,2023-08-27T15:55:05.6700000+00:00,0
oliveisaword,2023-08-27T16:10:29.7880000+00:00,0
actualdio,2023-08-27T16:59:54.4240000+00:00,0
oliveisaword,2023-08-27T17:05:30.4710000+00:00,0
pinkhair,2023-08-28T05:06:40.9950000+00:00,0
pinkhair,2023-08-28T05:10:45.3080000+00:00,2
simmsy,2023-08-31T12:43:47.9060000+00:00,0
actualdio,2023-08-31T13:10:13.7830000+00:00,0
retinas,2023-09-01T12:07:56.6410000+00:00,0
zerstorenhv,2023-09-01T15:03:07.4300000+00:00,0
gordotforrot,2023-09-01T15:03:37.4020000+00:00,0
gordotforrot,2023-09-01T15:03:57.7390000+00:00,6
eterna.light,2023-09-01T15:04:29.0200000+00:00,0
actualdio,2023-09-01T15:04:40.1310000+00:00,0
zerstorenhv,2023-09-01T15:05:17.9550000+00:00,0
eterna.light,2023-09-01T15:06:06.2170000+00:00,0
zerstorenhv,2023-09-01T15:06:32.2340000+00:00,4
zerstorenhv,2023-09-01T17:38:18.1860000+00:00,0
graffranzula,2023-09-01T17:39:01.0500000+00:00,0
graffranzula,2023-09-01T17:39:10.5790000+00:00,0
graffranzula,2023-09-01T17:39:14.4660000+00:00,1
pinkhair,2023-09-01T20:37:58.8870000+00:00,0
pinkhair,2023-09-01T20:43:19.9650000+00:00,0
snek_pliskin,2023-09-01T21:25:53.4680000+00:00,0
snek_pliskin,2023-09-01T21:26:13.7400000+00:00,0
pubsub,2023-09-01T21:31:25.0000000+00:00,0
chrome_dollar,2023-09-01T22:19:07.5330000+00:00,0
zazsaysstuff,2023-09-01T22:19:21.1200000+00:00,0
