Author,Date,Reactions
joseph_anderson_,2023-07-08T04:36:59.8820000+00:00,1
rotyler,2023-07-08T04:37:03.9440000+00:00,0
tfk365,2023-07-08T04:37:04.7360000+00:00,0
kaylio64,2023-07-08T04:37:06.8790000+00:00,0
maddisonbaek,2023-07-08T04:37:07.0520000+00:00,0
verdox,2023-07-08T04:37:08.8030000+00:00,0
kaylio64,2023-07-08T04:37:10.7590000+00:00,0
nurpus,2023-07-08T04:37:11.0330000+00:00,0
kdports,2023-07-08T04:37:12.7530000+00:00,0
nanukou,2023-07-08T04:37:12.8580000+00:00,0
caden1337,2023-07-08T04:37:13.1590000+00:00,0
guppy7,2023-07-08T04:37:13.2490000+00:00,0
jacobosayshi,2023-07-08T04:37:13.5120000+00:00,0
rincatt,2023-07-08T04:37:14.5280000+00:00,0
maddisonbaek,2023-07-08T04:37:17.8100000+00:00,1
kaylio64,2023-07-08T04:37:18.6560000+00:00,0
missoranje,2023-07-08T04:37:18.8520000+00:00,0
.dragon4234,2023-07-08T04:37:23.3170000+00:00,0
pusspusspuss,2023-07-08T04:37:27.0290000+00:00,0
bulder,2023-07-08T04:37:27.5780000+00:00,1
muchmoonies,2023-07-08T04:37:27.6460000+00:00,1
nichilas,2023-07-08T04:37:28.5850000+00:00,0
maddisonbaek,2023-07-08T04:37:29.1890000+00:00,0
thesaltysheep,2023-07-08T04:37:31.4770000+00:00,0
silverhand,2023-07-08T04:37:36.3650000+00:00,0
squirrely96,2023-07-08T04:37:37.2580000+00:00,0
_naya_,2023-07-08T04:37:39.7370000+00:00,0
squirrely96,2023-07-08T04:37:40.0420000+00:00,0
caden1337,2023-07-08T04:37:40.7310000+00:00,2
xephorix512,2023-07-08T04:37:47.2360000+00:00,0
willwall916,2023-07-08T04:37:49.1940000+00:00,0
missoranje,2023-07-08T04:37:54.0150000+00:00,2
maddisonbaek,2023-07-08T04:38:06.1160000+00:00,0
kaylio64,2023-07-08T04:38:06.4990000+00:00,5
cause_key,2023-07-08T04:39:21.4790000+00:00,0
