t0,t1,c1,c2,sum
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,1
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,MAIN/dragons-den,,12
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,MAIN/dragons-den,1
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,4
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,21
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,,Important/stream-announcements,1
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,,MAIN/mental-health,1
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,,MAIN/cringe-cafe,3
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,,archived stream spoiler chats/13-sentinels-spoiler-chat,23
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,,MAIN/dragons-den,58
2023-03-29 16:00:00+00:00,2023-03-29 17:00:00+00:00,,,178
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,Important/stream-announcements,,1
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,MAIN/cringe-cafe,,3
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,MAIN/dragons-den,dragons-den/9-rows-9-columns-9-boxes,1
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,6
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,MAIN/dragons-den,,38
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,47
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,MAIN/mental-health,,1
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,MAIN/dragons-den,3
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,9
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,33
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,dragons-den/Jenshin-Den,,5
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,,MAIN/cringe-cafe,3
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,,MAIN/dragons-den,27
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,,archived stream spoiler chats/13-sentinels-spoiler-chat,31
2023-03-29 17:00:00+00:00,2023-03-29 18:00:00+00:00,,,131
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,MAIN/cringe-cafe,,2
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,4
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,MAIN/dragons-den,,24
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,48
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,MAIN/dragons-den,6
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,15
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,49
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,,MAIN/cringe-cafe,1
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,,MAIN/general,1
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,,archived stream spoiler chats/13-sentinels-spoiler-chat,23
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,,MAIN/dragons-den,32
2023-03-29 18:00:00+00:00,2023-03-29 19:00:00+00:00,,,128
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,MAIN/cringe-cafe,,1
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,3
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,MAIN/dragons-den,,35
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,48
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,MAIN/general,,1
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,MAIN/dragons-den,7
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,25
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,44
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,dragons-den/Jenshin-Den,,7
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,,MAIN/cringe-cafe,1
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,,MAIN/general,1
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,,archived stream spoiler chats/13-sentinels-spoiler-chat,10
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,,MAIN/dragons-den,17
2023-03-29 19:00:00+00:00,2023-03-29 20:00:00+00:00,,,142
2023-03-29 20:00:00+00:00,2023-03-29 21:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-03-29 20:00:00+00:00,2023-03-29 21:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-03-29 20:00:00+00:00,2023-03-29 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,9
2023-03-29 20:00:00+00:00,2023-03-29 21:00:00+00:00,MAIN/dragons-den,,29
2023-03-29 20:00:00+00:00,2023-03-29 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,35
2023-03-29 20:00:00+00:00,2023-03-29 21:00:00+00:00,MAIN/general,,1
