t0,t1,c1,c2,sum
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,MAIN/dragons-den,,7
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,39
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,MAIN/general,1
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,MAIN/cringe-cafe,2
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,MAIN/dragons-den,46
2022-12-08 23:00:00+00:00,2022-12-09 00:00:00+00:00,,,146
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/dragons-den,,21
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,64
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/general,,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,,MAIN/dragons-den,48
2022-12-09 00:00:00+00:00,2022-12-09 01:00:00+00:00,,,105
2022-12-09 01:00:00+00:00,2022-12-09 02:00:00+00:00,MAIN/dragons-den,,26
2022-12-09 01:00:00+00:00,2022-12-09 02:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,87
2022-12-09 01:00:00+00:00,2022-12-09 02:00:00+00:00,,dragons-den/GoW-Raggyrock-spoiler-Den,1
2022-12-09 01:00:00+00:00,2022-12-09 02:00:00+00:00,,MAIN/dragons-den,25
2022-12-09 01:00:00+00:00,2022-12-09 02:00:00+00:00,,,103
2022-12-09 02:00:00+00:00,2022-12-09 03:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-12-09 02:00:00+00:00,2022-12-09 03:00:00+00:00,MAIN/dragons-den,,24
2022-12-09 02:00:00+00:00,2022-12-09 03:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,87
2022-12-09 02:00:00+00:00,2022-12-09 03:00:00+00:00,dragons-den/GoW-Raggyrock-spoiler-Den,,1
2022-12-09 02:00:00+00:00,2022-12-09 03:00:00+00:00,,MAIN/cringe-cafe,2
2022-12-09 02:00:00+00:00,2022-12-09 03:00:00+00:00,,MAIN/dragons-den,15
2022-12-09 02:00:00+00:00,2022-12-09 03:00:00+00:00,,,112
2022-12-09 03:00:00+00:00,2022-12-09 04:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-12-09 03:00:00+00:00,2022-12-09 04:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-12-09 03:00:00+00:00,2022-12-09 04:00:00+00:00,MAIN/dragons-den,,19
2022-12-09 03:00:00+00:00,2022-12-09 04:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,83
2022-12-09 03:00:00+00:00,2022-12-09 04:00:00+00:00,,MAIN/general,1
2022-12-09 03:00:00+00:00,2022-12-09 04:00:00+00:00,,MAIN/cringe-cafe,2
2022-12-09 03:00:00+00:00,2022-12-09 04:00:00+00:00,,MAIN/dragons-den,57
2022-12-09 03:00:00+00:00,2022-12-09 04:00:00+00:00,,,77
2022-12-09 04:00:00+00:00,2022-12-09 05:00:00+00:00,MAIN/cringe-cafe,,3
2022-12-09 04:00:00+00:00,2022-12-09 05:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,68
2022-12-09 04:00:00+00:00,2022-12-09 05:00:00+00:00,MAIN/dragons-den,,74
2022-12-09 04:00:00+00:00,2022-12-09 05:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-12-09 04:00:00+00:00,2022-12-09 05:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-09 04:00:00+00:00,2022-12-09 05:00:00+00:00,,MAIN/dragons-den,20
2022-12-09 04:00:00+00:00,2022-12-09 05:00:00+00:00,,,75
2022-12-09 05:00:00+00:00,2022-12-09 06:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-09 05:00:00+00:00,2022-12-09 06:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-12-09 05:00:00+00:00,2022-12-09 06:00:00+00:00,MAIN/dragons-den,dragons-den/GoW-Raggyrock-spoiler-Den,2
2022-12-09 05:00:00+00:00,2022-12-09 06:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,35
2022-12-09 05:00:00+00:00,2022-12-09 06:00:00+00:00,MAIN/dragons-den,,51
2022-12-09 05:00:00+00:00,2022-12-09 06:00:00+00:00,,dragons-den/GoW-Raggyrock-spoiler-Den,2
2022-12-09 05:00:00+00:00,2022-12-09 06:00:00+00:00,,MAIN/dragons-den,13
2022-12-09 05:00:00+00:00,2022-12-09 06:00:00+00:00,,,137
