t0,t1,c1,c2,sum
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,3
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,MAIN/dragons-den,,34
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,MAIN/general,,3
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,2
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,5
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,,7
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,10
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,dragons-den/baldurs-gate-3-goty-den,,1
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,,MAIN/cringe-cafe,1
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,,dragons-den/baldurs-gate-3-goty-den,1
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,,MAIN/general,2
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,,Stream Stuff/jadseya-awards-2023,4
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,,MAIN/dragons-den,21
2023-12-29 19:00:00+00:00,2023-12-29 20:00:00+00:00,,,307
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,1
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,2
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,MAIN/dragons-den,,17
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,MAIN/general,,2
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,2
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,Stream Stuff/jadseya-awards-2023,,4
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,6
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,dragons-den/Jenshin-Den,Stream Stuff/jadseya-awards-2023,1
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,dragons-den/baldurs-gate-3-goty-den,,1
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,,Important/stream-announcements,1
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,,MAIN/cringe-cafe,1
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,,MAIN/general,2
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,,dragons-den/evolve-idol,4
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,,dragons-den/Jenshin-Den,7
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,,Stream Stuff/jadseya-awards-2023,29
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,,MAIN/dragons-den,110
2023-12-29 20:00:00+00:00,2023-12-29 21:00:00+00:00,,,202
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,Important/stream-announcements,,1
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,MAIN/cringe-cafe,,1
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,3
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,MAIN/dragons-den,,45
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,99
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,MAIN/general,,2
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,6
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,14
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,Stream Stuff/jadseya-awards-2023,,17
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,3
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,dragons-den/Jenshin-Den,,7
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,dragons-den/evolve-idol,Stream Stuff/jadseya-awards-2023,2
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,dragons-den/evolve-idol,,6
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,,MAIN/general,2
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,,Stream Stuff/jadseya-awards-2023,20
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,,MAIN/dragons-den,40
2023-12-29 21:00:00+00:00,2023-12-29 22:00:00+00:00,,,165
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,3
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,MAIN/dragons-den,,34
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,112
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,2
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,Stream Stuff/jadseya-awards-2023,,14
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,23
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,,MAIN/cringe-cafe,1
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,,MAIN/general,1
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,,dragons-den/evolve-idol,3
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,,dragons-den/Jenshin-Den,9
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,,Stream Stuff/jadseya-awards-2023,12
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,,MAIN/dragons-den,43
2023-12-29 22:00:00+00:00,2023-12-29 23:00:00+00:00,,,174
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,MAIN/cringe-cafe,,2
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,2
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,MAIN/dragons-den,,38
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,117
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,MAIN/general,,1
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,Stream Stuff/jadseya-awards-2023,dragons-den/evolve-idol,1
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,3
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,Stream Stuff/jadseya-awards-2023,,10
2023-12-29 23:00:00+00:00,2023-12-30 00:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,21
