t0,t1,c1,c2,sum
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,MAIN/cringe-cafe,MAIN/share-stuff-you-made,1
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,MAIN/cringe-cafe,,2
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,6
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,MAIN/dragons-den,,8
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,2
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,,MAIN/cringe-cafe,1
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,,MAIN/general,3
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,17
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,,MAIN/dragons-den,39
2022-05-16 15:00:00+00:00,2022-05-16 16:00:00+00:00,,,177
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,MAIN/dragons-den,MAIN/general,3
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,9
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,MAIN/dragons-den,,26
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,MAIN/general,,3
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,MAIN/dragons-den,1
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,,6
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,archived stream spoiler chats/zero-escape-spoiler-chan,archived stream spoiler chats/zero-escape-spoiler-chan,18
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,,Important/stream-announcements,1
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,,MAIN/cringe-cafe,1
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,,MAIN/share-stuff-you-made,2
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,,MAIN/general,5
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,,archived stream spoiler chats/zero-escape-spoiler-chan,24
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,,MAIN/dragons-den,34
2022-05-16 16:00:00+00:00,2022-05-16 17:00:00+00:00,,,120
2022-05-16 17:00:00+00:00,2022-05-16 18:00:00+00:00,Important/stream-announcements,,1
2022-05-16 17:00:00+00:00,2022-05-16 18:00:00+00:00,MAIN/cringe-cafe,,1
2022-05-16 17:00:00+00:00,2022-05-16 18:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2022-05-16 17:00:00+00:00,2022-05-16 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/zero-escape-spoiler-chan,6
2022-05-16 17:00:00+00:00,2022-05-16 18:00:00+00:00,MAIN/dragons-den,,23
