t0,t1,c1,c2,sum
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,MAIN/cringe-cafe,dragons-den/evolve-idol,1
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,MAIN/dragons-den,,5
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,13
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,,2
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,9
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,,Stream Stuff/stream-art-museum,1
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,,dragons-den/evolve-idol,2
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,20
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,,MAIN/dragons-den,29
2023-08-05 16:00:00+00:00,2023-08-05 17:00:00+00:00,,,194
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,8
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,13
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,MAIN/dragons-den,,21
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,Stream Stuff/stream-art-museum,,1
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,,6
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,23
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,dragons-den/evolve-idol,MAIN/share-stuff-you-made,1
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,dragons-den/evolve-idol,,1
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,,MAIN/mental-health,1
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,,MAIN/cringe-cafe,2
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,40
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,,MAIN/dragons-den,42
2023-08-05 17:00:00+00:00,2023-08-05 18:00:00+00:00,,,117
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,Important/stream-announcements,,1
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,MAIN/cringe-cafe,dragons-den/Jenshin-Den,1
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,1
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,17
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,MAIN/dragons-den,,37
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,MAIN/mental-health,,1
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,MAIN/share-stuff-you-made,1
2023-08-05 18:00:00+00:00,2023-08-05 19:00:00+00:00,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,MAIN/dragons-den,2
