t0,t1,c1,c2,sum
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,MAIN/dragons-den,dragons-den/9-rows-9-columns-9-boxes,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/call-me-al-somnium-spoiler,2
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,MAIN/dragons-den,,9
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,MAIN/general,,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,MAIN/dragons-den,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,6
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,,MAIN/general,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,,Stream Stuff/stream-art-museum,1
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,3
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,,archived stream spoiler chats/call-me-al-somnium-spoiler,12
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,,MAIN/dragons-den,25
2023-01-13 16:00:00+00:00,2023-01-13 17:00:00+00:00,,,203
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/call-me-al-somnium-spoiler,3
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,MAIN/dragons-den,,13
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,MAIN/general,MAIN/general,1
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,Stream Stuff/stream-art-museum,MAIN/dragons-den,1
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,MAIN/dragons-den,2
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,,3
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,15
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,archived stream spoiler chats/call-me-al-somnium-spoiler,1
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,MAIN/dragons-den,2
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,,Important/stream-announcements,1
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,,MAIN/cringe-cafe,2
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,,MAIN/general,2
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,,MAIN/dragons-den,46
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,,archived stream spoiler chats/call-me-al-somnium-spoiler,48
2023-01-13 17:00:00+00:00,2023-01-13 18:00:00+00:00,,,116
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,Important/stream-announcements,,1
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/cringe-cafe,,4
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/dragons-den,,25
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,52
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/general,MAIN/general,1
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/general,archived stream spoiler chats/call-me-al-somnium-spoiler,1
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,MAIN/general,,1
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,MAIN/dragons-den,3
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,,21
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,43
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,,archived stream spoiler chats/call-me-al-somnium-spoiler,19
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,,MAIN/dragons-den,23
2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,,,92
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,MAIN/dragons-den,dragons-den/9-rows-9-columns-9-boxes,1
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/call-me-al-somnium-spoiler,2
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,MAIN/dragons-den,,28
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,49
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,MAIN/general,archived stream spoiler chats/call-me-al-somnium-spoiler,1
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,MAIN/dragons-den,4
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,,21
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,38
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,1
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,,archived stream spoiler chats/call-me-al-somnium-spoiler,8
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,,MAIN/dragons-den,16
2023-01-13 19:00:00+00:00,2023-01-13 20:00:00+00:00,,,118
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,MAIN/cringe-cafe,,2
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/call-me-al-somnium-spoiler,7
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,MAIN/dragons-den,,22
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,MAIN/dragons-den,2
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,,11
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,archived stream spoiler chats/call-me-al-somnium-spoiler,archived stream spoiler chats/call-me-al-somnium-spoiler,36
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,2
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,,MAIN/general,2
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,,archived stream spoiler chats/call-me-al-somnium-spoiler,14
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,,MAIN/dragons-den,16
2023-01-13 20:00:00+00:00,2023-01-13 21:00:00+00:00,,,134
2023-01-13 21:00:00+00:00,2023-01-13 22:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-13 21:00:00+00:00,2023-01-13 22:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/call-me-al-somnium-spoiler,5
