t0,t1,c1,c2,sum
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,MAIN/cringe-cafe,,1
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,MAIN/dragons-den,,17
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,dragons-den/evolve-idol,,1
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,,Important/stream-announcements,1
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,,MAIN/cringe-cafe,3
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,,MAIN/general,3
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,,MAIN/dragons-den,29
2023-10-23 15:00:00+00:00,2023-10-23 16:00:00+00:00,,,108
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,Important/stream-announcements,,1
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,MAIN/cringe-cafe,,3
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,MAIN/dragons-den,,19
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,MAIN/general,,3
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,dragons-den/evolve-idol,,2
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,,MAIN/general,1
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,,dragons-den/evolve-idol,1
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,,dragons-den/Jenshin-Den,10
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,,MAIN/dragons-den,39
2023-10-23 16:00:00+00:00,2023-10-23 17:00:00+00:00,,,77
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,MAIN/cringe-cafe,,1
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,MAIN/dragons-den,,26
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,43
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,dragons-den/Jenshin-Den,,8
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,,dragons-den/evolve-idol,2
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,,MAIN/dragons-den,14
2023-10-23 17:00:00+00:00,2023-10-23 18:00:00+00:00,,,92
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,MAIN/dragons-den,Stream Stuff/stream-art-museum,1
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,MAIN/dragons-den,,22
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,35
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,dragons-den/evolve-idol,,2
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,,MAIN/mental-health,1
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,,dragons-den/evolve-idol,1
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,,MAIN/dragons-den,12
2023-10-23 18:00:00+00:00,2023-10-23 19:00:00+00:00,,,106
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,MAIN/dragons-den,,18
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,MAIN/mental-health,MAIN/dragons-den,1
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,Stream Stuff/stream-art-museum,,1
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,dragons-den/Jenshin-Den,,5
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,dragons-den/evolve-idol,,3
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,,MAIN/general,1
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,,MAIN/mental-health,1
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,,MAIN/cringe-cafe,2
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,,MAIN/dragons-den,13
2023-10-23 19:00:00+00:00,2023-10-23 20:00:00+00:00,,,114
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,3
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,4
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,MAIN/dragons-den,,18
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,MAIN/general,MAIN/general,1
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,MAIN/mental-health,,1
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,dragons-den/Jenshin-Den,MAIN/cringe-cafe,1
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,,MAIN/general,1
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,,MAIN/cringe-cafe,3
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,,MAIN/dragons-den,13
2023-10-23 20:00:00+00:00,2023-10-23 21:00:00+00:00,,,120
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,MAIN/cringe-cafe,,4
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,5
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,MAIN/dragons-den,,10
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,MAIN/general,,2
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,dragons-den/evolve-idol,,1
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,,dragons-den/evolve-idol,1
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,,MAIN/dragons-den,30
2023-10-23 21:00:00+00:00,2023-10-23 22:00:00+00:00,,,106
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,MAIN/cringe-cafe,dragons-den/Jenshin-Den,1
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,MAIN/cringe-cafe,,2
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,MAIN/dragons-den,,19
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,37
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,,MAIN/dragons-den,17
2023-10-23 22:00:00+00:00,2023-10-23 23:00:00+00:00,,,104
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,MAIN/dragons-den,,27
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,dragons-den/evolve-idol,,2
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,,MAIN/general,1
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,,MAIN/cringe-cafe,2
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,,MAIN/dragons-den,8
2023-10-23 23:00:00+00:00,2023-10-24 00:00:00+00:00,,,112
