t0,t1,c1,c2,sum
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,MAIN/dragons-den,,9
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,10
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,dragons-den/Jenshin-Den,,7
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,5
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,,MAIN/general,1
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,1
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,,dragons-den/evolve-idol,3
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,,dragons-den/Jenshin-Den,9
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,,MAIN/dragons-den,23
2023-10-28 16:00:00+00:00,2023-10-28 17:00:00+00:00,,,129
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,16
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,MAIN/dragons-den,,18
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,MAIN/general,,1
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,10
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,dragons-den/evolve-idol,,5
2023-10-28 17:00:00+00:00,2023-10-28 18:00:00+00:00,,Important/stream-announcements,1
