t0,t1,c1,c2,sum
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,MAIN/dragons-den,,7
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,10
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,16
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,dragons-den/roguelike-den,1
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,MAIN/general,2
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,MAIN/mental-health,2
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,MAIN/cringe-cafe,3
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,dragons-den/evolve-idol,6
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,MAIN/dragons-den,22
2023-10-26 15:00:00+00:00,2023-10-26 16:00:00+00:00,,,142
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/cringe-cafe,,3
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,16
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/dragons-den,,16
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/general,,1
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/mental-health,,2
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,16
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,dragons-den/evolve-idol,,1
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,8
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,dragons-den/roguelike-den,dragons-den/evolve-idol,1
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,,dragons-den/evolve-idol,1
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,,MAIN/general,2
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,,MAIN/cringe-cafe,4
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,,MAIN/dragons-den,26
2023-10-26 16:00:00+00:00,2023-10-26 17:00:00+00:00,,,113
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,MAIN/cringe-cafe,,3
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,17
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,MAIN/dragons-den,,26
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,MAIN/general,,2
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,dragons-den/Jenshin-Den,,6
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,13
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,dragons-den/evolve-idol,,4
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,6
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,,MAIN/dragons-den,23
2023-10-26 17:00:00+00:00,2023-10-26 18:00:00+00:00,,,113
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,MAIN/dragons-den,,20
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,23
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,dragons-den/Jenshin-Den,,7
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,11
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,dragons-den/evolve-idol,,1
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,5
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,,MAIN/general,1
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,,MAIN/dragons-den,18
2023-10-26 18:00:00+00:00,2023-10-26 19:00:00+00:00,,,130
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,MAIN/dragons-den,,19
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,23
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,MAIN/general,,1
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,dragons-den/Jenshin-Den,,8
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,dragons-den/evolve-idol,,1
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,,MAIN/general,1
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,,MAIN/cringe-cafe,2
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,,dragons-den/evolve-idol,2
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,,MAIN/dragons-den,17
2023-10-26 19:00:00+00:00,2023-10-26 20:00:00+00:00,,,136
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,MAIN/cringe-cafe,,1
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,MAIN/dragons-den,,11
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,MAIN/general,,1
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,7
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,dragons-den/evolve-idol,,2
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,,MAIN/cringe-cafe,2
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,,MAIN/dragons-den,31
2023-10-26 20:00:00+00:00,2023-10-26 21:00:00+00:00,,,125
2023-10-26 21:00:00+00:00,2023-10-26 22:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
