t0,t1,c1,c2,sum
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,MAIN/dragons-den,,10
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,,1
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,dragons-den/evolve-idol,,2
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,,dragons-den/evolve-idol,3
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,,MAIN/dragons-den,23
2023-06-16 15:00:00+00:00,2023-06-16 16:00:00+00:00,,,121
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,MAIN/dragons-den,,24
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,dragons-den/evolve-idol,,3
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,1
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,,dragons-den/evolve-idol,1
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,,MAIN/dragons-den,39
2023-06-16 16:00:00+00:00,2023-06-16 17:00:00+00:00,,,88
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,MAIN/dragons-den,,21
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,36
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,,1
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,dragons-den/evolve-idol,,1
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,,MAIN/general,1
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,,dragons-den/evolve-idol,3
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,,MAIN/dragons-den,20
2023-06-16 17:00:00+00:00,2023-06-16 18:00:00+00:00,,,86
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,MAIN/dragons-den,,17
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,MAIN/general,MAIN/general,1
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,dragons-den/Jenshin-Den,,5
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,dragons-den/evolve-idol,,2
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,,MAIN/general,2
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,,dragons-den/evolve-idol,4
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,,MAIN/dragons-den,34
2023-06-16 18:00:00+00:00,2023-06-16 19:00:00+00:00,,,72
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,MAIN/dragons-den,,19
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,56
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,MAIN/general,,2
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,dragons-den/evolve-idol,,6
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,,dragons-den/evolve-idol,1
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,,MAIN/dragons-den,17
2023-06-16 19:00:00+00:00,2023-06-16 20:00:00+00:00,,,77
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,MAIN/dragons-den,,29
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,44
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,dragons-den/evolve-idol,,1
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,,dragons-den/evolve-idol,2
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,,MAIN/dragons-den,20
2023-06-16 20:00:00+00:00,2023-06-16 21:00:00+00:00,,,82
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,MAIN/dragons-den,,35
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,dragons-den/evolve-idol,,2
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,,MAIN/general,2
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,,dragons-den/evolve-idol,2
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,,MAIN/dragons-den,15
2023-06-16 21:00:00+00:00,2023-06-16 22:00:00+00:00,,,93
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,4
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,MAIN/dragons-den,,22
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,MAIN/general,,3
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,dragons-den/evolve-idol,,4
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,,MAIN/dragons-den,12
2023-06-16 22:00:00+00:00,2023-06-16 23:00:00+00:00,,,115
