t0,t1,c1,c2,sum
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,MAIN/dragons-den,MAIN/mental-health,1
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/armored-core-spoiler-garage,1
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,MAIN/dragons-den,,20
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,23
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,MAIN/general,,1
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,archived stream spoiler chats/armored-core-spoiler-garage,,1
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,archived stream spoiler chats/armored-core-spoiler-garage,archived stream spoiler chats/armored-core-spoiler-garage,2
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,dragons-den/evolve-idol,,2
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,,MAIN/cringe-cafe,1
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,,dragons-den/evolve-idol,3
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,,archived stream spoiler chats/armored-core-spoiler-garage,6
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,,MAIN/dragons-den,23
2023-08-29 15:00:00+00:00,2023-08-29 16:00:00+00:00,,,112
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,Important/stream-announcements,,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/armored-core-spoiler-garage,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,MAIN/dragons-den,,25
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,MAIN/mental-health,,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,archived stream spoiler chats/armored-core-spoiler-garage,MAIN/dragons-den,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,archived stream spoiler chats/armored-core-spoiler-garage,archived stream spoiler chats/armored-core-spoiler-garage,4
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,archived stream spoiler chats/armored-core-spoiler-garage,,4
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,dragons-den/evolve-idol,,3
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,,MAIN/general,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,,dragons-den/evolve-idol,1
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,,MAIN/cringe-cafe,2
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,,archived stream spoiler chats/armored-core-spoiler-garage,8
2023-08-29 16:00:00+00:00,2023-08-29 17:00:00+00:00,,MAIN/dragons-den,30
