t0,t1,c1,c2,sum
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,1
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,MAIN/dragons-den,,14
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,15
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,2
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,7
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,7
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,,Important/stream-announcements,1
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,,MAIN/cringe-cafe,2
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,,archived stream spoiler chats/13-sentinels-spoiler-chat,31
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,,MAIN/dragons-den,34
2023-04-12 15:00:00+00:00,2023-04-12 16:00:00+00:00,,,181
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,Important/stream-announcements,,1
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,MAIN/cringe-cafe,,2
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,1
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,24
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,MAIN/dragons-den,,26
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,MAIN/dragons-den,1
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,,17
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,archived stream spoiler chats/13-sentinels-spoiler-chat,archived stream spoiler chats/13-sentinels-spoiler-chat,21
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,,archived stream spoiler chats/13-sentinels-spoiler-chat,15
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,,MAIN/dragons-den,24
2023-04-12 16:00:00+00:00,2023-04-12 17:00:00+00:00,,,159
2023-04-12 17:00:00+00:00,2023-04-12 18:00:00+00:00,MAIN/cringe-cafe,,1
2023-04-12 17:00:00+00:00,2023-04-12 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/13-sentinels-spoiler-chat,4
2023-04-12 17:00:00+00:00,2023-04-12 18:00:00+00:00,MAIN/dragons-den,,15
2023-04-12 17:00:00+00:00,2023-04-12 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,30
