t0,t1,c1,c2,sum
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,MAIN/dragons-den,,9
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,MAIN/general,MAIN/general,1
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,MAIN/general,,1
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,,MAIN/general,1
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,,MAIN/share-stuff-you-made,5
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,,MAIN/dragons-den,32
2023-03-01 16:00:00+00:00,2023-03-01 17:00:00+00:00,,,80
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,MAIN/dragons-den,,16
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,36
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,MAIN/general,,2
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,2
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,MAIN/share-stuff-you-made,,4
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,,MAIN/general,2
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,,MAIN/dragons-den,21
2023-03-01 17:00:00+00:00,2023-03-01 18:00:00+00:00,,,67
2023-03-01 18:00:00+00:00,2023-03-01 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-03-01 18:00:00+00:00,2023-03-01 19:00:00+00:00,MAIN/dragons-den,,27
2023-03-01 18:00:00+00:00,2023-03-01 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,32
2023-03-01 18:00:00+00:00,2023-03-01 19:00:00+00:00,MAIN/general,,2
2023-03-01 18:00:00+00:00,2023-03-01 19:00:00+00:00,,MAIN/general,2
2023-03-01 18:00:00+00:00,2023-03-01 19:00:00+00:00,,MAIN/dragons-den,19
2023-03-01 18:00:00+00:00,2023-03-01 19:00:00+00:00,,,68
2023-03-01 19:00:00+00:00,2023-03-01 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-03-01 19:00:00+00:00,2023-03-01 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,25
