t0,t1,c1,c2,sum
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,MAIN/dragons-den,,9
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,24
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,MAIN/general,,1
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,6
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,6
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,,Important/stream-announcements,1
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,11
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,,MAIN/dragons-den,22
2022-12-27 16:00:00+00:00,2022-12-27 17:00:00+00:00,,,143
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,Important/stream-announcements,,1
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,2
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,MAIN/dragons-den,,12
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,32
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,4
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,4
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,10
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,11
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,,MAIN/dragons-den,36
2022-12-27 17:00:00+00:00,2022-12-27 18:00:00+00:00,,,111
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,2
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,MAIN/dragons-den,,23
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,46
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,2
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,7
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,14
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,,MAIN/general,1
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,10
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,,MAIN/dragons-den,18
2022-12-27 18:00:00+00:00,2022-12-27 19:00:00+00:00,,,99
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,4
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,MAIN/dragons-den,,13
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,48
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,MAIN/general,,1
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,3
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,8
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,15
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,9
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,,MAIN/dragons-den,15
2022-12-27 19:00:00+00:00,2022-12-27 20:00:00+00:00,,,105
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,3
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,MAIN/dragons-den,,23
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,3
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,5
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,20
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,,MAIN/general,1
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,,MAIN/cringe-cafe,2
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,4
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,,MAIN/dragons-den,11
2022-12-27 20:00:00+00:00,2022-12-27 21:00:00+00:00,,,111
2022-12-27 21:00:00+00:00,2022-12-27 22:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,3
2022-12-27 21:00:00+00:00,2022-12-27 22:00:00+00:00,MAIN/dragons-den,,13
2022-12-27 21:00:00+00:00,2022-12-27 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,41
2022-12-27 21:00:00+00:00,2022-12-27 22:00:00+00:00,MAIN/general,,1
2022-12-27 21:00:00+00:00,2022-12-27 22:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/cringe-cafe,1
