t0,t1,c1,c2,sum
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,MAIN/cringe-cafe,,1
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,MAIN/dragons-den,,13
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,41
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,dragons-den/evolve-idol,MAIN/cringe-cafe,1
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,dragons-den/evolve-idol,,2
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,,dragons-den/evolve-idol,1
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,,MAIN/cringe-cafe,2
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,,MAIN/general,2
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,,MAIN/dragons-den,31
2023-06-21 15:00:00+00:00,2023-06-21 16:00:00+00:00,,,108
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,MAIN/dragons-den,,34
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,MAIN/general,,2
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,6
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,1
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,,dragons-den/evolve-idol,2
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,,MAIN/cringe-cafe,3
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,,MAIN/dragons-den,35
2023-06-21 16:00:00+00:00,2023-06-21 17:00:00+00:00,,,82
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,MAIN/cringe-cafe,,2
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,3
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,MAIN/dragons-den,,40
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,,1
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,dragons-den/evolve-idol,,1
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,,dragons-den/evolve-idol,1
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,,MAIN/dragons-den,26
2023-06-21 17:00:00+00:00,2023-06-21 18:00:00+00:00,,,88
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,MAIN/dragons-den,,23
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-06-21 18:00:00+00:00,2023-06-21 19:00:00+00:00,dragons-den/evolve-idol,,3
