t0,t1,c1,c2,sum
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,MAIN/dragons-den,,3
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,13
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,,MAIN/general,1
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,,MAIN/cringe-cafe,3
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,,MAIN/dragons-den,22
2023-01-30 16:00:00+00:00,2023-01-30 17:00:00+00:00,,,161
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,MAIN/cringe-cafe,,2
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,MAIN/dragons-den,,17
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,,Important/stream-announcements,1
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,,MAIN/general,2
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,,MAIN/dragons-den,81
2023-01-30 17:00:00+00:00,2023-01-30 18:00:00+00:00,,,81
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,Important/stream-announcements,,1
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,4
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,MAIN/dragons-den,,45
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,53
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,MAIN/general,,1
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,,MAIN/dragons-den,25
2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,,,72
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,4
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,MAIN/dragons-den,,32
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,46
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,,MAIN/general,1
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,,MAIN/cringe-cafe,4
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,,MAIN/dragons-den,20
2023-01-30 19:00:00+00:00,2023-01-30 20:00:00+00:00,,,94
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,MAIN/cringe-cafe,,7
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,MAIN/dragons-den,,40
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,MAIN/general,MAIN/general,1
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,,MAIN/general,1
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,,MAIN/dragons-den,15
2023-01-30 20:00:00+00:00,2023-01-30 21:00:00+00:00,,,110
2023-01-30 21:00:00+00:00,2023-01-30 22:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-30 21:00:00+00:00,2023-01-30 22:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-01-30 21:00:00+00:00,2023-01-30 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2023-01-30 21:00:00+00:00,2023-01-30 22:00:00+00:00,MAIN/dragons-den,,21
2023-01-30 21:00:00+00:00,2023-01-30 22:00:00+00:00,MAIN/general,,2
