t0,t1,c1,c2,sum
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,MAIN/dragons-den,,6
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,22
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,,archived stream spoiler chats/dp-spoiler-chat-on-jads,1
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,,MAIN/cringe-cafe,2
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,,MAIN/general,2
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,,MAIN/dragons-den,35
2023-03-14 15:00:00+00:00,2023-03-14 16:00:00+00:00,,,120
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,MAIN/cringe-cafe,,3
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,MAIN/dragons-den,,14
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,42
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,MAIN/general,MAIN/dragons-den,2
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,archived stream spoiler chats/dp-spoiler-chat-on-jads,MAIN/dragons-den,1
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,,archived stream spoiler chats/dp-spoiler-chat-on-jads,3
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,,MAIN/dragons-den,51
2023-03-14 16:00:00+00:00,2023-03-14 17:00:00+00:00,,,72
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/dp-spoiler-chat-on-jads,2
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,42
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,MAIN/dragons-den,,50
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,archived stream spoiler chats/dp-spoiler-chat-on-jads,archived stream spoiler chats/dp-spoiler-chat-on-jads,1
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,archived stream spoiler chats/dp-spoiler-chat-on-jads,,2
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,,MAIN/cringe-cafe,7
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,,MAIN/dragons-den,16
2023-03-14 17:00:00+00:00,2023-03-14 18:00:00+00:00,,,66
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,MAIN/cringe-cafe,,7
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/dp-spoiler-chat-on-jads,1
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,MAIN/dragons-den,,24
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,archived stream spoiler chats/dp-spoiler-chat-on-jads,archived stream spoiler chats/dp-spoiler-chat-on-jads,1
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,archived stream spoiler chats/dp-spoiler-chat-on-jads,,2
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,,MAIN/dragons-den,18
2023-03-14 18:00:00+00:00,2023-03-14 19:00:00+00:00,,,100
2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,MAIN/cringe-cafe,,1
2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/dp-spoiler-chat-on-jads,1
2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,MAIN/dragons-den,,23
2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2023-03-14 19:00:00+00:00,2023-03-14 20:00:00+00:00,archived stream spoiler chats/dp-spoiler-chat-on-jads,MAIN/dragons-den,2
