t0,t1,c1,c2,sum
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,MAIN/cringe-cafe,,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,MAIN/dragons-den,,8
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,23
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,archived stream spoiler chats/ff16-spoilers,MAIN/dragons-den,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ff16-spoilers,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,archived stream spoiler chats/ff16-spoilers,,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,,Stream Stuff/stream-art-museum,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,,archived stream spoiler chats/ff16-spoilers,1
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,,MAIN/cringe-cafe,3
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,,dragons-den/evolve-idol,3
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,,MAIN/dragons-den,24
2023-07-11 05:00:00+00:00,2023-07-11 06:00:00+00:00,,,80
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,Important/stream-announcements,,1
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,MAIN/cringe-cafe,,2
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,MAIN/dragons-den,,26
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,Stream Stuff/stream-art-museum,,1
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,archived stream spoiler chats/ff16-spoilers,,2
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,dragons-den/evolve-idol,,3
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,,dragons-den/evolve-idol,1
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,,MAIN/dragons-den,15
2023-07-11 06:00:00+00:00,2023-07-11 07:00:00+00:00,,,71
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,MAIN/dragons-den,,9
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,dragons-den/evolve-idol,,1
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,,MAIN/general,1
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,,MAIN/dragons-den,17
2023-07-11 07:00:00+00:00,2023-07-11 08:00:00+00:00,,,89
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,MAIN/dragons-den,,25
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,MAIN/general,,1
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,,MAIN/dragons-den,12
2023-07-11 08:00:00+00:00,2023-07-11 09:00:00+00:00,,,89
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,MAIN/dragons-den,,15
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,16
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,,MAIN/cringe-cafe,1
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,,MAIN/mental-health,1
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,,dragons-den/evolve-idol,1
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,,MAIN/dragons-den,11
2023-07-11 09:00:00+00:00,2023-07-11 10:00:00+00:00,,,101
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,MAIN/cringe-cafe,,1
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,MAIN/dragons-den,,12
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,15
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,MAIN/mental-health,,1
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,dragons-den/evolve-idol,,1
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,,MAIN/cringe-cafe,2
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,,dragons-den/evolve-idol,3
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,,MAIN/dragons-den,14
2023-07-11 10:00:00+00:00,2023-07-11 11:00:00+00:00,,,96
2023-07-11 11:00:00+00:00,2023-07-11 12:00:00+00:00,MAIN/cringe-cafe,,2
2023-07-11 11:00:00+00:00,2023-07-11 12:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-07-11 11:00:00+00:00,2023-07-11 12:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
