t0,t1,c1,c2,sum
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,MAIN/dragons-den,,3
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,30
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,MAIN/general,MAIN/general,1
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,MAIN/general,,1
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,MAIN/dragons-den,1
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,,1
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,,MAIN/cringe-cafe,1
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,1
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,,dragons-den/evolve-idol,4
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,,MAIN/dragons-den,49
2023-07-27 15:00:00+00:00,2023-07-27 16:00:00+00:00,,,154
2023-07-27 16:00:00+00:00,2023-07-27 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-07-27 16:00:00+00:00,2023-07-27 17:00:00+00:00,MAIN/dragons-den,MAIN/mental-health,1
2023-07-27 16:00:00+00:00,2023-07-27 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/you-can-call-me-ai-2-spoiler-chat,10
2023-07-27 16:00:00+00:00,2023-07-27 17:00:00+00:00,MAIN/dragons-den,,11
2023-07-27 16:00:00+00:00,2023-07-27 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,58
2023-07-27 16:00:00+00:00,2023-07-27 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
