t0,t1,c1,c2,sum
2022-04-12 05:00:00+00:00,2022-04-12 06:00:00+00:00,MAIN/dragons-den,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,1
2022-04-12 05:00:00+00:00,2022-04-12 06:00:00+00:00,MAIN/dragons-den,,5
2022-04-12 05:00:00+00:00,2022-04-12 06:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,11
2022-04-12 05:00:00+00:00,2022-04-12 06:00:00+00:00,MAIN/general,,3
2022-04-12 05:00:00+00:00,2022-04-12 06:00:00+00:00,,MAIN/general,1
2022-04-12 05:00:00+00:00,2022-04-12 06:00:00+00:00,,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,6
2022-04-12 05:00:00+00:00,2022-04-12 06:00:00+00:00,,MAIN/dragons-den,11
2022-04-12 05:00:00+00:00,2022-04-12 06:00:00+00:00,,,62
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,MAIN/dragons-den,,5
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,17
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,1
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,,2
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,MAIN/dragons-den,4
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,,MAIN/general,2
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,2
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,,MAIN/dragons-den,6
2022-04-12 06:00:00+00:00,2022-04-12 07:00:00+00:00,,,60
2022-04-12 07:00:00+00:00,2022-04-12 08:00:00+00:00,MAIN/dragons-den,dragons-den/Elden-Ring-Pen-Shadow-of-the-Nerd-Tree,2
2022-04-12 07:00:00+00:00,2022-04-12 08:00:00+00:00,MAIN/dragons-den,,9
