t0,t1,c1,c2,sum
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,MAIN/cringe-cafe,,2
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,MAIN/dragons-den,,7
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,26
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,MAIN/general,,1
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,MAIN/general,MAIN/dragons-den,3
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,,MAIN/dragons-den,27
2023-03-03 16:00:00+00:00,2023-03-03 17:00:00+00:00,,,215
2023-03-03 17:00:00+00:00,2023-03-03 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-03-03 17:00:00+00:00,2023-03-03 18:00:00+00:00,MAIN/dragons-den,,16
2023-03-03 17:00:00+00:00,2023-03-03 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2023-03-03 17:00:00+00:00,2023-03-03 18:00:00+00:00,,Important/stream-announcements,1
2023-03-03 17:00:00+00:00,2023-03-03 18:00:00+00:00,,MAIN/general,1
2023-03-03 17:00:00+00:00,2023-03-03 18:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-03-03 17:00:00+00:00,2023-03-03 18:00:00+00:00,,MAIN/dragons-den,110
2023-03-03 17:00:00+00:00,2023-03-03 18:00:00+00:00,,,113
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,Important/stream-announcements,,1
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,MAIN/dragons-den,,43
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,106
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,MAIN/general,,1
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,,MAIN/dragons-den,53
2023-03-03 18:00:00+00:00,2023-03-03 19:00:00+00:00,,,75
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,MAIN/cringe-cafe,,1
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,MAIN/dragons-den,,66
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,93
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,,MAIN/general,1
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,,MAIN/cringe-cafe,3
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,,MAIN/dragons-den,23
2023-03-03 19:00:00+00:00,2023-03-03 20:00:00+00:00,,,94
2023-03-03 20:00:00+00:00,2023-03-03 21:00:00+00:00,MAIN/cringe-cafe,,3
2023-03-03 20:00:00+00:00,2023-03-03 21:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-03-03 20:00:00+00:00,2023-03-03 21:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,2
2023-03-03 20:00:00+00:00,2023-03-03 21:00:00+00:00,MAIN/dragons-den,,45
2023-03-03 20:00:00+00:00,2023-03-03 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,70
2023-03-03 20:00:00+00:00,2023-03-03 21:00:00+00:00,MAIN/general,,1
2023-03-03 20:00:00+00:00,2023-03-03 21:00:00+00:00,,MAIN/dragons-den,20
2023-03-03 20:00:00+00:00,2023-03-03 21:00:00+00:00,,,141
2023-03-03 21:00:00+00:00,2023-03-03 22:00:00+00:00,MAIN/dragons-den,MAIN/general,1
