t0,t1,c1,c2,sum
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,MAIN/cringe-cafe,,1
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,MAIN/dragons-den,,8
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ff16-spoilers,2
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,archived stream spoiler chats/ff16-spoilers,,2
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,,MAIN/cringe-cafe,1
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,,archived stream spoiler chats/ff16-spoilers,3
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,,dragons-den/evolve-idol,4
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,,dragons-den/Jenshin-Den,7
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,,MAIN/dragons-den,38
2023-06-28 15:00:00+00:00,2023-06-28 16:00:00+00:00,,,130
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,MAIN/dragons-den,,19
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,39
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ff16-spoilers,1
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,archived stream spoiler chats/ff16-spoilers,MAIN/dragons-den,2
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,archived stream spoiler chats/ff16-spoilers,,2
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,dragons-den/evolve-idol,,3
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,,Important/stream-announcements,1
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,,MAIN/general,1
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,,archived stream spoiler chats/ff16-spoilers,2
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,,MAIN/share-stuff-you-made,3
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,,MAIN/dragons-den,41
2023-06-28 16:00:00+00:00,2023-06-28 17:00:00+00:00,,,90
2023-06-28 17:00:00+00:00,2023-06-28 18:00:00+00:00,Important/stream-announcements,,1
2023-06-28 17:00:00+00:00,2023-06-28 18:00:00+00:00,MAIN/cringe-cafe,,1
