t0,t1,c1,c2,sum
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/ff16-spoilers,1
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/ghost-trick-spoilers,2
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,MAIN/dragons-den,,8
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,archived stream spoiler chats/ff16-spoilers,MAIN/general,1
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,archived stream spoiler chats/ff16-spoilers,MAIN/dragons-den,2
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ff16-spoilers,2
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,archived stream spoiler chats/ff16-spoilers,,7
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,dragons-den/evolve-idol,,3
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,,MAIN/general,1
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,,archived stream spoiler chats/ff16-spoilers,2
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,,dragons-den/evolve-idol,3
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,,archived stream spoiler chats/ghost-trick-spoilers,7
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,,MAIN/dragons-den,32
2023-07-12 15:00:00+00:00,2023-07-12 16:00:00+00:00,,,146
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/ghost-trick-spoilers,9
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,MAIN/dragons-den,,19
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,26
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,MAIN/general,,1
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,archived stream spoiler chats/ff16-spoilers,MAIN/dragons-den,1
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,archived stream spoiler chats/ff16-spoilers,archived stream spoiler chats/ghost-trick-spoilers,1
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,archived stream spoiler chats/ff16-spoilers,,3
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,archived stream spoiler chats/ghost-trick-spoilers,archived stream spoiler chats/ghost-trick-spoilers,2
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,archived stream spoiler chats/ghost-trick-spoilers,,2
2023-07-12 16:00:00+00:00,2023-07-12 17:00:00+00:00,archived stream spoiler chats/ghost-trick-spoilers,MAIN/dragons-den,5
