t0,t1,c1,c2,sum
2022-11-17 15:00:00+00:00,2022-11-17 16:00:00+00:00,MAIN/dragons-den,,9
2022-11-17 15:00:00+00:00,2022-11-17 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2022-11-17 15:00:00+00:00,2022-11-17 16:00:00+00:00,,MAIN/general,1
2022-11-17 15:00:00+00:00,2022-11-17 16:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-11-17 15:00:00+00:00,2022-11-17 16:00:00+00:00,,MAIN/cringe-cafe,2
2022-11-17 15:00:00+00:00,2022-11-17 16:00:00+00:00,,MAIN/dragons-den,35
2022-11-17 15:00:00+00:00,2022-11-17 16:00:00+00:00,,,101
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,6
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,MAIN/dragons-den,,19
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,MAIN/general,,1
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,,MAIN/general,1
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,,MAIN/cringe-cafe,3
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,,MAIN/dragons-den,21
2022-11-17 16:00:00+00:00,2022-11-17 17:00:00+00:00,,,85
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,3
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,MAIN/cringe-cafe,,6
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,MAIN/dragons-den,,21
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,MAIN/general,,1
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,,MAIN/cringe-cafe,1
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,,MAIN/general,1
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,,MAIN/dragons-den,9
2022-11-17 17:00:00+00:00,2022-11-17 18:00:00+00:00,,,94
2022-11-17 18:00:00+00:00,2022-11-17 19:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2022-11-17 18:00:00+00:00,2022-11-17 19:00:00+00:00,MAIN/cringe-cafe,,3
2022-11-17 18:00:00+00:00,2022-11-17 19:00:00+00:00,MAIN/dragons-den,,16
2022-11-17 18:00:00+00:00,2022-11-17 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,23
2022-11-17 18:00:00+00:00,2022-11-17 19:00:00+00:00,MAIN/general,,1
2022-11-17 18:00:00+00:00,2022-11-17 19:00:00+00:00,,MAIN/cringe-cafe,4
2022-11-17 18:00:00+00:00,2022-11-17 19:00:00+00:00,,MAIN/dragons-den,19
2022-11-17 18:00:00+00:00,2022-11-17 19:00:00+00:00,,,100
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,MAIN/cringe-cafe,dragons-den/GoW-Raggyrock-spoiler-Den,1
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,MAIN/cringe-cafe,,3
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,MAIN/dragons-den,,13
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,,MAIN/cringe-cafe,1
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,,MAIN/dragons-den,21
2022-11-17 19:00:00+00:00,2022-11-17 20:00:00+00:00,,,98
2022-11-17 20:00:00+00:00,2022-11-17 21:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2022-11-17 20:00:00+00:00,2022-11-17 21:00:00+00:00,MAIN/cringe-cafe,,2
2022-11-17 20:00:00+00:00,2022-11-17 21:00:00+00:00,MAIN/dragons-den,,20
2022-11-17 20:00:00+00:00,2022-11-17 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2022-11-17 20:00:00+00:00,2022-11-17 21:00:00+00:00,dragons-den/GoW-Raggyrock-spoiler-Den,,1
2022-11-17 20:00:00+00:00,2022-11-17 21:00:00+00:00,,MAIN/dragons-den,23
2022-11-17 20:00:00+00:00,2022-11-17 21:00:00+00:00,,,91
2022-11-17 21:00:00+00:00,2022-11-17 22:00:00+00:00,MAIN/dragons-den,,17
2022-11-17 21:00:00+00:00,2022-11-17 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,37
2022-11-17 21:00:00+00:00,2022-11-17 22:00:00+00:00,,MAIN/cringe-cafe,2
2022-11-17 21:00:00+00:00,2022-11-17 22:00:00+00:00,,MAIN/general,2
2022-11-17 21:00:00+00:00,2022-11-17 22:00:00+00:00,,MAIN/dragons-den,16
2022-11-17 21:00:00+00:00,2022-11-17 22:00:00+00:00,,,94
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,25
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,MAIN/dragons-den,,27
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,MAIN/general,,2
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,,MAIN/cringe-cafe,3
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,,MAIN/dragons-den,14
2022-11-17 22:00:00+00:00,2022-11-17 23:00:00+00:00,,,94
2022-11-17 23:00:00+00:00,2022-11-18 00:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-11-17 23:00:00+00:00,2022-11-18 00:00:00+00:00,MAIN/cringe-cafe,,4
2022-11-17 23:00:00+00:00,2022-11-18 00:00:00+00:00,MAIN/dragons-den,,19
2022-11-17 23:00:00+00:00,2022-11-18 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2022-11-17 23:00:00+00:00,2022-11-18 00:00:00+00:00,,MAIN/cringe-cafe,1
2022-11-17 23:00:00+00:00,2022-11-18 00:00:00+00:00,,MAIN/general,1
2022-11-17 23:00:00+00:00,2022-11-18 00:00:00+00:00,,MAIN/dragons-den,10
2022-11-17 23:00:00+00:00,2022-11-18 00:00:00+00:00,,,111
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,MAIN/cringe-cafe,,1
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,12
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,MAIN/dragons-den,,19
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,MAIN/general,MAIN/general,1
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,,MAIN/general,1
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,,MAIN/cringe-cafe,6
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,,MAIN/dragons-den,12
2022-11-18 00:00:00+00:00,2022-11-18 01:00:00+00:00,,,115
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,MAIN/cringe-cafe,,4
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,MAIN/dragons-den,,9
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,13
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,MAIN/general,,2
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,,MAIN/cringe-cafe,1
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,,MAIN/general,2
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,,MAIN/dragons-den,15
2022-11-18 01:00:00+00:00,2022-11-18 02:00:00+00:00,,,116
