t0,t1,c1,c2,sum
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,MAIN/dragons-den,,8
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,15
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,,MAIN/cringe-cafe,2
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,,dragons-den/Jenshin-Den,9
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,,MAIN/dragons-den,30
2023-06-07 15:00:00+00:00,2023-06-07 16:00:00+00:00,,,124
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,MAIN/cringe-cafe,,2
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,MAIN/dragons-den,,10
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,35
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,3
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,7
2023-06-07 16:00:00+00:00,2023-06-07 17:00:00+00:00,,Important/stream-announcements,1
