t0,t1,c1,c2,sum
2023-03-22 15:00:00+00:00,2023-03-22 16:00:00+00:00,MAIN/dragons-den,,7
2023-03-22 15:00:00+00:00,2023-03-22 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2023-03-22 15:00:00+00:00,2023-03-22 16:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-03-22 15:00:00+00:00,2023-03-22 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-03-22 15:00:00+00:00,2023-03-22 16:00:00+00:00,,MAIN/general,2
2023-03-22 15:00:00+00:00,2023-03-22 16:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-03-22 15:00:00+00:00,2023-03-22 16:00:00+00:00,,MAIN/dragons-den,45
2023-03-22 15:00:00+00:00,2023-03-22 16:00:00+00:00,,,145
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,MAIN/dragons-den,,18
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,46
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,MAIN/general,MAIN/general,1
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,MAIN/general,,1
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,2
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,1
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,,MAIN/general,5
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,,MAIN/dragons-den,52
2023-03-22 16:00:00+00:00,2023-03-22 17:00:00+00:00,,,94
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,Important/stream-announcements,,1
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,3
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,46
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,MAIN/dragons-den,,51
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,MAIN/general,,5
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-03-22 17:00:00+00:00,2023-03-22 18:00:00+00:00,dragons-den/Jenshin-Den,,1
