t0,t1,c1,c2,sum
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,MAIN/cringe-cafe,,1
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,MAIN/dragons-den,,11
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,,1
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,dragons-den/evolve-idol,,2
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,,MAIN/cringe-cafe,1
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,,MAIN/general,2
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,2
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,,dragons-den/evolve-idol,2
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,,MAIN/dragons-den,29
2023-06-15 14:00:00+00:00,2023-06-15 15:00:00+00:00,,,114
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,MAIN/cringe-cafe,,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,25
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,MAIN/dragons-den,,25
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,MAIN/general,,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,archived stream spoiler chats/botwtotk-shrine-spoiler,archived stream spoiler chats/botwtotk-shrine-spoiler,2
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,dragons-den/Jenshin-Den,MAIN/general,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,dragons-den/evolve-idol,,3
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,,archived stream spoiler chats/botwtotk-shrine-spoiler,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,,dragons-den/evolve-idol,1
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,,MAIN/general,5
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,,dragons-den/Jenshin-Den,8
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,,MAIN/dragons-den,20
2023-06-15 15:00:00+00:00,2023-06-15 16:00:00+00:00,,,95
