t0,t1,c1,c2,sum
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,MAIN/dragons-den,,3
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,12
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,MAIN/general,,1
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,,Stream Stuff/stream-art-museum,1
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,,MAIN/mental-health,2
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,,MAIN/dragons-den,31
2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,,,140
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,MAIN/dragons-den,,17
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,MAIN/mental-health,MAIN/dragons-den,1
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,MAIN/mental-health,,1
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,Stream Stuff/stream-art-museum,MAIN/dragons-den,1
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,,Important/stream-announcements,1
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,,MAIN/cringe-cafe,5
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,,MAIN/dragons-den,44
2023-02-10 17:00:00+00:00,2023-02-10 18:00:00+00:00,,,92
2023-02-10 18:00:00+00:00,2023-02-10 19:00:00+00:00,Important/stream-announcements,,1
2023-02-10 18:00:00+00:00,2023-02-10 19:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-02-10 18:00:00+00:00,2023-02-10 19:00:00+00:00,MAIN/cringe-cafe,,5
2023-02-10 18:00:00+00:00,2023-02-10 19:00:00+00:00,MAIN/dragons-den,MAIN/general,3
2023-02-10 18:00:00+00:00,2023-02-10 19:00:00+00:00,MAIN/dragons-den,,28
