t0,t1,c1,c2,sum
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,MAIN/dragons-den,,5
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,23
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,,MAIN/cringe-cafe,2
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,,MAIN/general,2
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,,MAIN/dragons-den,31
2023-02-23 16:00:00+00:00,2023-02-23 17:00:00+00:00,,,131
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,3
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,MAIN/dragons-den,,21
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,32
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,MAIN/general,,2
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,,Important/stream-announcements,1
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,,MAIN/dragons-den,38
2023-02-23 17:00:00+00:00,2023-02-23 18:00:00+00:00,,,98
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,Important/stream-announcements,,1
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,4
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,MAIN/dragons-den,,29
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,,MAIN/cringe-cafe,1
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,,MAIN/dragons-den,20
2023-02-23 18:00:00+00:00,2023-02-23 19:00:00+00:00,,,99
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,5
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,2
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,MAIN/dragons-den,,25
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,,MAIN/general,1
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,,MAIN/mental-health,2
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,,MAIN/dragons-den,24
2023-02-23 19:00:00+00:00,2023-02-23 20:00:00+00:00,,,103
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,MAIN/cringe-cafe,,6
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,MAIN/dragons-den,,25
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,MAIN/general,,1
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,MAIN/mental-health,,2
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,2
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,,MAIN/cringe-cafe,1
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,,MAIN/general,2
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,,MAIN/dragons-den,21
2023-02-23 20:00:00+00:00,2023-02-23 21:00:00+00:00,,,105
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,MAIN/dragons-den,,18
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,36
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,MAIN/general,MAIN/general,2
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,,MAIN/cringe-cafe,4
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,,MAIN/general,4
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,,MAIN/dragons-den,19
2023-02-23 21:00:00+00:00,2023-02-23 22:00:00+00:00,,,111
2023-02-23 22:00:00+00:00,2023-02-23 23:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-02-23 22:00:00+00:00,2023-02-23 23:00:00+00:00,MAIN/cringe-cafe,,3
