t0,t1,c1,c2,sum
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,MAIN/cringe-cafe,,1
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,MAIN/dragons-den,,9
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,25
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,,Important/stream-announcements,1
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,,Stream Stuff/stream-art-museum,1
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,,MAIN/dragons-den,46
2023-02-15 17:00:00+00:00,2023-02-15 18:00:00+00:00,,,115
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,Important/stream-announcements,,1
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,MAIN/cringe-cafe,,2
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,MAIN/dragons-den,,26
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,44
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,Stream Stuff/stream-art-museum,MAIN/dragons-den,1
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,,MAIN/cringe-cafe,1
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,,MAIN/general,3
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,,MAIN/dragons-den,31
2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,,,89
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,MAIN/cringe-cafe,,2
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,MAIN/dragons-den,,25
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,51
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,MAIN/general,MAIN/general,1
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,MAIN/general,,2
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,,MAIN/cringe-cafe,3
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,,MAIN/dragons-den,22
2023-02-15 19:00:00+00:00,2023-02-15 20:00:00+00:00,,,93
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,MAIN/cringe-cafe,,2
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,MAIN/dragons-den,,24
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,49
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,MAIN/general,MAIN/general,1
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,,MAIN/general,2
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,,MAIN/dragons-den,21
2023-02-15 20:00:00+00:00,2023-02-15 21:00:00+00:00,,,101
2023-02-15 21:00:00+00:00,2023-02-15 22:00:00+00:00,MAIN/dragons-den,,19
2023-02-15 21:00:00+00:00,2023-02-15 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,52
2023-02-15 21:00:00+00:00,2023-02-15 22:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2023-02-15 21:00:00+00:00,2023-02-15 22:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-02-15 21:00:00+00:00,2023-02-15 22:00:00+00:00,MAIN/general,,1
2023-02-15 21:00:00+00:00,2023-02-15 22:00:00+00:00,,MAIN/general,1
2023-02-15 21:00:00+00:00,2023-02-15 22:00:00+00:00,,MAIN/dragons-den,27
2023-02-15 21:00:00+00:00,2023-02-15 22:00:00+00:00,,,100
2023-02-15 22:00:00+00:00,2023-02-15 23:00:00+00:00,MAIN/cringe-cafe,,1
2023-02-15 22:00:00+00:00,2023-02-15 23:00:00+00:00,MAIN/dragons-den,,34
2023-02-15 22:00:00+00:00,2023-02-15 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,46
2023-02-15 22:00:00+00:00,2023-02-15 23:00:00+00:00,MAIN/general,,1
2023-02-15 22:00:00+00:00,2023-02-15 23:00:00+00:00,,MAIN/cringe-cafe,1
2023-02-15 22:00:00+00:00,2023-02-15 23:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-02-15 22:00:00+00:00,2023-02-15 23:00:00+00:00,,MAIN/dragons-den,16
2023-02-15 22:00:00+00:00,2023-02-15 23:00:00+00:00,,,102
2023-02-15 23:00:00+00:00,2023-02-16 00:00:00+00:00,MAIN/cringe-cafe,,1
2023-02-15 23:00:00+00:00,2023-02-16 00:00:00+00:00,MAIN/dragons-den,,18
2023-02-15 23:00:00+00:00,2023-02-16 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,44
2023-02-15 23:00:00+00:00,2023-02-16 00:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2023-02-15 23:00:00+00:00,2023-02-16 00:00:00+00:00,,MAIN/general,2
2023-02-15 23:00:00+00:00,2023-02-16 00:00:00+00:00,,MAIN/dragons-den,29
2023-02-15 23:00:00+00:00,2023-02-16 00:00:00+00:00,,,107
2023-02-16 00:00:00+00:00,2023-02-16 01:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-02-16 00:00:00+00:00,2023-02-16 01:00:00+00:00,MAIN/dragons-den,,35
2023-02-16 00:00:00+00:00,2023-02-16 01:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
2023-02-16 00:00:00+00:00,2023-02-16 01:00:00+00:00,MAIN/general,,2
2023-02-16 00:00:00+00:00,2023-02-16 01:00:00+00:00,,MAIN/general,1
2023-02-16 00:00:00+00:00,2023-02-16 01:00:00+00:00,,MAIN/mental-health,1
2023-02-16 00:00:00+00:00,2023-02-16 01:00:00+00:00,,MAIN/dragons-den,16
2023-02-16 00:00:00+00:00,2023-02-16 01:00:00+00:00,,,108
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,MAIN/dragons-den,,25
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,MAIN/general,,1
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,MAIN/mental-health,,1
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,,MAIN/general,1
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,,MAIN/dragons-den,14
2023-02-16 01:00:00+00:00,2023-02-16 02:00:00+00:00,,,130
