t0,t1,c1,c2,sum
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,MAIN/dragons-den,,6
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,MAIN/general,,1
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,,Important/stream-announcements,1
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,,MAIN/general,2
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,,MAIN/dragons-den,62
2022-06-02 15:00:00+00:00,2022-06-02 16:00:00+00:00,,,126
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,Important/stream-announcements,,1
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,MAIN/dragons-den,,19
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,61
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,MAIN/general,,3
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,,MAIN/cringe-cafe,1
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,,MAIN/mental-health,1
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,,MAIN/dragons-den,59
2022-06-02 16:00:00+00:00,2022-06-02 17:00:00+00:00,,,72
2022-06-02 17:00:00+00:00,2022-06-02 18:00:00+00:00,MAIN/cringe-cafe,,1
2022-06-02 17:00:00+00:00,2022-06-02 18:00:00+00:00,MAIN/dragons-den,,39
2022-06-02 17:00:00+00:00,2022-06-02 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,82
2022-06-02 17:00:00+00:00,2022-06-02 18:00:00+00:00,MAIN/mental-health,,1
2022-06-02 17:00:00+00:00,2022-06-02 18:00:00+00:00,,MAIN/cringe-cafe,1
2022-06-02 17:00:00+00:00,2022-06-02 18:00:00+00:00,,MAIN/general,3
2022-06-02 17:00:00+00:00,2022-06-02 18:00:00+00:00,,MAIN/dragons-den,31
2022-06-02 17:00:00+00:00,2022-06-02 18:00:00+00:00,,,60
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,MAIN/cringe-cafe,,1
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,MAIN/dragons-den,,48
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,65
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,MAIN/general,,2
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,,MAIN/cringe-cafe,1
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,,MAIN/mental-health,1
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,,MAIN/dragons-den,21
2022-06-02 18:00:00+00:00,2022-06-02 19:00:00+00:00,,,77
2022-06-02 19:00:00+00:00,2022-06-02 20:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-06-02 19:00:00+00:00,2022-06-02 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,3
2022-06-02 19:00:00+00:00,2022-06-02 20:00:00+00:00,MAIN/dragons-den,,29
2022-06-02 19:00:00+00:00,2022-06-02 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,55
2022-06-02 19:00:00+00:00,2022-06-02 20:00:00+00:00,MAIN/mental-health,,1
2022-06-02 19:00:00+00:00,2022-06-02 20:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-06-02 19:00:00+00:00,2022-06-02 20:00:00+00:00,,MAIN/dragons-den,34
2022-06-02 19:00:00+00:00,2022-06-02 20:00:00+00:00,,,94
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,MAIN/cringe-cafe,MAIN/general,1
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,26
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,MAIN/dragons-den,,62
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,,MAIN/general,2
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,,MAIN/dragons-den,12
2022-06-02 20:00:00+00:00,2022-06-02 21:00:00+00:00,,,111
