t0,t1,c1,c2,sum
2023-05-30 15:00:00+00:00,2023-05-30 16:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-05-30 15:00:00+00:00,2023-05-30 16:00:00+00:00,MAIN/dragons-den,,13
2023-05-30 15:00:00+00:00,2023-05-30 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2023-05-30 15:00:00+00:00,2023-05-30 16:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-05-30 15:00:00+00:00,2023-05-30 16:00:00+00:00,,MAIN/dragons-den,28
2023-05-30 15:00:00+00:00,2023-05-30 16:00:00+00:00,,,116
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,MAIN/dragons-den,,20
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,35
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,,Important/stream-announcements,1
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,,MAIN/general,2
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,,MAIN/dragons-den,52
2023-05-30 16:00:00+00:00,2023-05-30 17:00:00+00:00,,,71
2023-05-30 17:00:00+00:00,2023-05-30 18:00:00+00:00,Important/stream-announcements,,1
2023-05-30 17:00:00+00:00,2023-05-30 18:00:00+00:00,MAIN/cringe-cafe,,1
