t0,t1,c1,c2,sum
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,MAIN/dragons-den,,8
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,16
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,MAIN/general,,1
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,,MAIN/cringe-cafe,2
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,,MAIN/dragons-den,38
2022-04-15 14:00:00+00:00,2022-04-15 15:00:00+00:00,,,91
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,MAIN/cringe-cafe,,2
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,MAIN/dragons-den,,19
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,,MAIN/general,3
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,,MAIN/dragons-den,32
2022-04-15 15:00:00+00:00,2022-04-15 16:00:00+00:00,,,65
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,32
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,MAIN/dragons-den,,34
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,MAIN/general,MAIN/general,2
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,MAIN/general,,2
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,,MAIN/cringe-cafe,3
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,,MAIN/dragons-den,14
2022-04-15 16:00:00+00:00,2022-04-15 17:00:00+00:00,,,70
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,MAIN/cringe-cafe,,2
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,MAIN/dragons-den,,18
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,MAIN/general,MAIN/general,1
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,MAIN/general,,1
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,,MAIN/cringe-cafe,1
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,,MAIN/dragons-den,16
2022-04-15 17:00:00+00:00,2022-04-15 18:00:00+00:00,,,89
2022-04-15 18:00:00+00:00,2022-04-15 19:00:00+00:00,MAIN/cringe-cafe,,1
2022-04-15 18:00:00+00:00,2022-04-15 19:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,2
2022-04-15 18:00:00+00:00,2022-04-15 19:00:00+00:00,MAIN/dragons-den,,14
2022-04-15 18:00:00+00:00,2022-04-15 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,31
2022-04-15 18:00:00+00:00,2022-04-15 19:00:00+00:00,MAIN/general,MAIN/general,1
2022-04-15 18:00:00+00:00,2022-04-15 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-04-15 18:00:00+00:00,2022-04-15 19:00:00+00:00,,MAIN/dragons-den,14
2022-04-15 18:00:00+00:00,2022-04-15 19:00:00+00:00,,,95
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,MAIN/dragons-den,,19
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,25
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,MAIN/general,,1
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,MAIN/share-stuff-you-made,,2
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,,MAIN/general,1
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,,MAIN/mental-health,1
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,,MAIN/cringe-cafe,2
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,,MAIN/dragons-den,19
2022-04-15 19:00:00+00:00,2022-04-15 20:00:00+00:00,,,87
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,MAIN/cringe-cafe,,2
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,MAIN/dragons-den,,25
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,MAIN/general,MAIN/general,1
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,MAIN/mental-health,,1
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,,MAIN/cringe-cafe,2
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,,MAIN/dragons-den,16
2022-04-15 20:00:00+00:00,2022-04-15 21:00:00+00:00,,,90
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,MAIN/cringe-cafe,,2
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,9
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,MAIN/dragons-den,,27
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,MAIN/general,,1
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,,MAIN/share-stuff-you-made,2
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,,MAIN/dragons-den,10
2022-04-15 21:00:00+00:00,2022-04-15 22:00:00+00:00,,,106
