t0,t1,c1,c2,sum
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,MAIN/dragons-den,MAIN/mental-health,1
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,MAIN/dragons-den,,8
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,MAIN/general,,1
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,1
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,,MAIN/dragons-den,37
2023-02-24 17:00:00+00:00,2023-02-24 18:00:00+00:00,,,117
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,MAIN/dragons-den,,25
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,47
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,MAIN/mental-health,MAIN/dragons-den,1
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,,Important/stream-announcements,1
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,,MAIN/general,1
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,1
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,,MAIN/dragons-den,54
2023-02-24 18:00:00+00:00,2023-02-24 19:00:00+00:00,,,67
2023-02-24 19:00:00+00:00,2023-02-24 20:00:00+00:00,Important/stream-announcements,,1
2023-02-24 19:00:00+00:00,2023-02-24 20:00:00+00:00,MAIN/dragons-den,,42
2023-02-24 19:00:00+00:00,2023-02-24 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,60
2023-02-24 19:00:00+00:00,2023-02-24 20:00:00+00:00,MAIN/general,,1
2023-02-24 19:00:00+00:00,2023-02-24 20:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-02-24 19:00:00+00:00,2023-02-24 20:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-02-24 19:00:00+00:00,2023-02-24 20:00:00+00:00,,MAIN/cringe-cafe,1
