t0,t1,c1,c2,sum
2023-01-31 16:00:00+00:00,2023-01-31 17:00:00+00:00,MAIN/dragons-den,,8
2023-01-31 16:00:00+00:00,2023-01-31 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-01-31 16:00:00+00:00,2023-01-31 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-31 16:00:00+00:00,2023-01-31 17:00:00+00:00,,MAIN/dragons-den,69
2023-01-31 16:00:00+00:00,2023-01-31 17:00:00+00:00,,,128
2023-01-31 17:00:00+00:00,2023-01-31 18:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-31 17:00:00+00:00,2023-01-31 18:00:00+00:00,MAIN/dragons-den,,29
2023-01-31 17:00:00+00:00,2023-01-31 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,68
2023-01-31 17:00:00+00:00,2023-01-31 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-31 17:00:00+00:00,2023-01-31 18:00:00+00:00,,MAIN/general,1
2023-01-31 17:00:00+00:00,2023-01-31 18:00:00+00:00,,MAIN/dragons-den,63
2023-01-31 17:00:00+00:00,2023-01-31 18:00:00+00:00,,,71
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,MAIN/dragons-den,,59
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,70
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,MAIN/general,,1
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,,MAIN/mental-health,1
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,,MAIN/cringe-cafe,3
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,,MAIN/dragons-den,22
2023-01-31 18:00:00+00:00,2023-01-31 19:00:00+00:00,,,73
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/cringe-cafe,,3
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/dragons-den,,36
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,54
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/mental-health,MAIN/mental-health,1
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,,MAIN/general,1
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,,MAIN/dragons-den,29
2023-01-31 19:00:00+00:00,2023-01-31 20:00:00+00:00,,,104
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,MAIN/dragons-den,,28
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,56
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,MAIN/general,,1
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,MAIN/mental-health,,1
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,,MAIN/cringe-cafe,2
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,,MAIN/dragons-den,36
2023-01-31 20:00:00+00:00,2023-01-31 21:00:00+00:00,,,107
2023-01-31 21:00:00+00:00,2023-01-31 22:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-01-31 21:00:00+00:00,2023-01-31 22:00:00+00:00,MAIN/cringe-cafe,,2
2023-01-31 21:00:00+00:00,2023-01-31 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,42
2023-01-31 21:00:00+00:00,2023-01-31 22:00:00+00:00,MAIN/dragons-den,,51
2023-01-31 21:00:00+00:00,2023-01-31 22:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-31 21:00:00+00:00,2023-01-31 22:00:00+00:00,,MAIN/dragons-den,23
2023-01-31 21:00:00+00:00,2023-01-31 22:00:00+00:00,,,114
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,MAIN/cringe-cafe,,2
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,MAIN/dragons-den,,44
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,,MAIN/cringe-cafe,1
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,,MAIN/general,1
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,,MAIN/dragons-den,14
2023-01-31 22:00:00+00:00,2023-01-31 23:00:00+00:00,,,149
