t0,t1,c1,c2,sum
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,MAIN/cringe-cafe,dragons-den/Jenshin-Den,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/inscryption-spoiler-deck,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,MAIN/dragons-den,,9
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,archived stream spoiler chats/inscryption-spoiler-deck,,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,archived stream spoiler chats/inscryption-spoiler-deck,archived stream spoiler chats/inscryption-spoiler-deck,2
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,dragons-den/Jenshin-Den,archived stream spoiler chats/inscryption-spoiler-deck,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,dragons-den/evolve-idol,,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,,Important/stream-announcements,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,,MAIN/general,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,,dragons-den/evolve-idol,1
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,,MAIN/cringe-cafe,3
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,,archived stream spoiler chats/inscryption-spoiler-deck,15
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,,MAIN/dragons-den,29
2023-08-23 15:00:00+00:00,2023-08-23 16:00:00+00:00,,,203
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,Important/stream-announcements,,1
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,MAIN/cringe-cafe,,3
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,MAIN/dragons-den,,27
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,36
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,MAIN/general,,1
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,archived stream spoiler chats/inscryption-spoiler-deck,,5
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,archived stream spoiler chats/inscryption-spoiler-deck,archived stream spoiler chats/inscryption-spoiler-deck,6
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,archived stream spoiler chats/inscryption-spoiler-deck,MAIN/dragons-den,8
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,1
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,2
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,,MAIN/general,1
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,,MAIN/cringe-cafe,3
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,,archived stream spoiler chats/inscryption-spoiler-deck,13
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,,MAIN/dragons-den,81
2023-08-23 16:00:00+00:00,2023-08-23 17:00:00+00:00,,,116
2023-08-23 17:00:00+00:00,2023-08-23 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-08-23 17:00:00+00:00,2023-08-23 18:00:00+00:00,MAIN/cringe-cafe,,2
2023-08-23 17:00:00+00:00,2023-08-23 18:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-08-23 17:00:00+00:00,2023-08-23 18:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-08-23 17:00:00+00:00,2023-08-23 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/inscryption-spoiler-deck,23
2023-08-23 17:00:00+00:00,2023-08-23 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
