t0,t1,c1,c2,sum
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,4
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,MAIN/dragons-den,,15
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,35
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,MAIN/dragons-den,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,dragons-den/Jenshin-Den,Stream Stuff/jadseya-awards-2023,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,dragons-den/baldurs-gate-3-goty-den,dragons-den/baldurs-gate-3-goty-den,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,dragons-den/evolve-idol,,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,5
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,dragons-den/baldurs-gate-3-goty-den,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,dragons-den/evolve-idol,1
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,MAIN/general,4
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,Stream Stuff/jadseya-awards-2023,17
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,MAIN/dragons-den,49
2023-11-27 16:00:00+00:00,2023-11-27 17:00:00+00:00,,,200
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,3
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,MAIN/dragons-den,,30
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,52
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,MAIN/general,Stream Stuff/jadseya-awards-2023,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,MAIN/general,,3
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,5
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,6
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,Stream Stuff/jadseya-awards-2023,,11
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,13
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/baldurs-gate-3-goty-den,MAIN/dragons-den,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/baldurs-gate-3-goty-den,,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/evolve-idol,Stream Stuff/jadseya-awards-2023,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/evolve-idol,,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,,dragons-den/evolve-idol,1
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,,MAIN/general,3
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,,Stream Stuff/jadseya-awards-2023,13
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,,MAIN/dragons-den,40
2023-11-27 17:00:00+00:00,2023-11-27 18:00:00+00:00,,,158
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,8
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,MAIN/dragons-den,,30
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,61
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,MAIN/general,,3
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,dragons-den/evolve-idol,1
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,3
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,9
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,Stream Stuff/jadseya-awards-2023,,11
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,dragons-den/Jenshin-Den,,5
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,11
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,dragons-den/evolve-idol,,1
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,,MAIN/dragons-den,29
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,,Stream Stuff/jadseya-awards-2023,41
2023-11-27 18:00:00+00:00,2023-11-27 19:00:00+00:00,,,135
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,MAIN/dragons-den,Stream Stuff/jadseya-awards-2023,7
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,42
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,MAIN/dragons-den,,42
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,dragons-den/Jenshin-Den,1
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,dragons-den/evolve-idol,1
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,MAIN/dragons-den,8
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,Stream Stuff/jadseya-awards-2023,8
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,Stream Stuff/jadseya-awards-2023,,40
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-11-27 19:00:00+00:00,2023-11-27 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
