t0,t1,c1,c2,sum
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,MAIN/cringe-cafe,dragons-den/evolve-idol,1
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,MAIN/dragons-den,,9
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,dragons-den/game-jam-dvd,MAIN/dragons-den,3
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,,MAIN/cringe-cafe,2
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,,dragons-den/evolve-idol,2
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,,MAIN/dragons-den,51
2023-09-19 15:00:00+00:00,2023-09-19 16:00:00+00:00,,,132
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,MAIN/cringe-cafe,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,36
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,MAIN/dragons-den,,38
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,1
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,dragons-den/evolve-idol,,3
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,,MAIN/cringe-cafe,2
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,,dragons-den/Jenshin-Den,7
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,,MAIN/dragons-den,28
2023-09-19 16:00:00+00:00,2023-09-19 17:00:00+00:00,,,108
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,MAIN/cringe-cafe,,1
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,MAIN/dragons-den,,36
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,dragons-den/Jenshin-Den,1
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,archived stream spoiler chats/staaaaaaaaaaaaaaaaaaahfield-spoiler-den,,1
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,dragons-den/Jenshin-Den,,6
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,,MAIN/cringe-cafe,4
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,,MAIN/dragons-den,29
2023-09-19 17:00:00+00:00,2023-09-19 18:00:00+00:00,,,116
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,2
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,MAIN/cringe-cafe,,3
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,MAIN/dragons-den,,23
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,,MAIN/mental-health,1
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,,MAIN/general,2
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,,MAIN/dragons-den,23
2023-09-19 18:00:00+00:00,2023-09-19 19:00:00+00:00,,,130
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/cringe-cafe,,1
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/dragons-den,MAIN/mental-health,1
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/dragons-den,,19
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,37
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/general,MAIN/general,2
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/mental-health,,1
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,dragons-den/Jenshin-Den,MAIN/cringe-cafe,1
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,,dragons-den/evolve-idol,3
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,,MAIN/cringe-cafe,4
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,,MAIN/dragons-den,25
2023-09-19 19:00:00+00:00,2023-09-19 20:00:00+00:00,,,123
2023-09-19 20:00:00+00:00,2023-09-19 21:00:00+00:00,MAIN/cringe-cafe,,2
2023-09-19 20:00:00+00:00,2023-09-19 21:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,4
2023-09-19 20:00:00+00:00,2023-09-19 21:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-09-19 20:00:00+00:00,2023-09-19 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,31
2023-09-19 20:00:00+00:00,2023-09-19 21:00:00+00:00,MAIN/dragons-den,,31
2023-09-19 20:00:00+00:00,2023-09-19 21:00:00+00:00,MAIN/general,MAIN/general,1
