t0,t1,c1,c2,sum
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,16
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,MAIN/dragons-den,,18
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,MAIN/general,,2
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,MAIN/share-stuff-you-made,,2
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,2
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,5
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,,MAIN/dragons-den,29
2022-12-24 16:00:00+00:00,2022-12-24 17:00:00+00:00,,,136
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,MAIN/dragons-den,,20
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,22
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,1
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,2
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,3
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,,MAIN/cringe-cafe,3
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,3
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,6
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,,MAIN/dragons-den,36
2022-12-24 17:00:00+00:00,2022-12-24 18:00:00+00:00,,,112
