t0,t1,c1,c2,sum
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,MAIN/dragons-den,,9
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,1
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,1
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,,MAIN/mental-health,1
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,,MAIN/general,2
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,4
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,,MAIN/dragons-den,32
2023-01-03 16:00:00+00:00,2023-01-03 17:00:00+00:00,,,177
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,Important/stream-announcements,,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,MAIN/dragons-den,,24
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,MAIN/general,MAIN/general,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,MAIN/general,,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,MAIN/mental-health,,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,3
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,1
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,4
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,,MAIN/dragons-den,62
2023-01-03 17:00:00+00:00,2023-01-03 18:00:00+00:00,,,121
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,4
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,MAIN/dragons-den,,29
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,63
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,MAIN/general,,3
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,MAIN/share-stuff-you-made,MAIN/share-stuff-you-made,1
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,1
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,3
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,3
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,,MAIN/mental-health,1
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,,MAIN/general,3
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,,MAIN/cringe-cafe,4
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,5
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,,MAIN/dragons-den,40
2023-01-03 18:00:00+00:00,2023-01-03 19:00:00+00:00,,,96
2023-01-03 19:00:00+00:00,2023-01-03 20:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,3
