t0,t1,c1,c2,sum
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,MAIN/dragons-den,,1
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,1
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,MAIN/dragons-den,1
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,,MAIN/general,1
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,,MAIN/cringe-cafe,2
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,2
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,8
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,,MAIN/dragons-den,51
2022-12-28 16:00:00+00:00,2022-12-28 17:00:00+00:00,,,102
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,MAIN/dragons-den,MAIN/general,2
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,2
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,31
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,MAIN/dragons-den,,36
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,2
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,6
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,2
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,9
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,,MAIN/dragons-den,22
2022-12-28 17:00:00+00:00,2022-12-28 18:00:00+00:00,,,72
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,MAIN/dragons-den,,15
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,MAIN/general,MAIN/general,1
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,2
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,4
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,11
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,,MAIN/share-stuff-you-made,2
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,4
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,,MAIN/dragons-den,18
2022-12-28 18:00:00+00:00,2022-12-28 19:00:00+00:00,,,87
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,MAIN/dragons-den,,15
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,48
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,MAIN/general,,1
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,MAIN/share-stuff-you-made,,2
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,4
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,5
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,6
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,4
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,,MAIN/dragons-den,23
2022-12-28 19:00:00+00:00,2022-12-28 20:00:00+00:00,,,77
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,MAIN/dragons-den,,13
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,61
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,2
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,3
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,6
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,,MAIN/general,2
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,4
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,,MAIN/dragons-den,20
2022-12-28 20:00:00+00:00,2022-12-28 21:00:00+00:00,,,75
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,5
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,MAIN/dragons-den,,31
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,48
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,MAIN/general,,1
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,1
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,5
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,5
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,7
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,,MAIN/dragons-den,15
2022-12-28 21:00:00+00:00,2022-12-28 22:00:00+00:00,,,68
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,2
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,MAIN/dragons-den,,30
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/general,1
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,2
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,14
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,,MAIN/general,1
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,,MAIN/mental-health,1
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,,MAIN/cringe-cafe,2
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,,MAIN/dragons-den,6
2022-12-28 22:00:00+00:00,2022-12-28 23:00:00+00:00,,,94
