t0,t1,c1,c2,sum
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,MAIN/dragons-den,,7
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,3
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,4
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,10
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,,MAIN/dragons-den,48
2022-12-18 17:00:00+00:00,2022-12-18 18:00:00+00:00,,,157
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,5
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,MAIN/dragons-den,,33
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,2
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,4
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,5
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,,Important/stream-announcements,1
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,,MAIN/general,2
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,22
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,,MAIN/dragons-den,37
2022-12-18 18:00:00+00:00,2022-12-18 19:00:00+00:00,,,106
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,Important/stream-announcements,,1
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,MAIN/cringe-cafe,,2
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,4
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,MAIN/dragons-den,,25
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,50
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,MAIN/general,,2
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,3
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,9
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,20
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,10
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,,MAIN/dragons-den,25
2022-12-18 19:00:00+00:00,2022-12-18 20:00:00+00:00,,,109
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,3
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,MAIN/dragons-den,,24
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,50
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,6
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,12
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,16
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,,dragons-den/GoW-Raggyrock-spoiler-Den,1
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,,MAIN/general,3
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,5
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,,MAIN/dragons-den,26
2022-12-18 20:00:00+00:00,2022-12-18 21:00:00+00:00,,,112
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,4
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,MAIN/dragons-den,,27
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,51
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,MAIN/general,MAIN/general,1
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,MAIN/general,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,MAIN/general,,2
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/general,1
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,3
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,6
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,10
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,dragons-den/GoW-Raggyrock-spoiler-Den,,1
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,,MAIN/dragons-den,12
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,12
2022-12-18 21:00:00+00:00,2022-12-18 22:00:00+00:00,,,127
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,MAIN/cringe-cafe,MAIN/general,1
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,2
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,MAIN/dragons-den,,21
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,42
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,MAIN/general,MAIN/general,1
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,MAIN/general,archived stream spoiler chats/lis-true-colors-spoilers,1
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/general,1
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,3
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,10
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,archived stream spoiler chats/lis-true-colors-spoilers,13
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,,MAIN/cringe-cafe,1
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,,MAIN/general,1
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,,dragons-den/GoW-Raggyrock-spoiler-Den,1
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,,archived stream spoiler chats/lis-true-colors-spoilers,7
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,,MAIN/dragons-den,11
2022-12-18 22:00:00+00:00,2022-12-18 23:00:00+00:00,,,143
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,MAIN/cringe-cafe,,1
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/lis-true-colors-spoilers,3
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,MAIN/dragons-den,,11
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,42
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,MAIN/general,,1
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,MAIN/general,MAIN/cringe-cafe,2
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,MAIN/general,MAIN/general,2
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,MAIN/dragons-den,3
2022-12-18 23:00:00+00:00,2022-12-19 00:00:00+00:00,archived stream spoiler chats/lis-true-colors-spoilers,,4
