t0,t1,c1,c2,sum
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,MAIN/dragons-den,,4
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/outer-wilds-spoiler-chat,9
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,MAIN/general,MAIN/general,1
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,MAIN/general,archived stream spoiler chats/outer-wilds-spoiler-chat,2
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,MAIN/general,,2
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/outer-wilds-spoiler-chat,3
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,,3
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,,MAIN/share-stuff-you-made,2
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,,MAIN/dragons-den,32
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,,archived stream spoiler chats/outer-wilds-spoiler-chat,47
2022-04-29 16:00:00+00:00,2022-04-29 17:00:00+00:00,,,114
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/outer-wilds-spoiler-chat,6
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,MAIN/dragons-den,,25
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,MAIN/general,,2
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,MAIN/share-stuff-you-made,MAIN/dragons-den,1
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,,11
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/outer-wilds-spoiler-chat,50
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,,MAIN/general,1
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,,MAIN/dragons-den,10
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,,archived stream spoiler chats/outer-wilds-spoiler-chat,24
2022-04-29 17:00:00+00:00,2022-04-29 18:00:00+00:00,,,88
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/outer-wilds-spoiler-chat,1
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,MAIN/dragons-den,,11
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,19
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,MAIN/general,,1
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,MAIN/dragons-den,1
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,,18
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/outer-wilds-spoiler-chat,61
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,,MAIN/general,1
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,,MAIN/share-stuff-you-made,2
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,,archived stream spoiler chats/outer-wilds-spoiler-chat,15
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,,MAIN/dragons-den,19
2022-04-29 18:00:00+00:00,2022-04-29 19:00:00+00:00,,,90
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/outer-wilds-spoiler-chat,3
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,MAIN/dragons-den,,16
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,MAIN/general,,2
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,MAIN/share-stuff-you-made,,2
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,MAIN/dragons-den,1
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,,12
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/outer-wilds-spoiler-chat,64
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,,MAIN/dragons-den,7
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,,archived stream spoiler chats/outer-wilds-spoiler-chat,20
2022-04-29 19:00:00+00:00,2022-04-29 20:00:00+00:00,,,93
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/outer-wilds-spoiler-chat,2
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,11
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,MAIN/dragons-den,,15
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,MAIN/dragons-den,1
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,,29
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/outer-wilds-spoiler-chat,57
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,,MAIN/general,2
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,,archived stream spoiler chats/outer-wilds-spoiler-chat,7
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,,MAIN/dragons-den,10
2022-04-29 20:00:00+00:00,2022-04-29 21:00:00+00:00,,,105
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,MAIN/dragons-den,,10
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,11
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,MAIN/general,,2
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,MAIN/dragons-den,2
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,,15
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,archived stream spoiler chats/outer-wilds-spoiler-chat,archived stream spoiler chats/outer-wilds-spoiler-chat,49
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,,MAIN/dragons-den,10
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,,archived stream spoiler chats/outer-wilds-spoiler-chat,22
2022-04-29 21:00:00+00:00,2022-04-29 22:00:00+00:00,,,116
2022-04-29 22:00:00+00:00,2022-04-29 23:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-04-29 22:00:00+00:00,2022-04-29 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,9
