t0,t1,c1,c2,sum
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,MAIN/cringe-cafe,,1
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,MAIN/dragons-den,,13
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,16
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,MAIN/general,,1
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,,MAIN/general,1
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,,MAIN/dragons-den,49
2023-03-21 15:00:00+00:00,2023-03-21 16:00:00+00:00,,,101
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,MAIN/dragons-den,,30
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,7
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,,MAIN/cringe-cafe,1
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,,MAIN/dragons-den,27
2023-03-21 16:00:00+00:00,2023-03-21 17:00:00+00:00,,,83
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,MAIN/cringe-cafe,,1
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,MAIN/dragons-den,,24
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,39
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,,MAIN/dragons-den,19
2023-03-21 17:00:00+00:00,2023-03-21 18:00:00+00:00,,,94
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,MAIN/dragons-den,,24
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,33
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,,MAIN/cringe-cafe,5
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,,MAIN/dragons-den,26
2023-03-21 18:00:00+00:00,2023-03-21 19:00:00+00:00,,,89
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,MAIN/cringe-cafe,,3
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,3
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,MAIN/dragons-den,,15
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,41
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,dragons-den/Jenshin-Den,MAIN/cringe-cafe,1
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
