t0,t1,c1,c2,sum
2022-07-31 14:00:00+00:00,2022-07-31 15:00:00+00:00,MAIN/dragons-den,,5
2022-07-31 14:00:00+00:00,2022-07-31 15:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,13
2022-07-31 14:00:00+00:00,2022-07-31 15:00:00+00:00,,MAIN/general,1
2022-07-31 14:00:00+00:00,2022-07-31 15:00:00+00:00,,MAIN/dragons-den,23
2022-07-31 14:00:00+00:00,2022-07-31 15:00:00+00:00,,,202
2022-07-31 15:00:00+00:00,2022-07-31 16:00:00+00:00,MAIN/dragons-den,,13
2022-07-31 15:00:00+00:00,2022-07-31 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,23
2022-07-31 15:00:00+00:00,2022-07-31 16:00:00+00:00,MAIN/general,,1
2022-07-31 15:00:00+00:00,2022-07-31 16:00:00+00:00,,Important/stream-announcements,1
2022-07-31 15:00:00+00:00,2022-07-31 16:00:00+00:00,,MAIN/general,3
2022-07-31 15:00:00+00:00,2022-07-31 16:00:00+00:00,,,78
2022-07-31 15:00:00+00:00,2022-07-31 16:00:00+00:00,,MAIN/dragons-den,125
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,Important/stream-announcements,,1
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,MAIN/dragons-den,,72
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,74
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,MAIN/general,,1
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,MAIN/general,MAIN/dragons-den,2
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,,MAIN/general,1
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,,MAIN/dragons-den,27
2022-07-31 16:00:00+00:00,2022-07-31 17:00:00+00:00,,,64
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,MAIN/cringe-cafe,,1
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,45
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,MAIN/dragons-den,,57
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,MAIN/general,,1
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,,Stream Stuff/stream-art-museum,1
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,,MAIN/cringe-cafe,2
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,,MAIN/dragons-den,13
2022-07-31 17:00:00+00:00,2022-07-31 18:00:00+00:00,,,121
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,MAIN/cringe-cafe,,2
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,MAIN/dragons-den,,24
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,Stream Stuff/stream-art-museum,,1
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,,MAIN/cringe-cafe,1
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,,Stream Stuff/stream-art-museum,1
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,,MAIN/dragons-den,21
2022-07-31 18:00:00+00:00,2022-07-31 19:00:00+00:00,,,158
2022-07-31 19:00:00+00:00,2022-07-31 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-07-31 19:00:00+00:00,2022-07-31 20:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-07-31 19:00:00+00:00,2022-07-31 20:00:00+00:00,MAIN/dragons-den,,24
2022-07-31 19:00:00+00:00,2022-07-31 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,31
2022-07-31 19:00:00+00:00,2022-07-31 20:00:00+00:00,Stream Stuff/stream-art-museum,,1
2022-07-31 19:00:00+00:00,2022-07-31 20:00:00+00:00,,MAIN/general,5
2022-07-31 19:00:00+00:00,2022-07-31 20:00:00+00:00,,MAIN/dragons-den,21
2022-07-31 19:00:00+00:00,2022-07-31 20:00:00+00:00,,,160
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,24
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,MAIN/dragons-den,,28
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,MAIN/general,MAIN/cringe-cafe,1
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,MAIN/general,MAIN/general,1
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,MAIN/general,,3
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,,MAIN/cringe-cafe,4
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,,MAIN/dragons-den,10
2022-07-31 20:00:00+00:00,2022-07-31 21:00:00+00:00,,,171
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,MAIN/cringe-cafe,,4
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,11
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,MAIN/dragons-den,,22
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,MAIN/general,,1
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,,MAIN/cringe-cafe,2
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,,MAIN/general,2
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,,MAIN/dragons-den,10
2022-07-31 21:00:00+00:00,2022-07-31 22:00:00+00:00,,,188
