t0,t1,c1,c2,sum
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,1
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,MAIN/dragons-den,,3
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,24
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,3
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,7
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,dragons-den/evolve-idol,Important/stream-announcements,1
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,dragons-den/evolve-idol,,3
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,,dragons-den/evolve-idol,1
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,2
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,,MAIN/dragons-den,39
2023-07-25 15:00:00+00:00,2023-07-25 16:00:00+00:00,,,104
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,Important/stream-announcements,,1
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,3
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,MAIN/dragons-den,,28
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,2
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,dragons-den/Jenshin-Den,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,1
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,5
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,dragons-den/evolve-idol,,1
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,,dragons-den/evolve-idol,3
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,6
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,,MAIN/dragons-den,22
2023-07-25 16:00:00+00:00,2023-07-25 17:00:00+00:00,,,78
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,3
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,MAIN/dragons-den,,25
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,MAIN/dragons-den,2
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,,4
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,6
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/cringe-cafe,1
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,3
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,dragons-den/evolve-idol,,4
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,,MAIN/general,1
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,4
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,,MAIN/dragons-den,19
2023-07-25 17:00:00+00:00,2023-07-25 18:00:00+00:00,,,85
2023-07-25 18:00:00+00:00,2023-07-25 19:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-07-25 18:00:00+00:00,2023-07-25 19:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-07-25 18:00:00+00:00,2023-07-25 19:00:00+00:00,MAIN/cringe-cafe,,3
2023-07-25 18:00:00+00:00,2023-07-25 19:00:00+00:00,MAIN/dragons-den,archived stream spoiler chats/rabiribi-spoiler-burrow-for-some-reason,2
2023-07-25 18:00:00+00:00,2023-07-25 19:00:00+00:00,MAIN/dragons-den,,20
2023-07-25 18:00:00+00:00,2023-07-25 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,30
