t0,t1,c1,c2,sum
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/cringe-cafe,dragons-den/Jenshin-Den,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/cringe-cafe,,2
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/dragons-den,,6
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,20
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/general,MAIN/general,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/general,,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,MAIN/mental-health,,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,,Important/stream-announcements,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,,MAIN/cringe-cafe,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,,MAIN/mental-health,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,,MAIN/general,2
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,,MAIN/dragons-den,20
2023-04-27 15:00:00+00:00,2023-04-27 16:00:00+00:00,,,117
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,Important/stream-announcements,,1
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,2
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,MAIN/dragons-den,,12
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,MAIN/general,MAIN/general,1
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,MAIN/general,,2
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,MAIN/mental-health,,1
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/cringe-cafe,1
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,7
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,,MAIN/cringe-cafe,2
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,,MAIN/dragons-den,26
2023-04-27 16:00:00+00:00,2023-04-27 17:00:00+00:00,,,96
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,MAIN/cringe-cafe,dragons-den/Jenshin-Den,1
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,MAIN/cringe-cafe,,2
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,3
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,MAIN/dragons-den,MAIN/share-stuff-you-made,1
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,2
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,MAIN/dragons-den,,24
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,MAIN/general,,1
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,,MAIN/dragons-den,12
2023-04-27 17:00:00+00:00,2023-04-27 18:00:00+00:00,,,98
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,MAIN/dragons-den,,24
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,11
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,,MAIN/cringe-cafe,1
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,,MAIN/dragons-den,14
2023-04-27 18:00:00+00:00,2023-04-27 19:00:00+00:00,,,108
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,MAIN/cringe-cafe,,1
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,MAIN/dragons-den,,15
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,18
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,dragons-den/Jenshin-Den,,6
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,,MAIN/cringe-cafe,2
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,,MAIN/dragons-den,19
2023-04-27 19:00:00+00:00,2023-04-27 20:00:00+00:00,,,112
2023-04-27 20:00:00+00:00,2023-04-27 21:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-04-27 20:00:00+00:00,2023-04-27 21:00:00+00:00,MAIN/cringe-cafe,,1
