t0,t1,c1,c2,sum
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,MAIN/cringe-cafe,MAIN/cringe-cafe,1
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,MAIN/dragons-den,MAIN/cringe-cafe,1
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,MAIN/dragons-den,,5
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,10
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,MAIN/general,,2
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,,MAIN/cringe-cafe,1
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,,MAIN/general,1
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,,MAIN/share-stuff-you-made,1
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,,MAIN/dragons-den,27
2022-04-25 15:00:00+00:00,2022-04-25 16:00:00+00:00,,,154
2022-04-25 16:00:00+00:00,2022-04-25 17:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2022-04-25 16:00:00+00:00,2022-04-25 17:00:00+00:00,MAIN/cringe-cafe,,2
2022-04-25 16:00:00+00:00,2022-04-25 17:00:00+00:00,MAIN/dragons-den,,10
2022-04-25 16:00:00+00:00,2022-04-25 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,27
2022-04-25 16:00:00+00:00,2022-04-25 17:00:00+00:00,MAIN/general,,1
2022-04-25 16:00:00+00:00,2022-04-25 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2022-04-25 16:00:00+00:00,2022-04-25 17:00:00+00:00,,Important/stream-announcements,1
2022-04-25 16:00:00+00:00,2022-04-25 17:00:00+00:00,,MAIN/cringe-cafe,1
