t0,t1,c1,c2,sum
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,MAIN/cringe-cafe,,2
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,MAIN/dragons-den,,5
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,8
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,dragons-den/Jenshin-Den,,1
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,7
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,,Important/stream-announcements,1
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,,MAIN/dragons-den,25
2023-04-29 15:00:00+00:00,2023-04-29 16:00:00+00:00,,,100
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,Important/stream-announcements,,1
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,MAIN/dragons-den,,12
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,21
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,,MAIN/general,2
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,,MAIN/dragons-den,27
2023-04-29 16:00:00+00:00,2023-04-29 17:00:00+00:00,,,75
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,MAIN/dragons-den,,23
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,25
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,MAIN/general,,2
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,9
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,,MAIN/cringe-cafe,2
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,,MAIN/share-stuff-you-made,2
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,,MAIN/dragons-den,23
2023-04-29 17:00:00+00:00,2023-04-29 18:00:00+00:00,,,63
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,MAIN/cringe-cafe,,2
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,MAIN/dragons-den,,19
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,29
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,MAIN/share-stuff-you-made,,2
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,,MAIN/general,1
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,,MAIN/dragons-den,20
2023-04-29 18:00:00+00:00,2023-04-29 19:00:00+00:00,,,66
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,MAIN/dragons-den,dragons-den/Jenshin-Den,1
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,MAIN/dragons-den,,21
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,28
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,MAIN/general,,1
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,8
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,,MAIN/cringe-cafe,2
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,,MAIN/dragons-den,12
2023-04-29 19:00:00+00:00,2023-04-29 20:00:00+00:00,,,77
