t0,t1,c1,c2,sum
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,MAIN/cringe-cafe,,1
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,MAIN/dragons-den,,15
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,24
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,MAIN/general,,2
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,dragons-den/evolve-idol,,2
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,,MAIN/cringe-cafe,2
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,,MAIN/general,3
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,,dragons-den/evolve-idol,3
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,,dragons-den/Jenshin-Den,7
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,,MAIN/dragons-den,36
2023-11-05 16:00:00+00:00,2023-11-05 17:00:00+00:00,,,191
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,MAIN/cringe-cafe,dragons-den/Jenshin-Den,1
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,MAIN/dragons-den,Important/stream-announcements,1
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,MAIN/dragons-den,,19
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,40
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,MAIN/general,MAIN/general,1
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,MAIN/general,,1
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,dragons-den/Jenshin-Den,MAIN/dragons-den,1
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,dragons-den/Jenshin-Den,,2
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,6
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,dragons-den/evolve-idol,,3
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,,MAIN/cringe-cafe,1
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,,MAIN/general,2
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,,dragons-den/Jenshin-Den,3
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,,dragons-den/evolve-idol,4
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,,MAIN/dragons-den,87
2023-11-05 17:00:00+00:00,2023-11-05 18:00:00+00:00,,,114
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,Important/stream-announcements,,1
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,MAIN/cringe-cafe,,1
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,55
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,MAIN/dragons-den,,75
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,MAIN/general,,3
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,dragons-den/Jenshin-Den,MAIN/cringe-cafe,1
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,3
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,dragons-den/Jenshin-Den,,6
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,dragons-den/evolve-idol,MAIN/dragons-den,1
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,dragons-den/evolve-idol,,2
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,,MAIN/mental-health,1
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,,dragons-den/Jenshin-Den,4
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,,MAIN/dragons-den,27
2023-11-05 18:00:00+00:00,2023-11-05 19:00:00+00:00,,,107
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,MAIN/cringe-cafe,dragons-den/Jenshin-Den,1
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,MAIN/dragons-den,,40
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,42
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,MAIN/mental-health,,1
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,dragons-den/Jenshin-Den,,5
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,1
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,dragons-den/evolve-idol,,2
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,,MAIN/general,1
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,,dragons-den/evolve-idol,2
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,,dragons-den/Jenshin-Den,5
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,,MAIN/dragons-den,27
2023-11-05 19:00:00+00:00,2023-11-05 20:00:00+00:00,,,159
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,MAIN/dragons-den,dragons-den/evolve-idol,2
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,MAIN/dragons-den,,30
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,37
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,MAIN/general,,2
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,MAIN/share-stuff-you-made,,1
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,dragons-den/Jenshin-Den,MAIN/cringe-cafe,1
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,dragons-den/Jenshin-Den,,3
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,4
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,dragons-den/evolve-idol,,1
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,2
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,,MAIN/cringe-cafe,2
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,,dragons-den/evolve-idol,2
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,,MAIN/general,4
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,,MAIN/dragons-den,23
2023-11-05 20:00:00+00:00,2023-11-05 21:00:00+00:00,,,174
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,MAIN/cringe-cafe,,3
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,MAIN/dragons-den,MAIN/general,1
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,MAIN/dragons-den,,28
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,31
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,MAIN/general,MAIN/general,1
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,MAIN/general,,3
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,dragons-den/evolve-idol,,2
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,,MAIN/cringe-cafe,1
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,,MAIN/general,1
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,,dragons-den/9-rows-9-columns-9-boxes,1
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,,dragons-den/evolve-idol,1
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,,dragons-den/Jenshin-Den,2
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,,MAIN/dragons-den,16
2023-11-05 21:00:00+00:00,2023-11-05 22:00:00+00:00,,,189
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,MAIN/cringe-cafe,MAIN/dragons-den,1
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,MAIN/dragons-den,,15
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,32
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,MAIN/general,MAIN/dragons-den,1
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,MAIN/general,,2
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,dragons-den/9-rows-9-columns-9-boxes,,1
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,dragons-den/evolve-idol,,2
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,3
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,,MAIN/general,1
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,,dragons-den/evolve-idol,2
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,,dragons-den/Jenshin-Den,6
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,,MAIN/dragons-den,24
2023-11-05 22:00:00+00:00,2023-11-05 23:00:00+00:00,,,196
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,MAIN/dragons-den,,20
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,38
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,MAIN/general,,1
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,dragons-den/Jenshin-Den,dragons-den/Jenshin-Den,2
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,dragons-den/Jenshin-Den,,4
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,dragons-den/evolve-idol,,1
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,dragons-den/evolve-idol,dragons-den/evolve-idol,4
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,,MAIN/general,1
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,,MAIN/share-stuff-you-made,1
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,,dragons-den/Jenshin-Den,1
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,,MAIN/dragons-den,33
2023-11-05 23:00:00+00:00,2023-11-06 00:00:00+00:00,,,184
2023-11-06 00:00:00+00:00,2023-11-06 01:00:00+00:00,MAIN/dragons-den,MAIN/dragons-den,34
2023-11-06 00:00:00+00:00,2023-11-06 01:00:00+00:00,MAIN/dragons-den,,37
2023-11-06 00:00:00+00:00,2023-11-06 01:00:00+00:00,MAIN/general,,1
